Book,ParagraphIndex,Question,AnswerA,AnswerB
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,1,Chi ha inviato Gianni da Manlio?,Il cardinale Procopio,Procopio
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,1,Cosa chiede il cardinale Procopio a Manlio di scolpire?,Due statuette di santi,Statuette di santi
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,1,Perché Manlio accetta di recarsi al palazzo del Cardinale?,Per mantenere la sua famiglia,Per sostenere la moglie e la figlia
,,,,
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,2,Chi è il capitano dei Trecento?,Attilio,"Attilio, il leader dei congiurati"
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,2,Come si chiama il gruppo dei giovani congiurati?,I Trecento,Il gruppo noto come I Trecento
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,2,In quale luogo di Roma si riuniscono i congiurati?,Nel Campo Vaccino,Tra le rovine del Campo Vaccino
,,,,
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,3,Con chi è d'accordo Cencio?,Con il capo degli sgherri,Con il capo-birro
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,3,Di cosa viene accusato Manlio?,Di aver dato ricovero ai nemici dello Stato,Di aver ospitato i nemici del Governo
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,3,Perché l'arresto di Manlio viene rimandato?,Per paura di una riscossa dei Transteverini,Per evitare una reazione dei Transteverini
,,,,
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,4,Di chi è figlioccio Marcellino?,Di Silvio,Del cacciatore Silvio
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,4,Che fine ha fatto Marcello?,È morto,È deceduto
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,4,Chi è Fido?,Il cane di Camilla,Il bracco di Camilla
,,,,
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,5,Chi è il padrone di Gianni?,Il Cardinale Procopio,"Procopio, il cardinale"
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,5,Chi deve portare Gianni al Cardinale?,Clelia,La donna Clelia
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,5,Da dove viene Giulia?,Dall'Albione,Dall'Inghilterra
,,,,
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,6,Chi è la moglie di Manlio?,Silvia,La donna Silvia
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,6,Quale delle donne desidera il Cardinale?,Clelia,La fanciulla Clelia
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,6,Da dove è fuggito Manlio?,Dalle carceri pontificie,Dalla prigione pontificia
,,,,
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,7,Chi sono i personaggi che si preparano a fare giustizia fuori dal Palazzo Corsini?,"Attilio, Muzio, Silvio e venti compagni","Attilio, Muzio, Silvio e altri venti uomini"
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,7,Dove si trovano Procopio e Ignazio?,Nel Palazzo Corsini,All'interno del Palazzo Corsini
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,7,Cosa nasconde Clelia per difendersi?,Un pugnaletto,Un piccolo pugnale
,,,,
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,8,Dove giunsero i tre amici verso le dieci della sera?,Alle Terme di Caracalla,Presso le Terme di Caracalla
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,8,Quando era fissato il nuovo convegno dei trecento?,Nella notte del quindici febbraio,Il quindici febbraio di notte
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,8,Chi informò la Polizia della riunione alle Terme di Caracalla?,Un traditore,Il traditore dei trecento
,,,,
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,9,Di chi è figlio Orazio?,È figlio della migliore amica di Silvia.,È il figlio dell'amica più cara di Silvia.
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,9,Chi ha salvato Giulia?,Il liberatore.,Orazio.
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,9,Quale ferita aveva Orazio?,Aveva un buco tondo sulla fronte.,Aveva una ferita circolare sulla fronte.
,,,,
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,10,Come si chiama lo yacht del capitano Thompson?,La Clelia,Lo yacht Clelia
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,10,Chi soffre il mal di mare sulla Clelia?,Manlio e Aurelia,Manlio e la povera Aurelia
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,10,Dove si trovava Orazio in attesa dello yacht?,Sulla costa a nord di porto d'Anzo,A circa tre miglia a tramontana di porto d'Anzo
,,,,
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,11,Chi ordinò l'eccidio di ottomila cittadini a Roma?,Silla,Il generale Silla
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,11,Perché Nerone incendiò Roma?,Per godere lo spettacolo,Per ammirare l'incendio dal suo Belvedere
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,11,Chi fu ucciso dagli ultimi Romani?,Cesare,Giulio Cesare
,,,,
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,12,Chi segue Irene nella foresta?,Orazio,L'uomo che ama
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,12,Qual è la condizione di Orazio come fuorilegge?,È proscritto,È un fuorilegge
,,,,
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,13,Chi difende il castello dagli assalitori?,Orazio e John,Il capitano Orazio e John
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,13,Quale evento inaspettato causa la fuga delle truppe del Principe?,L'attacco dei liberali,L'arrivo improvviso dei liberali
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,13,Cosa impedisce a Orazio di sparare al Principe durante il combattimento?,Riconosce nel Principe le sembianze di Irene,Vede nel volto del Principe i tratti di Irene
,,,,
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,14,Dove si reca il Principe?,A Roma,Nella città di Roma
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,14,Chi accompagna il Principe a Roma?,Gasparo,Il bandito Gasparo
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,14,Chi è il contatto per le mosse del nemico?,Regolo,Il contatto Regolo
,,,,
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,15,Chi sono i principali bersagli della critica dell'autore?,I preti,Gli ecclesiastici
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,15,Quale città è descritta come luogo con molti preti e nascite illegittime?,Roma,La città di Roma
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,15,Quale sacramento era consacrato esclusivamente dai preti fino a poco tempo fa?,Il matrimonio,L'atto del matrimonio
,,,,
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,16,Dove si trova l'isola descritta?,Nell'arcipelago italiano,Tra la Sicilia e la Corsica
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,16,Quali istituzioni mancano sull'isola?,"Governo, Polizia e Preti","Le istituzioni di Governo, Polizia e la presenza di preti"
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,16,Chi è il personaggio principale dell'isola?,Il capo della famiglia,L'uomo che primeggia sull'isola
,,,,
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,17,Come si chiama la viaggiatrice che arriva all'Albergo della Luna?,Giulia,La signorina Giulia
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,17,In quale albergo si svolge la cena a Viterbo?,All'Albergo della Luna,Nel Grande Albergo della Luna
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,17,Quali personaggi riconosce Giulia alla tavola rotonda?,"Muzio, Attilio e Orazio","I tre uomini, Muzio, Attilio e Orazio"
,,,,
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,18,Perché il capitano Tortiglia viene trattenuto?,Come ostaggio,Più come ostaggio che come prigioniero
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,18,Chi è lo zio di Muzio?,Il cardinale F...,Il Cardinale F...
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,18,Chi è la padrona di John?,Giulia,La bella Giulia
,,,,
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,19,Chi è il parricida menzionato nel titolo del capitolo?,Gasparo,Il principe dei banditi Gasparo
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,19,Quale titolo viene attribuito a Gasparo?,Principe dei banditi,Il valoroso principe dei banditi
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,19,"Secondo Giulia, quale nazione ha la migliore ufficialità navale?",L'Inghilterra,La nazione inglese
,,,,
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,20,Chi contribuì maggiormente alla cattura del bandito?,Il cardinale A....,"Il suo parente, il cardinale A...."
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,20,Per quanti anni il bandito rimase in ferri?,Per quattordici anni,Quattordici anni
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,20,Dove il bandito seppe di Orazio?,Nelle galere pontificie,Nelle prigioni del Papa
,,,,
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,21,Come sbarca Anita alle foci del Po?,Morente,"Nelle braccia del solitario, morente"
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,21,Qual è la sorte di Cicerovacchio e Ugo Bassi?,Vengono arrestati e fucilati dagli Austriaci,Sono fucilati dagli Austriaci
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,21,Quanti bragozzi partirono dal porto di Cesenatico?,Tredici,In numero di tredici
,,,,
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,22,Come si è salvato il Patriarca dalla folla?,È fuggito tramite un uscio segreto,Ha usato una gondola per mettersi in salvo
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,22,Chi ha calmato la folla che assaltava il palazzo del Patriarca?,Il solitario,La voce del solitario
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,22,Quale palazzo è stato assaltato dal popolo?,Il palazzo principesco del Patriarca,Il Patriarcato
,,,,
CLELIA IL GOVERNO DEI PRETI - ROMANZO STORICO POLITICO,23,Chi interrompe il duello?,Un gondoliere anziano,Un gondoliere canuto
