Book,ParagraphIndex,Question,AnswerA,AnswerB
IL MIRAGGIO ROMANZO,1,Quando Claudina Rosiers ebbe il suo trionfo a Milano?,Nel novembre 1895,Nel novembre del 1895
IL MIRAGGIO ROMANZO,1,Quale opera recitò Claudina Rosiers nella sua prima rappresentazione a Milano?,Adrienne Lecouvreur,L'Adrienne Lecouvreur
IL MIRAGGIO ROMANZO,1,Chi scritturò Claudina Rosiers dopo la sua odissea di rifiuti?,Savarese,Il direttore Savarese
,,,,
IL MIRAGGIO ROMANZO,2,Dove ha trascorso l'infanzia Claudina Rosiers?,A Siena,Nella città di Siena
IL MIRAGGIO ROMANZO,2,Qual è la professione di Claudina Rosiers?,È un'attrice,Fa l'attrice
IL MIRAGGIO ROMANZO,2,Quale affermazione fa Claudina Rosiers sulla sua esperienza amorosa?,È vergine,Non ha mai provato l'amore fisico
,,,,
IL MIRAGGIO ROMANZO,3,Qual è il nome dello scrittore critico?,Farnese,Lo scrittore Farnese
IL MIRAGGIO ROMANZO,3,Qual è il titolo del libro di critica scritto da Farnese?,Saltimbanchi,Il volume intitolato Saltimbanchi
IL MIRAGGIO ROMANZO,3,In quale teatro fu rappresentata la commedia di Farnese?,Al Teatro Valle,Nel Teatro Valle
,,,,
IL MIRAGGIO ROMANZO,4,Come si chiama la nuova commedia di Farnese?,La Chimera,Il dramma intitolato La Chimera
IL MIRAGGIO ROMANZO,4,A chi mente Farnese riguardo alla signorina Rosiers?,A sua moglie Beatrice,Alla moglie Beatrice
IL MIRAGGIO ROMANZO,4,Qual è l'opinione di Loredano sul teatro?,Lo considera un'arte inferiore,Crede che sia un'arte di rango inferiore
,,,,
IL MIRAGGIO ROMANZO,5,Chi è l'attrice che Farnese va a vedere al teatro?,Claudina Rosiers,L'attrice Claudina Rosiers
IL MIRAGGIO ROMANZO,5,Che rapporto c'è tra Farnese e Loredano?,Sono cognati,Loredano è il cognato di Farnese
IL MIRAGGIO ROMANZO,5,Qual è il titolo della commedia in cui recita Claudina Rosiers?,La visita di nozze,La commedia 'La visita di nozze'
,,,,
IL MIRAGGIO ROMANZO,6,Chi è la donna amata da Farnese?,Claudina,L'attrice Claudina
IL MIRAGGIO ROMANZO,6,Qual è la professione di Farnese?,È uno scrittore,Svolge la professione di scrittore
IL MIRAGGIO ROMANZO,6,Da dove Farnese ha riaccompagnato Claudina l'ultima volta?,Dal teatro,Dallo spettacolo teatrale
,,,,
IL MIRAGGIO ROMANZO,7,Qual era la relazione tra Claudina e Giuliano prima del loro incontro?,Erano amici,Erano amici in precedenza
IL MIRAGGIO ROMANZO,7,Qual è la professione di Giuliano?,È uno scrittore,Fa lo scrittore
IL MIRAGGIO ROMANZO,7,Cosa lancia Giuliano a Claudina mentre lei sale in carrozza?,Un mazzo di rose,Delle rose
,,,,
IL MIRAGGIO ROMANZO,8,Chi è Farnese?,Un abile uomo di teatro,Uno scrittore di teatro
IL MIRAGGIO ROMANZO,8,Dove si trova Beatrice?,Nel suo palco,In un palco del teatro
IL MIRAGGIO ROMANZO,8,Chi è Filippo Ruffo?,Un famoso critico,Il critico famoso
,,,,
IL MIRAGGIO ROMANZO,9,Dove si reca Andrea Sperelli dopo aver lasciato il Circolo della Caccia?,Alla casa in piazza di Spagna.,In una casa situata in piazza di Spagna.
IL MIRAGGIO ROMANZO,9,Con chi pensa Andrea Sperelli di partire?,Con Beatrice.,Con la donna di nome Beatrice.
IL MIRAGGIO ROMANZO,9,Chi attende Andrea Sperelli al Circolo della Caccia?,Una persona in carrozza chiusa.,Qualcuno che arriverà in carrozza.
,,,,
IL MIRAGGIO ROMANZO,10,Come si chiama la moglie di Giuliano?,Beatrice,Si chiama Beatrice
IL MIRAGGIO ROMANZO,10,Qual è la professione di Giuliano?,È un artista,È un grande artista
,,,,
IL MIRAGGIO ROMANZO,11,Come si chiama l'uomo amato da Claudina?,Andrea,Andrea Di Stefano
IL MIRAGGIO ROMANZO,11,Qual è il ponte verso cui si dirigono i due amanti?,Il Ponte Nomentano,Il ponte storico Nomentano
IL MIRAGGIO ROMANZO,11,Cosa rappresenta il 'bel sogno' di Claudina?,La realizzazione di un'ambizione comune,Il successo intellettuale o artistico del suo amante
,,,,
IL MIRAGGIO ROMANZO,12,Chi è l'amante di Claudina presente nel camerino?,Giuliano,Il personaggio di Giuliano
IL MIRAGGIO ROMANZO,12,Chi sorprende Claudina e Giuliano nel camerino?,Lorenzo Gray,Gray
IL MIRAGGIO ROMANZO,12,Di chi accusa Lorenzo Gray Claudina di essere l'amante?,Di Farnese,"Di Farnese, l'altro uomo"
,,,,
IL MIRAGGIO ROMANZO,13,Chi è Luca per Giuliano?,È il figlio di Giuliano,Luca è il figlio di Giuliano
IL MIRAGGIO ROMANZO,13,Cosa fa Giuliano dopo la colazione?,Accende una sigaretta e si siede con Luca,Fuma una sigaretta e prende Luca in braccio
IL MIRAGGIO ROMANZO,13,Di chi chiede informazioni Giuliano alla moglie?,Di lady Tremmel,Chiede di lady Tremmel
,,,,
IL MIRAGGIO ROMANZO,14,Come si chiama la donna che riceve la denunzia?,Beatrice,La protagonista Beatrice
IL MIRAGGIO ROMANZO,14,Chi è l'altra donna menzionata nella denunzia?,Claudina Rosiers,La donna di nome Claudina Rosiers
IL MIRAGGIO ROMANZO,14,Cosa riceve Beatrice che la fa soffrire?,Una denunzia,Una lettera di denunzia
,,,,
IL MIRAGGIO ROMANZO,15,Perché Giuliano deve partire?,Per far rimarginare la ferita al cuore di Beatrice,Affinché Beatrice possa riprendersi
IL MIRAGGIO ROMANZO,15,Chi convince Giuliano a partire?,Loredano,Il suo amico Loredano
IL MIRAGGIO ROMANZO,15,Chi raggiunge Giuliano sul treno?,Claudina Rosiers,Claudina
,,,,
IL MIRAGGIO ROMANZO,16,Da quale città viaggiavano Giuliano e Claudina prima di arrivare a San Remo?,Da Orvieto,Dalla città di Orvieto
IL MIRAGGIO ROMANZO,16,Come si chiama lo yacht che Giuliano e Claudina salgono a San Remo?,Little Rose,Il Little Rose
IL MIRAGGIO ROMANZO,16,Chi si aspettavano di vedere i marinai dello yacht al posto di Claudina?,Beatrice,"La moglie di Giuliano, Beatrice"
,,,,
IL MIRAGGIO ROMANZO,17,Chi è il padrone della villa dove arrivano gli amanti?,Giuliano Farnese,Farnese
IL MIRAGGIO ROMANZO,17,Chi accompagna Giuliano Farnese alla villa?,Claudina,La sua amante Claudina
IL MIRAGGIO ROMANZO,17,Come si chiamano i figli di Giuliano Farnese?,Luca e Anna Maria,Anna Maria e Luca
,,,,
IL MIRAGGIO ROMANZO,18,Qual è la relazione tra Claudina e Giuliano?,Sono amanti,Sono innamorati
IL MIRAGGIO ROMANZO,18,Cosa ha abbandonato Giuliano per Claudina?,Tutto e tutti,Ogni cosa e persona
IL MIRAGGIO ROMANZO,18,Come si descrive Giuliano?,Come un uomo e un poeta,Un uomo e un poeta
,,,,
IL MIRAGGIO ROMANZO,19,Chi sono i due personaggi principali che si trovano in gondola?,Claudina e Giuliano,Giuliano e Claudina
IL MIRAGGIO ROMANZO,19,In quale città si trovava Giuliano prima di raggiungere Claudina?,A Milano,Nella città di Milano
IL MIRAGGIO ROMANZO,19,Cosa ha preteso Claudina dal gondoliere per la gondola?,Il felze,L'uso del felze
,,,,
IL MIRAGGIO ROMANZO,20,Chi accusa Giuliano di avergli tolto l'ispirazione?,Claudina,La sua amante Claudina
IL MIRAGGIO ROMANZO,20,Chi è Beatrice per Giuliano?,Un suo amore passato,Una donna che ha amato in precedenza
IL MIRAGGIO ROMANZO,20,Qual è la professione di Giuliano?,È un letterato,Fa lo scrittore
,,,,
IL MIRAGGIO ROMANZO,21,Qual è la relazione tra Giuliano e Claudina?,Sono amanti,Sono una coppia di amanti
IL MIRAGGIO ROMANZO,21,Dove si trovano Giuliano e Claudina?,A Venezia,Nella città di Venezia
IL MIRAGGIO ROMANZO,21,Qual è la professione di Claudina?,È una grande attrice,Fa l'attrice
,,,,
