Book,ParagraphIndex,Question,AnswerA,AnswerB
8 ANIME IN UNA BOMBA ROMANZO ESPLOSIVO,1,Qual è il ruolo di Murad nel corpo dei giannizzeri?,È il comandante del corpo scelto.,Ricopre la carica di Agha dei giannizzeri.
8 ANIME IN UNA BOMBA ROMANZO ESPLOSIVO,1,In quale città si svolge la maggior parte della vicenda?,A Costantinopoli.,"Nella capitale dell'Impero Ottomano, Costantinopoli."
8 ANIME IN UNA BOMBA ROMANZO ESPLOSIVO,1,Qual è l'evento storico che scatena la ribellione dei giannizzeri?,L'abolizione del corpo dei giannizzeri.,La soppressione del corpo militare dei giannizzeri.
,,,,
8 ANIME IN UNA BOMBA ROMANZO ESPLOSIVO,2,Chi è il personaggio principale che riceve gli ordini al telefono?,Il Tenente Rossi,Il Tenente Marco Rossi
8 ANIME IN UNA BOMBA ROMANZO ESPLOSIVO,2,Quale conflitto armato fa da sfondo alla narrazione?,La Prima Guerra Mondiale,Il primo conflitto mondiale
8 ANIME IN UNA BOMBA ROMANZO ESPLOSIVO,2,Qual è il nome del fronte o della località principale dove si svolge l'azione?,Il Carso,Il fronte del Carso
,,,,
8 ANIME IN UNA BOMBA ROMANZO ESPLOSIVO,3,Qual è il grado militare del narratore?,È un tenente,Ha il grado di tenente
8 ANIME IN UNA BOMBA ROMANZO ESPLOSIVO,3,Dove si svolge la maggior parte della vicenda?,Sul fronte italiano,Nelle trincee del Carso
8 ANIME IN UNA BOMBA ROMANZO ESPLOSIVO,3,Qual è il destino del tenente Medici?,Viene ferito gravemente,Subisce una grave ferita
,,,,
8 ANIME IN UNA BOMBA ROMANZO ESPLOSIVO,4,Come si chiama la protagonista del romanzo?,Si chiama Laura,Il suo nome è Laura
8 ANIME IN UNA BOMBA ROMANZO ESPLOSIVO,4,Qual è il luogo principale in cui si svolge la storia?,A Roma,Nella città di Roma
8 ANIME IN UNA BOMBA ROMANZO ESPLOSIVO,4,Qual è lo stato civile della protagonista all'inizio del libro?,È sposata,La protagonista è una donna sposata
,,,,
8 ANIME IN UNA BOMBA ROMANZO ESPLOSIVO,5,Qual è l'obiettivo strategico della compagnia di bombardieri fucilieri del narratore?,Supportare l'offensiva sul fianco destro,Mantenere la posizione difensiva assegnata
8 ANIME IN UNA BOMBA ROMANZO ESPLOSIVO,5,Qual è la relazione di Emma con i soldati della compagnia?,È una giovane contadina che li ospita,È la figlia dei proprietari della fattoria
8 ANIME IN UNA BOMBA ROMANZO ESPLOSIVO,5,Cosa indica la dicitura '3ª ANIMA' nella struttura del libro?,Un cambio di prospettiva narrativa,L'inizio di una nuova sezione del racconto
,,,,
8 ANIME IN UNA BOMBA ROMANZO ESPLOSIVO,6,Quanti figli ha Emilia?,Quattro,Ha quattro bambini
8 ANIME IN UNA BOMBA ROMANZO ESPLOSIVO,6,Qual è la professione del dottore Bosellini?,È uno scienziato,È un giovane scienziato
8 ANIME IN UNA BOMBA ROMANZO ESPLOSIVO,6,Qual è il ruolo di Bernassati?,È un attendente,Svolge la funzione di attendente
,,,,
8 ANIME IN UNA BOMBA ROMANZO ESPLOSIVO,7,Qual è la professione del narratore?,È un poeta,Svolge l'attività di poeta
8 ANIME IN UNA BOMBA ROMANZO ESPLOSIVO,7,"Nonostante sia riformato, il giovane nudo riesce a partecipare alla guerra contro gli austriaci?","Sì, partecipa al conflitto","Sì, si unisce ai combattimenti"
8 ANIME IN UNA BOMBA ROMANZO ESPLOSIVO,7,In quale regione si svolge la maggior parte degli scontri con gli austriaci menzionati?,Nel Carso,Nella zona del Carso
,,,,
8 ANIME IN UNA BOMBA ROMANZO ESPLOSIVO,8,Qual è il ruolo di Settimelli nella corrispondenza del narratore?,È il principale destinatario delle lettere del narratore.,È il corrispondente a cui il narratore si rivolge più spesso.
8 ANIME IN UNA BOMBA ROMANZO ESPLOSIVO,8,Chi è la 'cara amica mia' a cui il narratore dedica le sue parole?,È la musa ispiratrice del protagonista.,È la donna amata dal narratore.
8 ANIME IN UNA BOMBA ROMANZO ESPLOSIVO,8,Qual è l'esito finale del progetto di volo su Smirne menzionato dal narratore?,Il volo viene compiuto con successo.,Il progetto di volo non si realizza.
,,,,
8 ANIME IN UNA BOMBA ROMANZO ESPLOSIVO,9,Chi è il narratore del testo?,Filippo Tommaso Marinetti,"L'autore stesso, Filippo Tommaso Marinetti"
8 ANIME IN UNA BOMBA ROMANZO ESPLOSIVO,9,A quale conflitto storico si riferisce il narratore parlando del Carso?,Alla Prima Guerra Mondiale,Al primo conflitto mondiale
8 ANIME IN UNA BOMBA ROMANZO ESPLOSIVO,9,Qual è l'intento dei cento equipaggi verso la 'rada vergine solitaria'?,Conquistarla e corromperla,Sottomettere il territorio vergine
,,,,
8 ANIME IN UNA BOMBA ROMANZO ESPLOSIVO,10,In quale conflitto storico è ambientata la narrazione?,Nella Prima Guerra Mondiale,Durante il primo conflitto mondiale
8 ANIME IN UNA BOMBA ROMANZO ESPLOSIVO,10,Quale mezzo di trasporto utilizza il soldato narratore?,Un autocarro,"Un veicolo militare, l'autocarro"
8 ANIME IN UNA BOMBA ROMANZO ESPLOSIVO,10,Qual è la condizione fisica del narratore menzionata alla fine dell'estratto?,È dimagrito,Ha perso peso
,,,,
8 ANIME IN UNA BOMBA ROMANZO ESPLOSIVO,11,Qual è il legame di Giulia con i personaggi che dialogano all'inizio dell'estratto?,È la persona per cui i due personaggi esprimono preoccupazione.,È la donna il cui destino è al centro del dialogo iniziale.
8 ANIME IN UNA BOMBA ROMANZO ESPLOSIVO,11,Qual è la condizione della madre del narratore?,È assente e ricercata dal narratore.,"È scomparsa, causando angoscia al narratore."
8 ANIME IN UNA BOMBA ROMANZO ESPLOSIVO,11,In quale periodo storico si svolge la vicenda narrata?,Durante la Seconda Guerra Mondiale.,Nel contesto della Resistenza italiana.
,,,,
8 ANIME IN UNA BOMBA ROMANZO ESPLOSIVO,12,Qual è il rapporto tra il Figlio e la Figliastra?,È un rapporto di profonda incomprensione e distacco.,Il Figlio prova indifferenza e rifiuto verso la Figliastra.
8 ANIME IN UNA BOMBA ROMANZO ESPLOSIVO,12,Chi è il personaggio che viene descritto come la 'quarta anima' che si arrampica dalla stiva?,È il Bambino.,Si tratta del personaggio del Bambino.
8 ANIME IN UNA BOMBA ROMANZO ESPLOSIVO,12,Qual è la condizione principale della Madre nel dramma?,La Madre è un personaggio di profonda sofferenza e passività.,La sua condizione è caratterizzata da dolore e sottomissione.
,,,,
8 ANIME IN UNA BOMBA ROMANZO ESPLOSIVO,13,Qual è la missione finale della 7ª Anima?,Diffondere il verbo futurista,Promuovere la rivoluzione artistica
8 ANIME IN UNA BOMBA ROMANZO ESPLOSIVO,13,Qual è il contributo principale di Boccioni al Futurismo nel libro?,È uno dei massimi esponenti del dinamismo plastico,È un teorico fondamentale della pittura futurista
8 ANIME IN UNA BOMBA ROMANZO ESPLOSIVO,13,Qual è il ruolo di Marinetti nel movimento futurista descritto nel libro?,È il fondatore del Futurismo,È il principale ideologo del movimento
,,,,
8 ANIME IN UNA BOMBA ROMANZO ESPLOSIVO,14,Chi è il fondatore del Futurismo italiano?,Filippo Tommaso Marinetti,Marinetti
8 ANIME IN UNA BOMBA ROMANZO ESPLOSIVO,14,Contro quale movimento artistico francese si schierano i futuristi italiani?,Contro il Cubismo,Il Cubismo francese
8 ANIME IN UNA BOMBA ROMANZO ESPLOSIVO,14,Chi è il narratore dell'opera?,Filippo Tommaso Marinetti,"L'autore stesso, Marinetti"
,,,,
8 ANIME IN UNA BOMBA ROMANZO ESPLOSIVO,15,Qual era la professione principale di Umberto Boccioni?,Era un pittore e scultore,Era un artista futurista
8 ANIME IN UNA BOMBA ROMANZO ESPLOSIVO,15,A quale movimento artistico e culturale aderì Umberto Boccioni?,Al Futurismo,Al movimento futurista
8 ANIME IN UNA BOMBA ROMANZO ESPLOSIVO,15,Chi fu il fondatore del Futurismo?,Filippo Tommaso Marinetti,Marinetti
,,,,
8 ANIME IN UNA BOMBA ROMANZO ESPLOSIVO,16,Quale movimento artistico-letterario fondò Filippo Tommaso Marinetti?,Il Futurismo,Il movimento futurista
8 ANIME IN UNA BOMBA ROMANZO ESPLOSIVO,16,In quale città si svolsero molti degli eventi e delle manifestazioni futuriste descritte nel libro?,A Milano,Nella città di Milano
8 ANIME IN UNA BOMBA ROMANZO ESPLOSIVO,16,Quale artista futurista viene menzionato insieme a Marinetti durante l'arresto?,Umberto Boccioni,L'artista Umberto Boccioni
,,,,
8 ANIME IN UNA BOMBA ROMANZO ESPLOSIVO,17,Che cos'è l'oggetto che il narratore porta sulla schiena come un guscio di testuggine?,È un modulo di esplorazione autonomo,È un'unità abitativa mobile per i Viaggiatori
8 ANIME IN UNA BOMBA ROMANZO ESPLOSIVO,17,Chi o cosa è la 'tremenda voce' che il narratore sente e a cui è sensibile?,È la Guida Psichica del Collettivo,È l'entità che comunica con i Sognatori
8 ANIME IN UNA BOMBA ROMANZO ESPLOSIVO,17,Qual è il principale conflitto che affligge il mondo in cui vive il narratore?,La guerra tra le Città-Stato e le Tribù delle Vallate,Il conflitto per il controllo delle risorse energetiche celesti
,,,,
8 ANIME IN UNA BOMBA ROMANZO ESPLOSIVO,18,Che tipo di opera è la 'Miscela delle 8 Anime esplosive'?,Una raccolta di voci poetiche,Un'opera strutturata in diverse sezioni
8 ANIME IN UNA BOMBA ROMANZO ESPLOSIVO,18,Qual è il principale obiettivo politico della 4ª ANIMA?,La rivoluzione contro il passato,La pulizia dell'Italia dalle tradizioni obsolete
8 ANIME IN UNA BOMBA ROMANZO ESPLOSIVO,18,In quale città si svolge la narrazione della 5ª ANIMA?,A Napoli,Nella città di Napoli
,,,,
