Book,ParagraphIndex,Question,AnswerA,AnswerB
COLEI CHE NON SI DEVE AMARE ROMANZO,1,Qual era la condizione economica iniziale di Stefano?,Era benestante,Proveniva da una famiglia agiata
COLEI CHE NON SI DEVE AMARE ROMANZO,1,Quale fu il destino finale di Grazia?,Si redense e visse onestamente,Abbandonò i suoi vizi e si dedicò alla famiglia
COLEI CHE NON SI DEVE AMARE ROMANZO,1,Quale dei figli di Stefano e Grazia ereditò il negozio di occhiali?,"Arrigo, il primogenito","Il figlio maggiore, Arrigo"
,,,,
COLEI CHE NON SI DEVE AMARE ROMANZO,2,Eugenia va a stare in campagna con Stefano e Donna Grazia?,"No, Eugenia non si reca in campagna con loro.",Eugenia non va a stare con Stefano e Donna Grazia.
COLEI CHE NON SI DEVE AMARE ROMANZO,2,Il disaccordo sull'ospitalità di Eugenia causa una rottura tra Riotti e la famiglia di Stefano?,"Sì, il disaccordo porta a una rottura nei rapporti.",La questione di Eugenia causa una separazione tra Riotti e la famiglia.
COLEI CHE NON SI DEVE AMARE ROMANZO,2,Qual è il nome della località di campagna dove si recano Stefano e Donna Grazia?,La località si chiama Villa Serena.,Si recano a Villa Serena.
,,,,
COLEI CHE NON SI DEVE AMARE ROMANZO,3,Perché Arrigo si trova presso l'affittacamere?,Per chiedere aiuto,Per ottenere un consiglio
COLEI CHE NON SI DEVE AMARE ROMANZO,3,Che professione svolge Mercedes?,L'affittacamere,Gestisce una pensione
COLEI CHE NON SI DEVE AMARE ROMANZO,3,Chi è Mamma Gilda per Mercedes?,Sua madre,La madre di Mercedes
,,,,
COLEI CHE NON SI DEVE AMARE ROMANZO,4,Come si chiama la figlia di Riotti?,Il suo nome è Elena,Si chiama Elena
COLEI CHE NON SI DEVE AMARE ROMANZO,4,Arrigo sposa la figlia di Riotti?,"Sì, la sposa",Arrigo e la figlia di Riotti si uniscono in matrimonio
COLEI CHE NON SI DEVE AMARE ROMANZO,4,Qual è il nome completo di Arrigo?,Arrigo Rossi,Il suo nome completo è Arrigo Rossi
,,,,
COLEI CHE NON SI DEVE AMARE ROMANZO,5,Qual è la professione di Tatiana Ruskaia?,Attrice,Una donna di spettacolo
COLEI CHE NON SI DEVE AMARE ROMANZO,5,Come si chiama il giovane che corteggia Tatiana Ruskaia?,Andrea,Il suo nome è Andrea
COLEI CHE NON SI DEVE AMARE ROMANZO,5,In quale luogo Tatiana Ruskaia e il giovane si incontrano per la prima volta?,In un negozio di fioraio,Presso un fioraio
,,,,
COLEI CHE NON SI DEVE AMARE ROMANZO,6,Chi è Tatiana per Arrigo?,È la sua amante,La sua piccola amante
COLEI CHE NON SI DEVE AMARE ROMANZO,6,Qual è la principale difficoltà di Arrigo?,Le sue difficoltà economiche,La sua grave situazione finanziaria
COLEI CHE NON SI DEVE AMARE ROMANZO,6,Perché Arrigo esita a chiedere denaro a Tatiana?,Per orgoglio e diffidenza,A causa della sua fierezza e del timore di dipendere da lei
,,,,
COLEI CHE NON SI DEVE AMARE ROMANZO,7,Chi sposa Tatiana Ruskaia?,Il barone Silvestro,Sposa il barone Silvestro
COLEI CHE NON SI DEVE AMARE ROMANZO,7,Quale evento segna la rovina finanziaria di Arrigo?,Il suo arresto per debiti,Viene arrestato a causa dei suoi debiti
COLEI CHE NON SI DEVE AMARE ROMANZO,7,Qual è il legame tra Beppe Cianella e Arrigo?,È un vecchio amico di Arrigo,Sono amici di lunga data
,,,,
COLEI CHE NON SI DEVE AMARE ROMANZO,8,Come si chiama la ragazza che Rafa Giuliani frequenta?,Ada Negri,Si chiama Ada Negri
COLEI CHE NON SI DEVE AMARE ROMANZO,8,Chi è il padre del figlio abortito dalla Marchesa di Versano?,Il Conte Fabrizio,"Fabrizio, il Conte di Valmont"
COLEI CHE NON SI DEVE AMARE ROMANZO,8,Giannotto Pigna contrae la sifilide nel corso della narrazione?,"Sì, contrae la sifilide",Viene colpito dalla sifilide
,,,,
COLEI CHE NON SI DEVE AMARE ROMANZO,9,Come si chiama il protagonista dell'estratto?,Pietro,Il suo nome è Pietro
COLEI CHE NON SI DEVE AMARE ROMANZO,9,Qual è il legame di Loretta con il protagonista?,È la sorella del protagonista,Sua sorella
COLEI CHE NON SI DEVE AMARE ROMANZO,9,In quale teatro il protagonista ha un palco in affitto con gli amici?,Al Teatro Alfieri,Nel Teatro Alfieri
,,,,
COLEI CHE NON SI DEVE AMARE ROMANZO,10,Come si chiama il giovane che invia lettere alla donna?,Si chiama Carlo,Il suo nome è Carlo Alberto
COLEI CHE NON SI DEVE AMARE ROMANZO,10,Qual è il rapporto tra Arrigo e la donna che gli confida il suo segreto?,Sono fratelli,Arrigo è il fratello della donna
COLEI CHE NON SI DEVE AMARE ROMANZO,10,Qual è la natura del segreto che la donna confida ad Arrigo?,È una relazione extraconiugale,Riguarda un amore proibito
,,,,
COLEI CHE NON SI DEVE AMARE ROMANZO,11,Come si chiama la signorina che visita Arrigo?,Il suo nome è Elena,Si chiama Elena
COLEI CHE NON SI DEVE AMARE ROMANZO,11,Che tipo di relazione lega Arrigo alla signorina?,Sono fidanzati,La signorina è la sua promessa sposa
COLEI CHE NON SI DEVE AMARE ROMANZO,11,In quale città si svolge la maggior parte della vicenda?,A Firenze,Nella città di Firenze
,,,,
COLEI CHE NON SI DEVE AMARE ROMANZO,12,Come si chiama il padre di Arrigo e Loretta?,Si chiama Mattia Pascal,Il suo nome è Mattia Pascal
COLEI CHE NON SI DEVE AMARE ROMANZO,12,Qual è il rapporto tra Riotti e la famiglia di Mattia Pascal?,È un vicino di casa invadente,Un vicino ficcanaso e critico
COLEI CHE NON SI DEVE AMARE ROMANZO,12,Che fine fa Loretta nel corso del romanzo?,Si sposa con un altro uomo,Convolge a nozze con un nuovo marito
,,,,
COLEI CHE NON SI DEVE AMARE ROMANZO,13,Qual è il cognome di Arrigo?,Del Ferrante,Il suo cognome è Del Ferrante
COLEI CHE NON SI DEVE AMARE ROMANZO,13,Chi è Loretta per Arrigo?,La sua nuova compagna,La donna che lo accompagna
COLEI CHE NON SI DEVE AMARE ROMANZO,13,Qual è la professione di Clelia?,È una fioraia,Fa la fioraia
,,,,
COLEI CHE NON SI DEVE AMARE ROMANZO,14,Come si chiama la sorella di Rigo?,Si chiama Lia,Il suo nome è Lia
COLEI CHE NON SI DEVE AMARE ROMANZO,14,Qual è l'esito finale del rapporto tra Rigo e sua sorella?,Il loro rapporto si conclude tragicamente,Termina con una separazione dolorosa
COLEI CHE NON SI DEVE AMARE ROMANZO,14,Qual è il principale conflitto che Rigo e sua sorella devono affrontare?,Il tabù dell'incesto,La condanna sociale per il loro amore
,,,,
COLEI CHE NON SI DEVE AMARE ROMANZO,15,Qual è la natura del rapporto tra Arrigo e Loretta?,È un amore proibito,È una relazione incestuosa
COLEI CHE NON SI DEVE AMARE ROMANZO,15,Quale ruolo assume Arrigo nella casa di famiglia?,Diventa il capofamiglia,Prende il controllo dell'eredità
COLEI CHE NON SI DEVE AMARE ROMANZO,15,Qual è il destino finale dei genitori di Arrigo e Loretta?,Muiono in solitudine,Terminano i loro giorni abbandonati dai figli
,,,,
COLEI CHE NON SI DEVE AMARE ROMANZO,16,Come si chiama la fanciulla che parla con Arrigo?,Marina di Malombra,Marina
COLEI CHE NON SI DEVE AMARE ROMANZO,16,Chi è il personaggio che Marina non può più soffrire?,Il Conte Cesare d'Ormengo,"Suo zio, il Conte Cesare d'Ormengo"
COLEI CHE NON SI DEVE AMARE ROMANZO,16,Qual è il legame di parentela tra Arrigo e Marina?,Sono cugini,Arrigo è il cugino di Marina
,,,,
COLEI CHE NON SI DEVE AMARE ROMANZO,17,Qual è il rapporto tra Arrigo e Clara?,Sono marito e moglie,Sono sposati
COLEI CHE NON SI DEVE AMARE ROMANZO,17,Chi è Lela?,È la figlia di Arrigo e Clara,La loro bambina
COLEI CHE NON SI DEVE AMARE ROMANZO,17,Qual è la professione di Arrigo?,È un impiegato di banca,Lavora come bancario
,,,,
COLEI CHE NON SI DEVE AMARE ROMANZO,18,Come si chiama il personaggio maschile che parla con Clara?,Si chiama Andrea,Il suo nome è Andrea
COLEI CHE NON SI DEVE AMARE ROMANZO,18,Qual è la causa principale del timore del personaggio maschile di rovinare Clara?,I suoi ingenti debiti di gioco,La sua grave situazione finanziaria dovuta al gioco d'azzardo
COLEI CHE NON SI DEVE AMARE ROMANZO,18,Cosa spera di trovare il personaggio maschile quando dice di voler cercare 'quel che gli abbisogna'?,Una nuova ragione di vita,Un senso di pace e stabilità interiore
,,,,
