Book,ParagraphIndex,Question,AnswerA,AnswerB
I_coniugi_varedo,1,Chi si prevede che sposi Varedo?,Diana,La figlia della signora Valeria
I_coniugi_varedo,1,Con chi è andata Diana alla conferenza?,Con miss Jane e le Duranti,Con le Duranti e miss Jane
I_coniugi_varedo,1,Chi è la madre di Diana?,La signora Valeria,Valeria
,,,,
I_coniugi_varedo,2,Qual è il piano di Miss Jane dopo il matrimonio di Diana?,Ritirarsi a Londra per insegnare italiano,Andare a Londra per dare lezioni di lingua italiana
I_coniugi_varedo,2,Quale evento futuro è legato ai piani di Miss Jane?,Il matrimonio di Diana,Le nozze di Miss Diana
I_coniugi_varedo,2,Chi chiede il motivo dell'ostilità verso Alberto Varedo?,La signora Inverigo,Signora Inverigo
,,,,
I_coniugi_varedo,3,Chi è il primo a far visita a Diana da sola?,Zio Gustavo,L'ingegnere Aldini
I_coniugi_varedo,3,Qual è il titolo dell'opuscolo trovato dallo zio Gustavo?,La conferenza di Varedo sul dovere,L'opuscolo sul dovere
I_coniugi_varedo,3,Quale dedica è stampata sulla prima pagina dell'opuscolo?,Alla mia Diana il giorno delle nostre nozze,La dedica per le nozze di Diana
,,,,
I_coniugi_varedo,4,Che mestiere fa Girolamo Bardelli?,Orefice,Artista orafo
I_coniugi_varedo,4,Chi è lo zio di Diana Varedo?,Gustavo Aldini,L'ingegnere Gustavo Aldini
I_coniugi_varedo,4,Chi è il capo della famiglia Bardelli?,Girolamo Bardelli,Girolamo
,,,,
I_coniugi_varedo,5,Chi è la madre di Olga?,La signora Susanna,Susanna
I_coniugi_varedo,5,Qual è la professione di Adelaide Nocera?,È una magistrata,Fa la magistrata
I_coniugi_varedo,5,Perché Diana fa i bagni?,Per compiacere la mamma,Per fare contenta sua madre
,,,,
I_coniugi_varedo,6,Cosa non ha letto Diana Varedo da un anno e mezzo?,Letteratura,Volumi di letteratura
I_coniugi_varedo,6,Chi è il marito di Diana Varedo?,Alberto Varedo,Il signor Varedo
I_coniugi_varedo,6,Cosa stanno facendo gli uomini dopo cena?,Regolando i conti,Sistemando i conti
,,,,
I_coniugi_varedo,7,Cosa sta per accadere a Diana?,Sta per partorire,Sta per dare alla luce un bambino
I_coniugi_varedo,7,Cosa sta facendo Alberto Varedo nel suo studio?,Sta esaminando opere e correggendo stampe,Sta lavorando a nuove opere e bozze
I_coniugi_varedo,7,In quale attività Bardelli aiuta Alberto Varedo?,Nella correzione delle stampe,Nel lavoro di revisione delle bozze
,,,,
I_coniugi_varedo,8,Chi è Diana?,La madre della neonata,La donna che ha appena partorito
I_coniugi_varedo,8,Chi è il professore?,Il padre della neonata,Il marito di Diana
I_coniugi_varedo,8,Perché Bardelli si reca da Diana?,Per congratularsi con lei,Per rallegrarsi della nascita
,,,,
I_coniugi_varedo,9,Quale evento importante ha avuto Alberto Varedo?,Ha tenuto il suo primo discorso alla Camera.,Ha fatto il suo maiden speech alla Camera.
I_coniugi_varedo,9,Qual è la preoccupazione di Diana riguardo a Bebè?,Bebè non articola ancora nessuna parola.,Sua figlia Bebè non parla ancora.
I_coniugi_varedo,9,Chi è il dottor Giraldi?,È il medico di casa di Diana.,È il dottore di famiglia di Diana.
,,,,
I_coniugi_varedo,10,Qual è l'obiettivo di Diana riguardo al marito Alberto?,Riconquistare il suo posto,Riavere la sua posizione
I_coniugi_varedo,10,Chi chiama Bebè 'papà' alla stazione?,Bardelli,Il signor Bardelli
I_coniugi_varedo,10,Dove si recano Diana e Bebè per incontrare Alberto?,Alla stazione centrale,Alla stazione
,,,,
I_coniugi_varedo,11,Che ruolo ha ottenuto Alberto Varedo?,Un posto onorevole alla Camera,Un ruolo politico alla Camera
I_coniugi_varedo,11,Qual è la preoccupazione di Diana riguardo all'impegno politico di Varedo?,La divisione della loro famiglia,Che la loro famiglia si sciolga
I_coniugi_varedo,11,Dove si trasferirebbero Diana e Bebè se Varedo entrasse nel Governo?,A Roma,Nella città di Roma
,,,,
