Book,ParagraphIndex,Question,AnswerA,AnswerB
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",1,Qual è il vero nome del torero Bombita?,Riccardo Torres,Il torero Riccardo Torres
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",1,In quale città si trova l'Hotel Reina Maria Cristina?,A San Sebastiano,Nella città di San Sebastiano
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",1,Come si chiama la forestiera che gioca a carte?,Silvia,Silvia Rostan
,,,,
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",2,Qual è l'atteggiamento del narratore verso i legami permanenti?,Evita gli affetti definitivi,Non cerca relazioni durature
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",2,Quali sono i principali interessi di Lord Pepe?,La buona cucina e i piaceri mondani,"I cavalli, il lusso e la gastronomia"
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",2,Come descrive Madlen la città in cui si trova il narratore?,Come una città piena di perdizione,Come un luogo di gioco e vizio
,,,,
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",3,Qual è il vero nome di Bombita?,Riccardo Torres,Il torero Riccardo Torres
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",3,Qual è la professione di Bombita?,Torero,Maestro di spada
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",3,In quale nazione si svolgono le corride di Bombita?,In Spagna,Nella nazione della Spagna
,,,,
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",4,Come si chiama la donna forestiera che accompagna il narratore?,Isabella,La signora Isabella
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",4,Qual è la professione del narratore?,Uno scrittore,Un letterato
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",4,In quale città si svolge la maggior parte della vicenda?,San Sebastián,Nella città di San Sebastián
,,,,
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",5,Come si chiama il narratore del libro?,Si chiama Andrea,Il suo nome è Andrea
"SCIOGLI LA TRECCIA, MARIA MADDALENA; ROMANZO",5,In quale città si svolge la vicenda principale del libro?,A Venezia,Nella città di Venezia
