Book,ParagraphIndex,Question,AnswerA,AnswerB
I_sette_quadranti,1,Come si chiama la dimora che Sir Oswald ha preso in affitto?,Chimneys,La residenza di Chimneys
I_sette_quadranti,1,Chi è Mac Donald?,Il capo giardiniere,Il giardiniere principale della proprietà
I_sette_quadranti,1,Come si sente Lady Coote riguardo alla numerosa servitù a Chimneys?,Si sente sola,Si sente isolata
,,,,
I_sette_quadranti,2,Chi è il personaggio che sta dormendo troppo?,Gerald,Gerald Wade
I_sette_quadranti,2,Per quale sua caratteristica è noto Pongo?,Per il suo gran cervello,Per avere un gran cervello
I_sette_quadranti,2,Quale oggetto suggerisce Bateman per svegliare Gerald?,Una sveglia,Un orologio sveglia
,,,,
I_sette_quadranti,3,Che gioco stanno giocando Sir Oswald e Lady Coote?,Bridge,Il gioco del bridge
I_sette_quadranti,3,Chi è la moglie di Sir Oswald?,Lady Coote,La signora Coote
I_sette_quadranti,3,Cosa pensa Gerald Wade di Lady Coote al bridge?,La ritiene fortunata ma sospetta,Crede che sia una donna da tenere d'occhio
,,,,
I_sette_quadranti,4,Chi è il personaggio la cui morte viene annunciata da Ronny?,Gerald,Gerry
I_sette_quadranti,4,Come si chiama la ragazza che riceve la notizia della morte di Gerald?,Loraine,Signorina Wade
I_sette_quadranti,4,"Dove si trovavano Ronny, James e Gerald prima dell'annuncio?",A Chimneys,Nella località di Chimneys
,,,,
I_sette_quadranti,5,Chi è Mac Donald per Bundle?,Il giardiniere,L'imperatore dei giardinieri
I_sette_quadranti,5,Chi è morto a causa dell'affare delle sveglie?,Wade,Il povero Wade
I_sette_quadranti,5,Come ha reagito Lady Coote all'affare delle sveglie?,È rimasta sconvolta,Si è sconvolta
,,,,
I_sette_quadranti,6,Cosa desidera Bundle?,Animazione,Un po' di animazione
I_sette_quadranti,6,Perché Lord Caterham non va in città con Bundle?,Perché Bundle ha fretta,A causa della fretta di Bundle
I_sette_quadranti,6,Chi vuole incontrare il Vicario?,Lord Caterham,Milord Caterham
,,,,
I_sette_quadranti,7,Chi ha trovato Bundle ferito da uno sparo?,Ronald Devereux,Ronny Devereux
I_sette_quadranti,7,Come si chiama il padre di Bundle?,Lord Caterham,Il nobile Lord Caterham
I_sette_quadranti,7,Quale frase misteriosa ha menzionato Gerald Wade nella sua lettera?,I Sette Quadranti,La frase 'I Sette Quadranti'
,,,,
I_sette_quadranti,8,Dove abita il signor Thesiger?,Al 103 di Jermyn Street,"A Jermyn Street, al numero 103"
I_sette_quadranti,8,Per quale motivo Bundle visita il signor Thesiger?,Per cose molto importanti,Per questioni di grande importanza
I_sette_quadranti,8,Come è vestita la ragazza che Bundle trova a casa del signor Thesiger?,È vestita di nero,Indossa abiti neri
,,,,
I_sette_quadranti,9,Chi ha affittato la casa menzionata nell'estratto?,La signorina Bundle,Bundle
I_sette_quadranti,9,Come si chiama il nuovo valletto menzionato?,Si chiama John,Il suo nome è John
I_sette_quadranti,9,Chi è Pongo?,È il segretario di Sir Oswald Coote,"È Bateman, il segretario di Coote"
,,,,
I_sette_quadranti,10,Qual è il vero ruolo di Gerald Wade?,È un membro importante del Servizio Segreto,Occupa un posto di rilievo nel Servizio Segreto
I_sette_quadranti,10,Che tipo di affare è quello dei Sette Quadranti?,È un affare criminale e internazionale,"È un caso complesso, di natura criminale e internazionale"
I_sette_quadranti,10,Qual è lo scopo delle riunioni politiche indette da Lomax?,"Scovare nuovi elementi giovani, ricchi e ambiziosi",Trovare giovani ricchi e ambiziosi per una carriera parlamentare
,,,,
I_sette_quadranti,11,Dove si trova il Circolo dei Sette Quadranti?,Dalle parti di Tottenham Court,In un quartiere vicino a Tottenham Court
I_sette_quadranti,11,Chi chiede a Bill dei Sette Quadranti?,Bundle,La ragazza Bundle
I_sette_quadranti,11,Chi accompagna Sir Oswald Coote?,Lady Coote,"Sua moglie, Lady Coote"
,,,,
I_sette_quadranti,12,Chi intende visitare Bundle?,Zia Martha,La marchesa Martha
I_sette_quadranti,12,Qual è la relazione tra Bundle e Lord Caterham?,È suo padre,Lord Caterham è il padre di Bundle
I_sette_quadranti,12,Come si chiama il domestico che Bundle sospetta?,Bower,Bauer
,,,,
I_sette_quadranti,13,Dove lavorava Alfred prima di venire al Circolo?,A Chimneys,Nella tenuta di Chimneys
I_sette_quadranti,13,Chi ha offerto ad Alfred cento sterline per lasciare Chimneys?,Il signor Mosgorovsky,Mosgorovsky
I_sette_quadranti,13,Cosa dirige il signor Mosgorovsky?,Il Circolo,Il locale chiamato Circolo
,,,,
I_sette_quadranti,14,Chi si nasconde nell'armadio?,Bundle,Milady Bundle
I_sette_quadranti,14,Qual è il nome della riunione che Bundle attende?,La riunione dei Sette Quadranti,I Sette Quadranti
I_sette_quadranti,14,Chi aiuta Bundle a nascondersi nell'armadio?,Alfred,Il suo complice Alfred
,,,,
I_sette_quadranti,15,Chi vuole rubare la formula di Eberhard?,I Sette Quadranti,L'organizzazione dei Sette Quadranti
I_sette_quadranti,15,Chi ha menzionato Ronny prima di morire?,James Thesiger,James
