Book,ParagraphIndex,Question,AnswerA,AnswerB
IL NUMERO 13 RACCONTO,1,Cosa accade alla narratrice a causa del numero tredici?,Un evento sfortunato,Una sventura
IL NUMERO 13 RACCONTO,1,In quale tipo di istituzione scolastica ha studiato la narratrice da bambina?,In un collegio,In una scuola con vitto e alloggio
IL NUMERO 13 RACCONTO,1,"Qual era la professione del dottor Tanzi, amico del padre della narratrice?",Era un medico,Esercitava la professione di dottore
,,,,
IL NUMERO 13 RACCONTO,2,Come si chiama il narratore del libro?,Zeno Cosini,Il protagonista si chiama Zeno
IL NUMERO 13 RACCONTO,2,Qual è la professione di Augusto?,È un chimico,Svolge la professione di chimico
IL NUMERO 13 RACCONTO,2,Che cos'è il 'baco' di Augusto?,È la sua tendenza alla malinconia,È il velo nero che gli passa sulle contentezze
,,,,
IL NUMERO 13 RACCONTO,3,A chi appartiene la medaglia ritrovata?,Al padre del narratore,Alla famiglia del narratore
IL NUMERO 13 RACCONTO,3,Il Cavaliere restituisce la medaglia al padre del narratore?,"Sì, la restituisce",La riporta al padre
IL NUMERO 13 RACCONTO,3,Quale beneficio concreto porta il ritrovamento della medaglia alla famiglia del narratore?,Un miglioramento delle condizioni economiche,Un aiuto finanziario inaspettato
,,,,
IL NUMERO 13 RACCONTO,4,Come si chiama il cavaliere che ha restituito l'oggetto?,Annibale Codicini,Il cavaliere Annibale Codicini
IL NUMERO 13 RACCONTO,4,Quale oggetto ha restituito Annibale Codicini alla narratrice?,Un gingillo,La medaglia della narratrice
IL NUMERO 13 RACCONTO,4,Come si chiama la narratrice del racconto?,Giulia,"Giulia, la protagonista"
,,,,
IL NUMERO 13 RACCONTO,5,Come si chiama il narratore che riflette su Crispino Colla?,Zeno Cosini,Il protagonista Zeno Cosini
IL NUMERO 13 RACCONTO,5,Crispino Colla ottiene il posto di apprendista nel laboratorio del dottor Augusto?,"No, non lo ottiene",Crispino Colla non diventa apprendista
IL NUMERO 13 RACCONTO,5,Qual è il ruolo del dottor Augusto nella vita del narratore?,È il suo psicoanalista,Il dottor Augusto è lo psicoanalista di Zeno
,,,,
IL NUMERO 13 RACCONTO,6,Come si chiama il narratore della storia?,Zeno Cosini,Il protagonista Zeno Cosini
IL NUMERO 13 RACCONTO,6,Qual è il legame di parentela tra il narratore e il dottor Augusto?,Sono cugini,Il narratore e Augusto sono cugini
IL NUMERO 13 RACCONTO,6,In quale città è ambientata la vicenda della catenella smarrita?,A Milano,Nella città di Milano
,,,,
IL NUMERO 13 RACCONTO,7,Come si chiama il narratore del libro?,Zeno Cosini,Zeno
IL NUMERO 13 RACCONTO,7,Chi è Ada per Zeno Cosini?,La cognata di Zeno,La sorella di sua moglie Augusta
