Book,ParagraphIndex,Question,AnswerA,AnswerB
L'UNDECIMO COMANDAMENTO ROMANZO,1,Chi è il cavaliere Tiraquelli?,È il sottoprefetto di Castelnuovo.,È il sottoprefetto.
L'UNDECIMO COMANDAMENTO ROMANZO,1,In quale città il cavaliere Tiraquelli è sottoprefetto?,A Castelnuovo.,Nella città di Castelnuovo.
L'UNDECIMO COMANDAMENTO ROMANZO,1,Quale giorno della settimana il cavalier Tiraquelli riceve?,Il mercoledì.,Ogni mercoledì.
,,,,
L'UNDECIMO COMANDAMENTO ROMANZO,2,Chi è il tutore di Adele?,Il signor Prospero,Prospero
L'UNDECIMO COMANDAMENTO ROMANZO,2,Qual è l'idea di viaggio di Adele?,Andare ai poli o all'equatore,Esplorare l'Africa o i poli
L'UNDECIMO COMANDAMENTO ROMANZO,2,Chi è innamorato di Adele?,Il giovinotto,Il nostro giovinotto
,,,,
L'UNDECIMO COMANDAMENTO ROMANZO,3,Chi sono le due maggiori divinità sedute sul canapè di damasco rosso?,La sottoprefettessa e la contessa Gamberini,La contessa Gamberini e la sottoprefettessa
L'UNDECIMO COMANDAMENTO ROMANZO,3,Chi sono i due poli del mondo dei giovani?,Berta Gamberini e Adele Ruzzani,La contessina Berta Gamberini e la signorina Adele Ruzzani
L'UNDECIMO COMANDAMENTO ROMANZO,3,Chi domina il crocchio dei giovani vicino al pianoforte?,La signora Morselli,La stimabile signora Morselli
,,,,
L'UNDECIMO COMANDAMENTO ROMANZO,4,Chi è Padre Anselmo?,Il bibliotecario,Il frate bibliotecario
L'UNDECIMO COMANDAMENTO ROMANZO,4,Chi è Padre Bonaventura?,L'astronomo,Il frate astronomo
L'UNDECIMO COMANDAMENTO ROMANZO,4,Come si chiama il frate converso?,Giocondo,Fratello Giocondo
,,,,
L'UNDECIMO COMANDAMENTO ROMANZO,5,Quando il priore intende rassegnare la sua dignità?,Quando arriveranno i cinque nuovi compagni,Dopo l'arrivo dei cinque nuovi frati
L'UNDECIMO COMANDAMENTO ROMANZO,5,Come viene descritto il priore dal duca?,È un bel giovane e molto simpatico,Viene descritto come un bel giovane e simpatico
L'UNDECIMO COMANDAMENTO ROMANZO,5,Cosa promette di fare il sottoprefetto riguardo al proponimento dei frati?,Promette di pensarci e di fare qualcosa per reprimerlo,Dice che ci penserà e che si potrà fare qualcosa
,,,,
L'UNDECIMO COMANDAMENTO ROMANZO,6,Quanti anni ha l'arcangelo?,Ventidue anni,Ha ventidue anni
L'UNDECIMO COMANDAMENTO ROMANZO,6,Cosa intende fare lo zio dell'arcangelo?,Diventare frate,Farsi frate insieme al nipote
L'UNDECIMO COMANDAMENTO ROMANZO,6,Chi è il personaggio che parla con l'arcangelo e suo zio?,Il priore,La persona che ricopre il ruolo di priore
,,,,
L'UNDECIMO COMANDAMENTO ROMANZO,7,Quali nomi scrissero i due novizi nel registro dell'ordine?,Prospero Gentili e Adelindo Ruzzani,I nomi di Prospero Gentili e Adelindo Ruzzani
L'UNDECIMO COMANDAMENTO ROMANZO,7,Qual è la relazione tra Adele Ruzzani e Prospero Gentili?,Adele Ruzzani è la nipote di Prospero Gentili,Prospero Gentili è lo zio di Adele Ruzzani
L'UNDECIMO COMANDAMENTO ROMANZO,7,Qual è la carica di Cavalier Tiraquelli?,È il sottoprefetto di Castelnuovo Bedonia,È un ufficiale del governo a Castelnuovo Bedonia
,,,,
L'UNDECIMO COMANDAMENTO ROMANZO,8,Cosa fa il sottoprefetto di Castelnuovo Bedonia per localizzare il signor Prospero Gentili?,Invia un telegramma al questore di Milano,Manda un telegramma al questore di Milano
L'UNDECIMO COMANDAMENTO ROMANZO,8,"Dove si trova il signor Prospero Gentili, secondo la risposta del questore di Milano?",In nessun albergo di Milano,Non è in alcun albergo a Milano
L'UNDECIMO COMANDAMENTO ROMANZO,8,Qual è la conclusione del sottoprefetto riguardo all'assenza del signor Prospero da Milano?,Che ha mentito,Che si tratta di una bugia
,,,,
L'UNDECIMO COMANDAMENTO ROMANZO,9,Chi è il tutore della signorina?,Signor Prospero,Prospero
L'UNDECIMO COMANDAMENTO ROMANZO,9,Chi deve sposare il Duca di Francavilla?,La signorina,La ragazza
L'UNDECIMO COMANDAMENTO ROMANZO,9,Cosa sta facendo la signorina con le gioie di famiglia?,Le sta facendo rilegare a nuovo,Le sta rinnovando
,,,,
L'UNDECIMO COMANDAMENTO ROMANZO,10,Dove andò la signorina Adele?,In un convento d'uomini,In un convento maschile
L'UNDECIMO COMANDAMENTO ROMANZO,10,Chi fu sbalordito dalla notizia della signorina Adele?,Il sottoprefetto,Il rappresentante del governo in Castelnuovo Bedonia
L'UNDECIMO COMANDAMENTO ROMANZO,10,Chi interrogò il sottoprefetto sulla 'storia'?,Il duca di Francavilla,Il signor duca di Francavilla
,,,,
L'UNDECIMO COMANDAMENTO ROMANZO,11,Quale ruolo ha ricoperto Padre Prospero?,Agronomo,Un agronomo
L'UNDECIMO COMANDAMENTO ROMANZO,11,A quale ordine appartengono i nuovi frati?,All'ordine di San Bruno,Ai frati di San Bruno
L'UNDECIMO COMANDAMENTO ROMANZO,11,Cosa usano i riformati di San Bruno per bere?,Ciotole di maiolica,Delle ciotole di maiolica
,,,,
L'UNDECIMO COMANDAMENTO ROMANZO,12,Chi sono i due esploratori che raggiungono l'entrata della Caverna delle Streghe?,Serafino e Padre Anacleto,Padre Anacleto e il serafino
L'UNDECIMO COMANDAMENTO ROMANZO,12,Perché Padre Prospero non prosegue l'esplorazione della Caverna delle Streghe?,A causa della sua polisarcìa,Per la sua condizione di polisarcìa
L'UNDECIMO COMANDAMENTO ROMANZO,12,Qual è la relazione tra Serafino e Padre Prospero?,Padre Prospero è lo zio di Serafino,Serafino è il nipote di Padre Prospero
,,,,
L'UNDECIMO COMANDAMENTO ROMANZO,13,Qual è la relazione tra il serafino biondo e il padre Anacleto?,Il serafino biondo è il nipote del padre Anacleto,Il padre Anacleto è lo zio del serafino biondo
L'UNDECIMO COMANDAMENTO ROMANZO,13,In quale luogo si svolgono gli scavi?,Nella caverna,All'interno di una caverna
L'UNDECIMO COMANDAMENTO ROMANZO,13,Cosa scoprirono le vanghe dopo aver dato un suono sordo?,Uno strato di ceneri,Delle ceneri
,,,,
L'UNDECIMO COMANDAMENTO ROMANZO,14,"Chi chiama il convento ""il convento dei matti""?",I Castelnovesi,Gli abitanti di Castelnuovo
L'UNDECIMO COMANDAMENTO ROMANZO,14,Perché padre Anacleto ha proibito l'ingresso al convento?,Per il viavai di curiosi e facce sospette,A causa delle troppe visite di persone sospette
L'UNDECIMO COMANDAMENTO ROMANZO,14,Cosa non ha fatto leggere padre Prospero al serafino biondo?,La lettera ricevuta,Una lettera misteriosa
,,,,
L'UNDECIMO COMANDAMENTO ROMANZO,15,Dove si dirige il Cavaliere Tiraquelli dopo aver lasciato il parlatorio?,A Castelnuovo Bedonia,Verso Castelnuovo Bedonia
L'UNDECIMO COMANDAMENTO ROMANZO,15,Cosa decide di fare il Signor Prospero Gentili riguardo al 'negozio'?,Scrivere una lettera al Cavaliere Tiraquelli,Inviare una lettera al Cavaliere Tiraquelli
L'UNDECIMO COMANDAMENTO ROMANZO,15,Dove si trovano i frati quando il Signor Prospero torna al convento?,Sono chiusi nel capitolo,Si trovano all'interno del capitolo
,,,,
L'UNDECIMO COMANDAMENTO ROMANZO,16,Chi è il padre Prospero per il serafino biondo?,È suo zio,È lo zio del serafino biondo
L'UNDECIMO COMANDAMENTO ROMANZO,16,Dove si trovano i frati di San Bruno?,Nel capitolo,Nella sala del capitolo
L'UNDECIMO COMANDAMENTO ROMANZO,16,Cosa chiede il serafino biondo a padre Prospero?,Di prendere un libro e aspettarlo,Di aspettarlo leggendo un libro
,,,,
L'UNDECIMO COMANDAMENTO ROMANZO,17,Dove si trova la donna che è considerata una tentazione?,Nel convento di San Bruno,All'interno del convento di San Bruno
L'UNDECIMO COMANDAMENTO ROMANZO,17,Come considera Padre Restituto la presenza della donna nel convento?,Come una tentazione,Come un elemento di discordia
L'UNDECIMO COMANDAMENTO ROMANZO,17,Qual è l'opinione del priore riguardo alla donna nel convento?,La vede come una tentazione da vincere,La considera un'occasione per onorare i santi
,,,,
L'UNDECIMO COMANDAMENTO ROMANZO,18,Cosa è stato discusso durante la radunanza a cui ha partecipato padre Agapito?,Il giornale,Il futuro del giornale
L'UNDECIMO COMANDAMENTO ROMANZO,18,Quali modifiche si intendono apportare al giornale?,Renderlo più ameno e letterario,Aggiungere romanzi e versi
L'UNDECIMO COMANDAMENTO ROMANZO,18,Padre Agapito è un poeta?,Lo è stato in passato,Era un poeta nei tempi andati
,,,,
L'UNDECIMO COMANDAMENTO ROMANZO,19,Come si chiama il sottoprefetto di Castelnuovo Bedonia?,Eudossio Tiraquelli,L'avvocato Eudossio Tiraquelli
L'UNDECIMO COMANDAMENTO ROMANZO,19,Qual è il ruolo di Padre Anacleto?,È il priore,Ricopre la carica di priore
L'UNDECIMO COMANDAMENTO ROMANZO,19,Qual è lo scopo della visita del sottoprefetto Eudossio Tiraquelli a Padre Anacleto?,Conoscere il paese e i suoi amministrati,Visitare i comunelli del circondario
,,,,
L'UNDECIMO COMANDAMENTO ROMANZO,20,Chi visita Padre Anacleto?,Il sottoprefetto,Il signor commendatore
L'UNDECIMO COMANDAMENTO ROMANZO,20,Quale voce corre a Castelnuovo riguardo al convento di San Bruno?,Che ci sia una donna fuggita nel convento,Che una ragazza sia nascosta nel convento
L'UNDECIMO COMANDAMENTO ROMANZO,20,Come si chiama il convento di cui si parla?,San Bruno,Il convento di San Bruno
,,,,
L'UNDECIMO COMANDAMENTO ROMANZO,21,Come si chiama il frate che non è in uno dei suoi giorni migliori?,Padre Anacleto,Anacleto
L'UNDECIMO COMANDAMENTO ROMANZO,21,Come si chiama il monastero dove si trovano i frati?,San Bruno,Il monastero di San Bruno
L'UNDECIMO COMANDAMENTO ROMANZO,21,Di quali argomenti parlano i frati di San Bruno?,"Arte, filosofia e politica","Di arte, filosofia e politica"
,,,,
L'UNDECIMO COMANDAMENTO ROMANZO,22,Come si chiama il serafino?,Adelindo,Padrino Adelindo
L'UNDECIMO COMANDAMENTO ROMANZO,22,Con chi voleva parlare il priore Anacleto dopo pranzo?,Con Adelindo e suo zio,Con il serafino e lo zio di Adelindo
L'UNDECIMO COMANDAMENTO ROMANZO,22,Perché lo zio di Adelindo non partecipò alla conversazione?,Era stanco e si era addormentato,Aveva bisogno di riposare e si era assopito
,,,,
L'UNDECIMO COMANDAMENTO ROMANZO,23,Chi teme che a Castelnuovo si chiacchieri alle loro spese?,Lo zio del padrino Adelindo,Lo zio di Adelindo
L'UNDECIMO COMANDAMENTO ROMANZO,23,Quali città intendono visitare lo zio di Adelindo e la sua signora nepote dopo Castelnuovo?,"Torino, Milano, Venezia, Vienna, Parigi",Diverse città europee come Torino e Parigi
L'UNDECIMO COMANDAMENTO ROMANZO,23,Cosa confessa di avere Padre Prospero?,Un filo di pazzia,Un po' di pazzia
,,,,
L'UNDECIMO COMANDAMENTO ROMANZO,24,Chi è padre Anacleto?,Il priore di San Bruno,Il priore del monastero di San Bruno
L'UNDECIMO COMANDAMENTO ROMANZO,24,Dove si trovava Adelindo?,Al romitorio delle Querci,Alle Querci
