Book,ParagraphIndex,Question,AnswerA,AnswerB
"MIMI BLUETTE, FIORE DEL MIO GIARDINO ROMANZO",1,Qual è il vero nome del Conte Irresistibile?,Il suo vero nome è [Nome],[Nome] è il suo nome reale
"MIMI BLUETTE, FIORE DEL MIO GIARDINO ROMANZO",1,Come si chiama la ragazza che cerca il suo primo amante?,Si chiama [Nome],Il suo nome è [Nome]
"MIMI BLUETTE, FIORE DEL MIO GIARDINO ROMANZO",1,Qual è il destino finale del Conte Irresistibile?,Finisce per [Destino],Il suo destino è [Destino]
,,,,
"MIMI BLUETTE, FIORE DEL MIO GIARDINO ROMANZO",2,Qual è il legame tra Max e Bluette?,Max è il suo protettore.,Max la introduce al mondo della galanteria.
"MIMI BLUETTE, FIORE DEL MIO GIARDINO ROMANZO",2,Dove si dirigono Max e Bluette con il treno del Sempione?,Si dirigono in Francia.,Vanno verso la Repubblica Transalpina.
"MIMI BLUETTE, FIORE DEL MIO GIARDINO ROMANZO",2,Qual è la professione di Bluette?,È una ragazza galante.,È una cortigiana.
,,,,
"MIMI BLUETTE, FIORE DEL MIO GIARDINO ROMANZO",3,Qual era il nome di nascita di Marthe d'Aussolles?,Thérèse Bouguereau,Il suo nome era Thérèse Bouguereau
"MIMI BLUETTE, FIORE DEL MIO GIARDINO ROMANZO",3,Di che nazionalità era Mimi Bluette?,Italiana,Era italiana
"MIMI BLUETTE, FIORE DEL MIO GIARDINO ROMANZO",3,Qual era lo stato civile del Grande Industriale?,Vedovo,Era vedovo
,,,,
"MIMI BLUETTE, FIORE DEL MIO GIARDINO ROMANZO",4,Che tipo di relazione lega Jack e My Blu?,Sono amanti,Hanno una relazione sentimentale
"MIMI BLUETTE, FIORE DEL MIO GIARDINO ROMANZO",4,Qual è la passione principale di Jack?,La danza,Il ballo e la coreografia
"MIMI BLUETTE, FIORE DEL MIO GIARDINO ROMANZO",4,In che periodo storico è ambientata la storia di Jack e My Blu?,Nei primi anni del Novecento,Durante l'epoca del Rag-Time
,,,,
"MIMI BLUETTE, FIORE DEL MIO GIARDINO ROMANZO",5,Quale professione assume Bluette nel corso della storia?,Diventa una celebre ballerina,Intraprende la carriera di danzatrice famosa
"MIMI BLUETTE, FIORE DEL MIO GIARDINO ROMANZO",5,Come si conclude la relazione tra Madre Malespano e il suo maggiordomo Maurice?,Maurice viene allontanato,La loro relazione termina con il licenziamento di Maurice
"MIMI BLUETTE, FIORE DEL MIO GIARDINO ROMANZO",5,Quale decisione finale prende la Santa Sede riguardo al ballo My Blu?,Emette una condanna ufficiale,Proibisce la pratica del My Blu
,,,,
"MIMI BLUETTE, FIORE DEL MIO GIARDINO ROMANZO",6,Qual è la condizione sociale di Bluette?,È una donna venduta,È una cortigiana
"MIMI BLUETTE, FIORE DEL MIO GIARDINO ROMANZO",6,Chi è M. Bollot per Bluette?,Il suo amministratore,Il gestore dei suoi beni
"MIMI BLUETTE, FIORE DEL MIO GIARDINO ROMANZO",6,Bluette ha mai provato il vero amore?,"No, non ha ancora amato nessuno",Non ha mai amato veramente
,,,,
"MIMI BLUETTE, FIORE DEL MIO GIARDINO ROMANZO",7,Qual era la missione del signore d'Olonzac?,Sorvegliare le azioni del vecchio Bollot.,Controllare le manovre del vecchio Bollot.
"MIMI BLUETTE, FIORE DEL MIO GIARDINO ROMANZO",7,Quali erano le 'mene' del vecchio Bollot?,Le sue macchinazioni.,I suoi piani segreti.
"MIMI BLUETTE, FIORE DEL MIO GIARDINO ROMANZO",7,Qual era il rapporto tra Roré e Bluette?,Erano amanti.,Erano una coppia.
,,,,
"MIMI BLUETTE, FIORE DEL MIO GIARDINO ROMANZO",8,Quale sarà il destino finale di Max?,Diventerà un galantuomo,Si redimerà e condurrà una vita onesta
"MIMI BLUETTE, FIORE DEL MIO GIARDINO ROMANZO",8,Qual è il vero nome di Mimi Bluette?,Il suo nome è Maria,Si chiama Maria
"MIMI BLUETTE, FIORE DEL MIO GIARDINO ROMANZO",8,In quale città si svolge la storia di Mimi Bluette?,A Parigi,"Nella capitale francese, Parigi"
,,,,
"MIMI BLUETTE, FIORE DEL MIO GIARDINO ROMANZO",9,Qual è la professione di Bluette?,È una ballerina,Lavora come danzatrice
"MIMI BLUETTE, FIORE DEL MIO GIARDINO ROMANZO",9,Qual era la professione dell'uomo che parla con Bluette?,Era un marinaio,Ha navigato per mare
"MIMI BLUETTE, FIORE DEL MIO GIARDINO ROMANZO",9,Dove ha visto l'uomo Bluette per la prima volta?,Al Théâtre Michel,Nel teatro chiamato Michel
,,,,
"MIMI BLUETTE, FIORE DEL MIO GIARDINO ROMANZO",10,Qual è la professione di Bluette?,È una prostituta,Svolge la professione di meretrice
"MIMI BLUETTE, FIORE DEL MIO GIARDINO ROMANZO",10,Come si chiama l'uomo che è con Bluette?,Si chiama Marco,Il suo nome è Marco
"MIMI BLUETTE, FIORE DEL MIO GIARDINO ROMANZO",10,In quale città si svolgono principalmente gli incontri tra Bluette e l'uomo?,A Parigi,Nella città di Parigi
,,,,
"MIMI BLUETTE, FIORE DEL MIO GIARDINO ROMANZO",11,Qual era il vero nome di Bluette?,Marguerite Gautier,Il suo nome di battesimo era Marguerite
"MIMI BLUETTE, FIORE DEL MIO GIARDINO ROMANZO",11,Come si chiamava l'uomo di Stato che era l'amante di Bluette?,Il Duca di Varville,Il Duca
"MIMI BLUETTE, FIORE DEL MIO GIARDINO ROMANZO",11,Quale fu il destino finale di Bluette?,Morì di tisi,La sua vita si concluse con la morte per malattia
,,,,
"MIMI BLUETTE, FIORE DEL MIO GIARDINO ROMANZO",12,Quale incarico riceve Monsieur Castillo?,Nessun incarico,Non gli viene assegnata alcuna posizione
"MIMI BLUETTE, FIORE DEL MIO GIARDINO ROMANZO",12,Qual è la relazione tra Madame Bluette e Monsieur Castillo?,Sono amanti,Hanno una relazione sentimentale
"MIMI BLUETTE, FIORE DEL MIO GIARDINO ROMANZO",12,Monsieur Castillo viene infine arrestato?,"Sì, viene arrestato",Viene messo in prigione
,,,,
"MIMI BLUETTE, FIORE DEL MIO GIARDINO ROMANZO",13,Chi è l'uomo che preoccupa la madre di Bluette?,"È Jean-Luc, il compagno di Bluette.","Si tratta di Jean-Luc, il fidanzato di Bluette."
"MIMI BLUETTE, FIORE DEL MIO GIARDINO ROMANZO",13,Qual è il rapporto tra Bluette e Mimi?,Bluette e Mimi sono la stessa persona.,Mimi è il soprannome di Bluette.
"MIMI BLUETTE, FIORE DEL MIO GIARDINO ROMANZO",13,Che cosa è successo al Ministro di Mimi?,Ha interrotto la sua relazione con Mimi.,Non è più il compagno di Mimi.
,,,,
"MIMI BLUETTE, FIORE DEL MIO GIARDINO ROMANZO",14,Qual è la triste fine di Bliouette?,Muore tragicamente,Perde la vita in modo sfortunato
