Book,ParagraphIndex,Question,AnswerA,AnswerB
Dal_primo_piano_alla_soffitta,1,Chi è il marito di Maddalena Bollati?,Il marchese Ernesto Geisenburg-Rudingen von Rudingen,Ernesto Geisenburg-Rudingen von Rudingen
Dal_primo_piano_alla_soffitta,1,Dove alloggiano Ernesto e Maddalena Geisenburg-Rudingen von Rudingen a Venezia?,In casa Bollati,Nella residenza dei Bollati
Dal_primo_piano_alla_soffitta,1,Qual è la condizione fisica del conte Leonardo?,È afflitto da una paralisi alle gambe,Ha una paralisi che lo inchioda alle gambe
,,,,
Dal_primo_piano_alla_soffitta,2,Qual è l'evento principale che si svolge al palazzo?,La regata,Una regata
Dal_primo_piano_alla_soffitta,2,Chi è il padrone di casa del palazzo?,Il conte Zaccaria,Conte Zaccaria
Dal_primo_piano_alla_soffitta,2,Che relazione ha la contessa Zanze Rialdi con i padroni di casa?,È una cugina,È cugina dei padroni
,,,,
Dal_primo_piano_alla_soffitta,3,Chi ha vinto la gara contro Tita?,Bisatto,Il gondoliere Bisatto
Dal_primo_piano_alla_soffitta,3,Qual è la professione del signor Oreste?,È un cuoco,Fa il cuoco
Dal_primo_piano_alla_soffitta,3,Dove il vento ha influenzato la gara?,Alla Punta della Salute,Presso la Punta della Salute
,,,,
Dal_primo_piano_alla_soffitta,4,Qual è il cognome della famiglia del conte Zaccaria?,Bollati,Il cognome è Bollati
Dal_primo_piano_alla_soffitta,4,Chi è il personaggio la cui morte viene discussa nei caffè di Venezia?,Il N. H. Leonardo,Il vecchio conte
Dal_primo_piano_alla_soffitta,4,Qual è la relazione tra il conte Zaccaria e la contessa Chiaretta?,Sono coniugi,Sono marito e moglie
,,,,
Dal_primo_piano_alla_soffitta,5,Dove viene mandato Gasparo dai suoi genitori?,Al collegio di marina a Sant'Anna di Castello,Nel collegio di Sant'Anna di Castello
Dal_primo_piano_alla_soffitta,5,A chi si rende utile Fortunata tra i Bollati?,Alla zia Chiaretta,Alla contessa Chiaretta
Dal_primo_piano_alla_soffitta,5,Cosa fa Gasparo al contino?,Lo picchia,Lo colpisce di santa ragione
,,,,
Dal_primo_piano_alla_soffitta,6,Quali storie preferiva ascoltare il contino Leonardo?,Quelle del brigante Mastrilli,I racconti del brigante Mastrilli
Dal_primo_piano_alla_soffitta,6,Dove andò la sorella del contino Leonardo?,Alle Salesiane,Nel convento delle Salesiane
Dal_primo_piano_alla_soffitta,6,Cosa insegnavano i gondolieri al contino Leonardo?,L'arte del remo,A vogare con la gondola
,,,,
Dal_primo_piano_alla_soffitta,7,Chi aiuta finanziariamente il contino Leonardo?,Il signor Oreste,Il cuoco Oreste
Dal_primo_piano_alla_soffitta,7,Qual è il legame di parentela tra Fortunata e Leonardo?,Sono cugini,Fortunata è la cugina di Leonardo
Dal_primo_piano_alla_soffitta,7,Qual è la professione di Gasparo Rialdi?,È un cadetto di marina,Fa il cadetto di marina
,,,,
Dal_primo_piano_alla_soffitta,8,Cosa si era impegnato a fare il contino Leonardo con i suoi compagni?,A vincere le resistenze di Rosetta.,A conquistare Rosetta.
Dal_primo_piano_alla_soffitta,8,Come si chiama la rivale di Rosetta corteggiata da Leonardo?,Filomena.,Si chiama Filomena.
Dal_primo_piano_alla_soffitta,8,Con cosa si era munito il contino Leonardo per conquistare Rosetta?,Con un anellino di brillanti.,Con un anello di diamanti.
,,,,
Dal_primo_piano_alla_soffitta,9,Come viene a sapere il conte Zaccaria dei debiti di suo figlio Leonardo?,Gli viene avvertito che circolano cambiali con la firma del figlio,Viene informato della circolazione di cambiali firmate da Leonardo
Dal_primo_piano_alla_soffitta,9,Quali sono i due ruoli principali del signor Oreste?,È il cuoco e un creditore di Leonardo,È il cuoco della famiglia e un creditore del contino
Dal_primo_piano_alla_soffitta,9,Chi viene incaricato di gestire i debiti del contino Leonardo?,Il signor Bortolo Segugi,"L'agente generale della famiglia, Bortolo Segugi"
,,,,
Dal_primo_piano_alla_soffitta,10,Chi si prende cura del contino Leonardo durante la sua malattia?,La contessa Zanze Rialdi,Zanze Rialdi
Dal_primo_piano_alla_soffitta,10,In quale luogo si trasferisce la contessa Zanze per assistere Leonardo?,Nel palazzo Bollati,A palazzo Bollati
Dal_primo_piano_alla_soffitta,10,Chi soffre maggiormente per la malattia del contino Leonardo?,Fortunata,Sua cugina Fortunata
,,,,
Dal_primo_piano_alla_soffitta,11,Leonardo intende sposare la donna che gli ha chiesto un colloquio privato?,No,Non ha intenzione di prender moglie
Dal_primo_piano_alla_soffitta,11,Come viene descritto Gasparo nel testo?,Come un buon profeta,È un buon profeta
Dal_primo_piano_alla_soffitta,11,La donna sospetta che sua madre abbia cercato di forzare Leonardo al matrimonio?,"Sì, lo sospetta",Sospetta che volesse costringere Leonardo a sposarla
,,,,
Dal_primo_piano_alla_soffitta,12,Chi è la principale sostenitrice del matrimonio tra Leonardo e Fortunata?,La contessa Zanze,Zanze Rialdi
Dal_primo_piano_alla_soffitta,12,Chi è l'avversario più accanito all'unione tra Leonardo e Fortunata?,Sior Bortolo,L'agente generale Bortolo
Dal_primo_piano_alla_soffitta,12,Chi è il padre del nascituro di cui parla la contessa Zanze?,Leonardo,Leonardo Bollati
,,,,
Dal_primo_piano_alla_soffitta,13,Chi è la sorella di Gasparo?,Fortunata,Si chiama Fortunata
Dal_primo_piano_alla_soffitta,13,Qual è la destinazione di Gasparo?,Venezia,La città di Venezia
Dal_primo_piano_alla_soffitta,13,Con quale mezzo di trasporto viaggia Gasparo?,Con il vapore del Lloyd,Con un piroscafo del Lloyd
,,,,
Dal_primo_piano_alla_soffitta,14,Chi è il padre del bambino di Fortunata?,Il contino Leonardo,Leonardo Bollati
Dal_primo_piano_alla_soffitta,14,Quale soluzione chiede Gasparo per sua sorella Fortunata?,Il matrimonio,Che Leonardo la sposi
Dal_primo_piano_alla_soffitta,14,Qual è il legame di parentela tra Gasparo e Leonardo?,Sono cugini,Cugini
,,,,
Dal_primo_piano_alla_soffitta,15,Chi duellò con il marchese Ernesto?,Gasparo Rialdi,Il conte Gasparo Rialdi
