Book,ParagraphIndex,Question,AnswerA,AnswerB
Alle_porte_ditalia,1,Quando è arrivato il prigioniero che indossava una maschera di ferro?,Nell'aprile dell'anno scorso,Nell'aprile dell'anno precedente
Alle_porte_ditalia,2,A chi cedette Pinerolo il conte di Scalenghe?,Al cardinale Richelieu,A Richelieu
Alle_porte_ditalia,3,Di cosa erano coperti gli affreschi prima di essere riportati alla luce?,Di calce,Di intonaco
Alle_porte_ditalia,4,Chi stava discutendo sulla mitezza dei principi d'Acaja?,La signorina e l'esattore,L'esattore e la signorina
Alle_porte_ditalia,5,Quando fu attaccato il capitano Affs?,Il 24 luglio,Il ventiquattro luglio
Alle_porte_ditalia,6,Chi era la sposa del Duca che bombardò Pinerolo?,La marchesa di Spigno e di San Sebastiano,La marchesa di Spigno
Alle_porte_ditalia,7,Come è la scala che i personaggi salgono?,Intagliata nella roccia,Coperta
Alle_porte_ditalia,8,Quanti soldati svernarono con Catinat nella prateria vicino a Fenestrelle nel 1692?,Diecimila,Diecimila soldati
Alle_porte_ditalia,9,Chi si lava la testa con l'acquavite?,Il nipote del vecchio.,Il nipote.
Alle_porte_ditalia,10,Quale evento ha preceduto il cambiamento dello stato d'animo di Evelina?,L'arrivo delle nuove notizie,La riconquista di Pinerolo
Alle_porte_ditalia,11,Chi è Emanuele Filiberto?,Il Duca,Il principe
Alle_porte_ditalia,12,Chi era un carabiniere?,Gamalero,Delpero
Alle_porte_ditalia,13,Come ha trattato Gamalero il suo prigioniero?,Gli ha stretto la cravatta,Gli ha torcito la cravatta
Alle_porte_ditalia,14,Qual era lo scopo delle commissioni provenienti da Torino?,Estirpare l'eresia valdese,Eliminare l'eresia valdese
Alle_porte_ditalia,15,Quali informazioni vengono fornite su Angrogna?,È il luogo di nascita del signor Bonnet.,Vi fu fondato un tempio nel XVI secolo.
Alle_porte_ditalia,16,Che ruolo ricoprì Enrico Arnaud?,Pastore,Capitano della 'rientrata gloriosa'
Alle_porte_ditalia,17,Dove si scontrarono i Valdesi?,Nella val d'Angrogna,Nel tratto più angusto della val d'Angrogna
Alle_porte_ditalia,18,Cosa ha mostrato il pastore Bonnet ai viaggiatori?,Le pietre storiche,La piazzetta di Angrogna
Alle_porte_ditalia,19,Chi fuggì da Torino?,La contessa di Verrue,La contessa
Alle_porte_ditalia,20,Chi perse la ragione prima di morire?,L'uomo amato dalla marchesa,L'uomo della marchesa
Alle_porte_ditalia,21,Che tipo di notizia porta Panissera?,La notizia della vittoria,La vittoria
Alle_porte_ditalia,22,Quali aspetti di Cavour sono menzionati?,La presenza di un mercato e la natura geologica della sua rocca.,Che è una destinazione per passeggeri di treni e la sua rocca è l'ultimo sperone alpino.
Alle_porte_ditalia,23,In quale anno il paese di Osasco fu salvato dalla governante dei conti di Cacherano?,Nel 1705,L'anno 1705
Alle_porte_ditalia,24,Chi fece fare gli scavi intorno alla cascina?,Il conte Camillo,La famiglia Benso
Alle_porte_ditalia,25,Chi è il comandante del 2º Reggimento alpino?,Il Colonnello Federico Queirazza,Federico Queirazza
Alle_porte_ditalia,26,Chi erano i giovani che provenivano dalle valli del Gesso e della Vermenagna?,I membri del battaglione Col di Tenda,I giovani del battaglione Col di Tenda
Alle_porte_ditalia,27,A quale valle è associato Gaudenzio Ferrari?,Alla Val Sesia,Alla valle Sesia
Alle_porte_ditalia,28,A quale città è legato il celebre artista Tiziano?,Pieve,Treviso
Alle_porte_ditalia,29,Qual era il grado dell'istruttore d'equitazione menzionato?,Maggiore,Un maggiore
Alle_porte_ditalia,30,Chi compie la sua passeggiata serale da più di trent'anni?,Il vecchio prete,Il prete anziano
