Book,ParagraphIndex,Question,AnswerA,AnswerB
IL MONDO È ROTONDO ROMANZO,1,Cosa fu rubato a Beatus Renatus?,La catena d'oro,La sua catena d'oro
IL MONDO È ROTONDO ROMANZO,1,In quali parti d'Italia Beatus Renatus visitava le scuole?,Nel nord e nel sud,Sia nell'Italia del nord che in quella del sud
IL MONDO È ROTONDO ROMANZO,1,A chi Beatus Renatus chiese del latte?,Al capraio,Al pastore di capre
,,,,
IL MONDO È ROTONDO ROMANZO,2,Qual è il titolo di Beatus Renatus?,Regio Ispettore,Ispettore Reale
IL MONDO È ROTONDO ROMANZO,2,Dove incontra Beatus Renatus la giovane professoressa?,Nel giardino della città,Nella villa cittadina
IL MONDO È ROTONDO ROMANZO,2,Qual è la professione della giovane donna che incontra Beatus?,Professoressa di italiano,Insegnante di italiano
,,,,
IL MONDO È ROTONDO ROMANZO,3,Chi discute di stile e gloria?,Beatus e la giovane donna,La giovane donna e Beatus
IL MONDO È ROTONDO ROMANZO,3,Cosa vede Beatus nel campo?,Un barbaglio d'oro,Uno strano barbaglio d'oro
IL MONDO È ROTONDO ROMANZO,3,Come chiama la giovane donna il barbaglio d'oro?,Soffioni,Fiori selvatici detti soffioni
,,,,
IL MONDO È ROTONDO ROMANZO,4,Cosa sta facendo Beatus nella sua camera?,Sta scrivendo una relazione per il ministro,Sta preparando un rapporto per S. E. il ministro
IL MONDO È ROTONDO ROMANZO,4,Cosa aveva notato Beatus riguardo alla vecchia cattedra nelle scuole italiane?,Era stata abolita e sostituita dal tavolino,"Non esisteva più, rimpiazzata dal tavolino"
IL MONDO È ROTONDO ROMANZO,4,Cosa ordinò Beatus alla signorina nella scuola liceale?,Di uscire e andarsi a vestire,Di lasciare l'aula per cambiarsi d'abito
,,,,
IL MONDO È ROTONDO ROMANZO,5,Qual è l'attività principale di Beatus in Italia?,Rimproverare gli altri,Rimproverare altrui
IL MONDO È ROTONDO ROMANZO,5,Che mestiere fa Pasquà?,È l'oste,Fa l'oste
IL MONDO È ROTONDO ROMANZO,5,Per chi sono destinate le fragole portate da Carmè?,Per le cocottes,Per le donne che possono pagare
,,,,
IL MONDO È ROTONDO ROMANZO,6,Qual è la professione di Beatus?,È un pedagogista,Un illustre pedagogista
IL MONDO È ROTONDO ROMANZO,6,Chi serve il caffè a Beatus?,Pasquà,Il suo servitore Pasquà
IL MONDO È ROTONDO ROMANZO,6,Cosa pensa Beatus delle fragole?,Le trova odiose,Le considera odiose
,,,,
IL MONDO È ROTONDO ROMANZO,7,Cosa porta sempre con sé Beatus?,Un pastrano d'inverno,Un cappotto invernale
IL MONDO È ROTONDO ROMANZO,7,Quale stretto è pericoloso da attraversare a causa dei tedeschi?,Lo stretto di Messina,Il braccio di mare di Messina
IL MONDO È ROTONDO ROMANZO,7,Qual è la destinazione del viaggio menzionato?,Napoli,La città di Napoli
,,,,
IL MONDO È ROTONDO ROMANZO,8,In cosa credeva Beatus prima della guerra?,Nei benefattori dell'umanità,Nei personaggi che avevano beneficato l'umanità
