Book,ParagraphIndex,Question,AnswerA,AnswerB
,,,,
AL DI LÀ ROMANZO,2,Tra chi viene sigillato il contratto per il romanzo?,Tra il romanziere e la contessa,Tra lo scrittore e la signora
AL DI LÀ ROMANZO,2,Come si chiama il personaggio a cui ci si rivolge nel Capitolo I?,Carlo,Il personaggio di nome Carlo
,,,,
AL DI LÀ ROMANZO,3,Cosa porta Giorgio con sé quando si allontana?,Un fucile,Il suo fucile
AL DI LÀ ROMANZO,3,Quale città osserva Giorgio illuminata da lontano?,Bologna,La città di Bologna
AL DI LÀ ROMANZO,3,Dove si ferma Giorgio dopo aver camminato per mezz'ora?,Ad un piccolo cancello,Davanti a un piccolo cancello
,,,,
AL DI LÀ ROMANZO,4,Chi prova una forte passione per la marchesa?,Carlo,Il personaggio di Carlo
AL DI LÀ ROMANZO,4,Cosa fa la marchesa per proteggere Mimy dal sole?,Le tiene il cappello,La ripara con il cappello
AL DI LÀ ROMANZO,4,Quale argomento stanno discutendo Giorgio e la marchesa?,L'amore e i sessi,La capacità di amare degli uomini
,,,,
AL DI LÀ ROMANZO,5,Chi è Carlo per Mimy?,Suo marito.,Il marito di Mimy.
AL DI LÀ ROMANZO,5,Cosa vuole Giorgio da Mimy?,Vuole sedurla.,Desidera che lei diventi la sua amante.
AL DI LÀ ROMANZO,5,Come reagisce Mimy alle avances di Giorgio?,Lo rifiuta.,Respinge le sue avances.
,,,,
AL DI LÀ ROMANZO,6,Qual è la professione di Carlo?,È un avvocato,La sua professione è avvocato
,,,,
,,,,
AL DI LÀ ROMANZO,8,Chi è innamorato della marchesa?,Carlo,Il personaggio Carlo
AL DI LÀ ROMANZO,8,Dove si sono incontrati il mittente della lettera e la signora?,A Rimini,Nella città di Rimini
AL DI LÀ ROMANZO,8,Qual è la relazione tra la marchesa e l'avvocato?,Sono marito e moglie,Sono sposati
,,,,
,,,,
AL DI LÀ ROMANZO,10,Chi ha portato la lettera della marchesa?,Carlo,Il personaggio di nome Carlo
AL DI LÀ ROMANZO,10,Cosa ha ordinato il medico alla protagonista?,Un po' di moto,Di fare attività fisica
AL DI LÀ ROMANZO,10,Cosa ha proposto la marchesa alla protagonista?,Un giro in carrozza in campagna,Una passeggiata in carrozza
,,,,
AL DI LÀ ROMANZO,11,Chi propone a Mimy di diventare la sua amante?,Giorgio,Il personaggio di Giorgio
AL DI LÀ ROMANZO,11,Chi è Carlo per Mimy?,Suo marito,Il marito di Mimy
AL DI LÀ ROMANZO,11,Quale scelta finale propone Giorgio a Mimy?,O amanti o nemici,Di essere amanti o nemici
,,,,
AL DI LÀ ROMANZO,12,Dove stava andando la marchesa?,A Bologna,Verso la città di Bologna
AL DI LÀ ROMANZO,12,Qual è la professione di Carlo?,È un avvocato,Svolge la professione di avvocato
,,,,
,,,,
AL DI LÀ ROMANZO,14,Dove si nasconde Giorgio per aspettare Mimy?,Nella camera di Mimy,Nel letto di Mimy
AL DI LÀ ROMANZO,14,Chi sospetta Giorgio che sia con Mimy?,Carlo,Il personaggio di Carlo
,,,,
,,,,
AL DI LÀ ROMANZO,16,Che notizia importante comunica la marchesa a Mimy?,Che partirà presto,Che sta per andarsene
AL DI LÀ ROMANZO,16,Come reagisce Mimy alla notizia della partenza della marchesa?,Impallidisce e si sente male,Sviene quasi per l'emozione
AL DI LÀ ROMANZO,16,Cosa rimprovera Mimy alla marchesa?,Di essere diventata cattiva,Di essere cambiata in peggio
,,,,
AL DI LÀ ROMANZO,17,"Chi è l'autore di 'La Donna, Opere inedite'?",Ottone di Banzole,Banzole
AL DI LÀ ROMANZO,17,Chi è la donna che si trova nella carrozza di seta azzurra?,La marchesa,Una marchesa
AL DI LÀ ROMANZO,17,Chi è l'uomo che accompagna la marchesa nella carrozza?,L'avvocato,Un avvocato
,,,,
AL DI LÀ ROMANZO,18,Qual è la professione di Carlo?,È un avvocato,Svolge la professione di avvocato
AL DI LÀ ROMANZO,18,Chi è la donna amata da Carlo?,La marchesa,È innamorato della marchesa
AL DI LÀ ROMANZO,18,Chi è il rivale di Carlo per la marchesa?,Il marchese Del Pino,È il marchese Del Pino
,,,,
AL DI LÀ ROMANZO,19,Che professione svolge Giorgio?,È un avvocato,L'avvocato
AL DI LÀ ROMANZO,19,Dove si terrà la causa di Giorgio?,Alle Assisie,"A Bologna, alle Assisie"
AL DI LÀ ROMANZO,19,Di chi è innamorato Giorgio?,Della marchesa,Della donna chiamata marchesa
,,,,
AL DI LÀ ROMANZO,20,Qual è il ruolo di Carlo nel processo?,È un avvocato,È il compagno della difesa
AL DI LÀ ROMANZO,20,Dove si svolge il processo?,Nella sala dell'Assisie,In tribunale
AL DI LÀ ROMANZO,20,Di cosa è accusata la donna?,Di aver ucciso il marito,Dell'omicidio del marito
,,,,
AL DI LÀ ROMANZO,21,Come viene chiamata la donna che canta nel brano?,Milady,La marchesa
AL DI LÀ ROMANZO,21,Chi si inginocchia presso il letto della marchesa?,Zisa,Il personaggio di Zisa
AL DI LÀ ROMANZO,21,Quale strumento musicale suona Milady?,La mandola,Uno strumento a corde chiamato mandola
,,,,
AL DI LÀ ROMANZO,22,Che legame c'è tra Mimy e l'altra?,Sono sorelle,Sono due sorelle
AL DI LÀ ROMANZO,22,Chi è Sulema?,È l'araba della marchesa,È la serva araba della marchesa
AL DI LÀ ROMANZO,22,Cosa dà Mimy a Sulema?,Un medaglione con il suo ritratto,Un medaglione con la sua miniatura da bambina
,,,,
AL DI LÀ ROMANZO,23,Chi faceva gli onori di casa alla festa?,La marchesa,La padrona di casa
AL DI LÀ ROMANZO,23,In quale città si svolgeva la festa da ballo?,A Bologna,Nella città di Bologna
