Book,ParagraphIndex,Question,AnswerA,AnswerB
IL RICHIAMO DELLA FORESTA,1,Dove vive Buck prima di essere venduto da Manuele?,Nella Valle di Santa Clara,"In California, nella Valle di Santa Clara"
IL RICHIAMO DELLA FORESTA,1,Qual è la ragione principale per cui Buck viene portato nel Nord gelato?,La corsa all'oro nel Klondike,La scoperta dell'oro nel Klondike
IL RICHIAMO DELLA FORESTA,1,Di che razza è Buck?,Un incrocio tra San Bernardo e pastore scozzese,Un San Bernardo e pastore scozzese
,,,,
IL RICHIAMO DELLA FORESTA,2,Chi era il padrone di Buck prima del suo rapimento?,Il giudice Miller,Il giudice Miller in California
IL RICHIAMO DELLA FORESTA,2,Dove viveva Buck prima di essere rapito?,Nella Santa Clara Valley,Nella tenuta del giudice Miller
IL RICHIAMO DELLA FORESTA,2,Chi acquista Buck dopo il suo rapimento a San Francisco?,François e Perrault,I due corrieri François e Perrault
,,,,
IL RICHIAMO DELLA FORESTA,3,Qual era la vita di Buck prima di essere rapito?,Era un cane domestico in California,Viveva nella tenuta del giudice Miller
IL RICHIAMO DELLA FORESTA,3,Quale lezione fondamentale impara Buck dall'uomo dalla maglia rossa?,La legge della mazza,Che la forza bruta prevale
IL RICHIAMO DELLA FORESTA,3,Per quale scopo viene venduto Buck dopo essere stato rapito?,Per lavorare come cane da slitta,Per essere impiegato nella corsa all'oro del Klondike
,,,,
IL RICHIAMO DELLA FORESTA,4,Da dove proviene Buck prima di diventare un cane da slitta?,Dalla California,Dalla Santa Clara Valley in California
IL RICHIAMO DELLA FORESTA,4,Chi è l'ultimo padrone di Buck?,John Thornton,Il cercatore John Thornton
IL RICHIAMO DELLA FORESTA,4,Chi è il principale rivale di Buck nella muta?,Spitz,Il cane Spitz
,,,,
IL RICHIAMO DELLA FORESTA,5,Qual è il destino finale di Buck?,Si unisce a un branco di lupi,Torna alla vita selvaggia con i lupi
IL RICHIAMO DELLA FORESTA,5,Qual è lo scopo principale del viaggio di Perrault e François con la slitta?,Trasportare la posta del governo,Consegnare dispacci governativi
