    Book,ParagraphIndex,Question,AnswerA,AnswerB
IL RE PREGA ROMANZO,1,Quanti abitanti ha la casa descritta?,Due,Due persone
IL RE PREGA ROMANZO,1,Quali tipi di libri si trovano nella casa?,Volumi di filosofia e letteratura,Libri di autori classici e moderni
IL RE PREGA ROMANZO,1,Qual è la caratteristica principale dello stile di vita degli abitanti?,Mediocrità e parsimonia,Indifferenza alle comodità
,,,,
IL RE PREGA ROMANZO,2,Chi è Monsignore Laudisio?,Il vescovo di Policastro,Un vescovo e alto commissario di polizia
IL RE PREGA ROMANZO,2,Qual era la funzione principale di Monsignore Laudisio oltre a quella di vescovo?,Alto commissario di polizia,Commissario di polizia della provincia
IL RE PREGA ROMANZO,2,In quale provincia fu installato Monsignore Laudisio come vescovo?,Nel Cilento,Nella provincia del Cilento
,,,,
IL RE PREGA ROMANZO,3,Chi è il fratello di Bambina?,Don Diego,Il prete Don Diego
IL RE PREGA ROMANZO,3,Quanti anni ha Bambina?,Diciassette anni,Ha diciassette anni
IL RE PREGA ROMANZO,3,Cosa ha dichiarato Don Diego essere perduto?,Il pane e l'onore,L'onore e il pane
,,,,
IL RE PREGA ROMANZO,4,Perché il capitano chiuse gli sportelli della carrozza al ponte di Campestrino?,Per nascondere le teste dei briganti,Per sottrarre alla vista le teste dei condannati
IL RE PREGA ROMANZO,4,Cosa disse re Ferdinando all'architetto riguardo al ponte?,Che gli mancava la testa,Che la sua testa era ciò che mancava
IL RE PREGA ROMANZO,4,Dove si fermò il cappuccino?,Ad Eboli,Nella località di Eboli
,,,,
IL RE PREGA ROMANZO,5,Perché Don Diego è partito da Lauria?,Per una disgrazia personale,A causa di una sventura
IL RE PREGA ROMANZO,5,Quale professione vorrebbe fare Don Diego?,L'insegnante,Dedicarsi all'insegnamento
IL RE PREGA ROMANZO,5,Quali autorità rifiutano a Don Diego il permesso di insegnare?,L'arcivescovo e Monsignor Apuzzo,Monsignor Apuzzo e l'arcivescovo
,,,,
IL RE PREGA ROMANZO,6,Chi consiglia Don Diego?,Don Domenico,L'impiegato Don Domenico
IL RE PREGA ROMANZO,6,Quale consiglio dà Don Domenico a Don Diego riguardo sua sorella?,Di mandarla a confessione,Di farla confessare
IL RE PREGA ROMANZO,6,Perché Don Domenico si interessa del caso di Don Diego?,Suo fratello glielo ha chiesto,Perché suo fratello glielo ha domandato
,,,,
IL RE PREGA ROMANZO,7,Che mestiere fa Don Lelio?,Il paglietta,Un uomo di legge
IL RE PREGA ROMANZO,7,Contro chi aveva giurato odio Don Lelio?,Il governo dei Borboni,I Borboni e il dispotismo
IL RE PREGA ROMANZO,7,Chi ha raccomandato Don Diego a Don Lelio?,Il barone di Sanza,Sanza
,,,,
IL RE PREGA ROMANZO,8,Dove fu installato il P. Piombini?,A Napoli,Nella casa di Napoli
IL RE PREGA ROMANZO,8,Qual era la parte del P. Piombini nella Società?,La predica e la confessione,Predicare e confessare
IL RE PREGA ROMANZO,8,Quale passione fatale aveva il P. Piombini?,La passione per le femmine,L'amore per le donne
,,,,
IL RE PREGA ROMANZO,9,Chi è Monsignor Cocle?,Il confessore del re,Un cappuccino e confessore del re
IL RE PREGA ROMANZO,9,Dove si trova il domicilio di ostentazione di Monsignor Cocle?,Al convento di S. Pasquale ad Aram,A S. Pasquale ad Aram a l'Infrascata
IL RE PREGA ROMANZO,9,Qual è il ruolo di Monsignor Cocle per Ferdinando II di Napoli?,È il suo confessore,È il confessore del re
,,,,
IL RE PREGA ROMANZO,10,Chi propone matrimonio a Bambina?,Domenico Taffa,Il signor Taffa
IL RE PREGA ROMANZO,10,A chi è indirizzata la proposta di matrimonio di Domenico Taffa?,A Don Diego,Al fratello di Bambina
IL RE PREGA ROMANZO,10,Come si chiama il Barone di Sanza?,Tiberio,Il Barone Tiberio
,,,,
IL RE PREGA ROMANZO,11,Chi viene accusato di essere un traditore e una spia?,Don Diego,Il fratello di Bambina
IL RE PREGA ROMANZO,11,Quali visite segrete nasconde Bambina a Don Diego?,Le visite a Tiberio e al gesuita,Le sue visite a Tiberio e al gesuita
IL RE PREGA ROMANZO,11,Chi sospetta Don Diego che Bambina abbia incontrato?,Il barone di Sanza,Il Barone di Sanza
,,,,
IL RE PREGA ROMANZO,12,Dove si dirige la carrozza con 'ella'?,Alla villa Belvedere,Verso la villa Belvedere al Vomero
IL RE PREGA ROMANZO,12,Quali istituzioni schiacciavano Napoli?,La Chiesa e la Polizia,Le due istituzioni della Chiesa e della Polizia
IL RE PREGA ROMANZO,12,Chi inviò eserciti per restaurare i Borboni?,Il principe di Metternich,Metternich
,,,,
IL RE PREGA ROMANZO,13,Come si chiama il personaggio che ignora gli appelli del canonico Pappasugna?,Don Diego,Si chiama Don Diego
IL RE PREGA ROMANZO,13,Qual è il legame di parentela tra Bambina e Don Diego?,Sono fratello e sorella,Bambina è la sorella di Don Diego
IL RE PREGA ROMANZO,13,Chi sospetta Don Diego per la fuga di sua sorella Bambina?,Il Barone di Sanza e il gesuita,Sospetta il gesuita e il Barone di Sanza
,,,,
IL RE PREGA ROMANZO,14,Quale professione è associata al protagonista?,Prete,Sacerdote
IL RE PREGA ROMANZO,14,Come si chiama la donna che attrae il protagonista?,Concettella,Si chiama Concettella
IL RE PREGA ROMANZO,14,Qual era l'atteggiamento del protagonista verso l'amore e le donne?,Ignorava l'amore e si spaventava delle donne,Non conosceva l'amore e provava timore per le donne
,,,,
IL RE PREGA ROMANZO,15,Che mestiere svolge Gabriele?,Fa il lazzarone,È un facchino al Ponte della Maddalena
IL RE PREGA ROMANZO,15,Da dove arrivano i Calabresi?,Dal Ponte della Maddalena,Arrivano al Ponte della Maddalena
IL RE PREGA ROMANZO,15,Come considera il lazzarone le genti della provincia?,Le disprezza,Le chiama calabresi e le considera barbare
,,,,
IL RE PREGA ROMANZO,16,Chi sono i due combattenti nel duello descritto?,Gabriele e Filippo,Filippo e Gabriele
IL RE PREGA ROMANZO,16,Dove fu portato Filippo dopo essere stato ferito?,Allo spedale dei Pellegrini,All'ospedale dei Pellegrini
IL RE PREGA ROMANZO,16,Cosa fece Gabriele dopo aver disarmato Filippo?,Gettò via il coltello e lo lasciò vivere,"Non lo uccise, ma gettò via la sua arma"
,,,,
IL RE PREGA ROMANZO,17,Come si chiama la sorella del prete?,Bambina,Si chiama Bambina
IL RE PREGA ROMANZO,17,Chi visita il prete per chiarire i suoi sospetti?,Il barone di Sanza,Visita il Barone di Sanza
IL RE PREGA ROMANZO,17,A chi il prete non accorda la mano di Bambina?,A Don Domenico Taffa,A Don Domenico
,,,,
IL RE PREGA ROMANZO,18,Di cosa è accusato il fratello di Bambina?,Di essere una spia,Di spionaggio
IL RE PREGA ROMANZO,18,Tiberio decide di aiutare il fratello di Bambina?,"No, non lo aiuta",Si rifiuta di aiutarlo
IL RE PREGA ROMANZO,18,Chi considera di invocare Bambina dopo aver lasciato Tiberio?,Lady Keith,La signora Keith
,,,,
