Book,ParagraphIndex,Question,AnswerA,AnswerB
Alle_porte_ditalia,1,In quale città si trova la cittadella menzionata?,A Pinerolo,Nella città di Pinerolo
Alle_porte_ditalia,1,Chi è il governatore del castello della cittadella?,Saint-Mars,Il Saint-Mars
Alle_porte_ditalia,1,Cosa indossava sul viso il prigioniero arrivato nell'aprile dell'anno scorso?,Una maschera di ferro,Una maschera fatta di ferro
,,,,
Alle_porte_ditalia,2,Chi riempie Pinerolo del suo umor nero?,Saint-Mars,Il Saint-Mars
Alle_porte_ditalia,2,Come si chiama il governatore di Pinerolo?,D'Herleville,Il governatore d'Herleville
Alle_porte_ditalia,2,Chi cedette Pinerolo al cardinale Richelieu?,Il conte di Scalenghe,Scalenghe
,,,,
Alle_porte_ditalia,3,Come si chiama il palazzo descritto nell'estratto?,Palazzo dei Principi,Il palazzo dei Principi
Alle_porte_ditalia,3,Quale personaggio storico è rappresentato in uno degli affreschi?,Amedeo IX di Savoia,Il Duca Amedeo IX di Savoia
Alle_porte_ditalia,3,Chi ha riportato alla luce gli affreschi coperti di calce?,Il direttore dei catecumeni,Il direttore dei catecumeni del palazzo
,,,,
Alle_porte_ditalia,4,Chi sposò la giovane signora dopo che il suo primo matrimonio fu sciolto?,Giovanni di Chalon,"Il signore d'Arlay, Giovanni di Chalon"
Alle_porte_ditalia,4,Qual era l'argomento principale della discussione tra la signorina e l'esattore?,La mitezza dei principi d'Acaja,Se i principi d'Acaja fossero miti
Alle_porte_ditalia,4,Quale tipo di ostaggi tenevano sepolti i principi d'Acaja in una torre?,Ragazzi astigiani,Giovani di Asti
,,,,
Alle_porte_ditalia,5,Chi comandava il presidio del forte?,Il Colonnello Sestribe e il Governatore De Beaulieu,Colonnello Sestribe e Governatore De Beaulieu
Alle_porte_ditalia,5,Quanto tempo resistette il forte all'assedio?,Quasi un mese,Per circa un mese
Alle_porte_ditalia,5,Chi attaccò il capitano Affs il 24 luglio?,Il duca Amedeo,Duca Amedeo
,,,,
Alle_porte_ditalia,6,Chi sta bombardando Pinerolo?,Il Duca,Vittorio Amedeo II
Alle_porte_ditalia,6,Come si chiamava l'amante di Vittorio Amedeo II che divenne sua sposa?,La marchesa di Spigno e di San Sebastiano,La marchesa di Spigno
Alle_porte_ditalia,6,Quale edificio di Pinerolo fu gravemente danneggiato dal bombardamento e dove morì la sposa di Vittorio Amedeo II?,Il monastero della Visitazione,Il monastero della Visitazione a Pinerolo
,,,,
Alle_porte_ditalia,7,Quanti scalini ha la scala che i personaggi salgono?,Quattromila,Quattromila scalini
Alle_porte_ditalia,7,Quale percorso scelgono i protagonisti per salire il monte?,La scala coperta,La scala intagliata nella roccia
Alle_porte_ditalia,7,Da quale forte inizia la scala che porta alla cima del monte?,Dal forte di San Carlo,Dal Forte San Carlo
,,,,
Alle_porte_ditalia,8,Chi fece erigere il forte di Mutino?,Luigi XIV,Il re Luigi XIV
Alle_porte_ditalia,8,Cosa rese famosa la prateria vicino a Fenestrelle nel 1692?,Catinat vi svernò con diecimila soldati,Il generale Catinat vi passò l'inverno con diecimila soldati
Alle_porte_ditalia,8,Per quale motivo gli ufficiali venivano mandati a Fenestrelle?,Per meditare il regolamento di disciplina,Per studiare il regolamento di disciplina
,,,,
Alle_porte_ditalia,9,Qual è la causa principale dell'odio del vecchio per i francesi?,Un'offesa al Consiglio dei Cento da parte di un ufficiale francese.,L'insulto di un ufficiale francese al Consiglio dei Cento.
Alle_porte_ditalia,9,Come si fortifica la testa il nipote del vecchio?,Si lava il capo con l'acquavite.,Usa l'acquavite per lavarsi la testa.
Alle_porte_ditalia,9,Quale personaggio storico viene menzionato da Benavides per impressionare la giovane?,Emanuele Filiberto.,Il duca Emanuele Filiberto.
,,,,
Alle_porte_ditalia,10,Quale città vuole riconquistare il cugino?,Pinerolo,La città di Pinerolo
Alle_porte_ditalia,10,Come si sentiva Evelina prima dell'arrivo delle nuove notizie?,Era distratta e taciturna,Era triste e pensierosa
Alle_porte_ditalia,10,Da dove proviene don Enrique de Benavides y Zeballos?,Dalla Catalogna,È catalano
,,,,
Alle_porte_ditalia,11,Chi è il Duca che la folla attende?,Emanuele Filiberto,Il principe Emanuele Filiberto
Alle_porte_ditalia,11,Chi è l'uomo che Evelina non vuole che parta?,Benavides,Il Benavides
Alle_porte_ditalia,11,Da dove apparirà il Duca?,Dal Belvedere,Dal punto chiamato Belvedere
,,,,
Alle_porte_ditalia,12,Dove fu catturato il bandito Delpero?,A Vigone,Nella località di Vigone
Alle_porte_ditalia,12,Qual era la professione di Gamalero?,Era un carabiniere,Un carabiniere
,,,,
Alle_porte_ditalia,13,Chi ha lottato contro Delpero?,Il brigadiere e il carabiniere,I due carabinieri
Alle_porte_ditalia,13,Come è fuggito il negoziante di bovi?,È volato per la finestra,È scappato dalla finestra
Alle_porte_ditalia,13,Cosa ha fatto Gamalero al suo prigioniero?,Gli ha stretto la cravatta,Gli ha torcito la cravatta
,,,,
