Book,ParagraphIndex,Question,AnswerA,AnswerB
Il_diario_di_un_viandante,1,Da quale città è stata spedita la lettera?,Da Mosca,Dalla città di Mosca
Il_diario_di_un_viandante,1,Chi diede l'ordine di incendiare Mosca?,Il Governatore,Il Governatore della città
Il_diario_di_un_viandante,1,Chi vuole che l'ordine sia ristabilito a Mosca?,Napoleone,L'imperatore Napoleone
,,,,
Il_diario_di_un_viandante,2,Come morì zio Cristoforo?,Assiderato dal freddo,"Per il freddo, in un fosso"
Il_diario_di_un_viandante,2,Cosa volevano far fare a zio Cristoforo?,Volevano farlo impiegato,Desideravano che diventasse un impiegato
,,,,
Il_diario_di_un_viandante,3,Quando Zio Cristoforo se ne va?,Durante la notte,Di notte
Il_diario_di_un_viandante,3,Quale oggetto lascia Zio Cristoforo?,Un orologio d'argento,Un piccolo orologio d'argento
Il_diario_di_un_viandante,3,Come reagisce Pasquina alla partenza di Zio Cristoforo?,È contenta che sia partito,Pensa che abbia fatto bene ad andarsene
,,,,
Il_diario_di_un_viandante,4,Come si chiama la giovane beduina?,Khadija,La ragazza si chiama Khadija
Il_diario_di_un_viandante,4,Perché Khadija e la sua famiglia si sono trasferiti in città?,Per la fame,A causa della fame
Il_diario_di_un_viandante,4,Cosa vende la vecchia scalza?,Testuggini,Le testuggini
,,,,
Il_diario_di_un_viandante,5,Come si chiama la donna solitaria?,Zubeida,Si chiama Zubeida
Il_diario_di_un_viandante,5,Quanti anni ha Zubeida?,Ventidue anni,Ha ventidue anni
Il_diario_di_un_viandante,5,Zubeida ha figli?,"No, il suo unico figlio è morto","No, ha perso il suo bambino"
,,,,
Il_diario_di_un_viandante,6,Chi sposa la Formica?,Il Grillo,Sposa il Grillo
Il_diario_di_un_viandante,6,Dove è nata Jasmina?,A Mohamedia,Nella città di Mohamedia
,,,,
Il_diario_di_un_viandante,7,Chi sono le due giovani donne presentate?,Le figlie di Debora,Le due figlie di Debora
Il_diario_di_un_viandante,7,Quanti anni hanno le figlie di Debora?,Sedici e diciotto anni,Una ha sedici anni e l'altra diciotto
Il_diario_di_un_viandante,7,Qual è la caratteristica fisica principale delle figlie di Debora?,Sono molto grasse,Sono di corporatura molto robusta
,,,,
Il_diario_di_un_viandante,8,Chi ha comprato l'antico palazzo arabo?,Un cristiano,Un acquirente cristiano
Il_diario_di_un_viandante,8,Qual era l'origine del palazzo abbandonato?,Era un palazzo arabo,Era un monumento arabo
