Book,ParagraphIndex,Question,AnswerA,AnswerB
L'INCANTESIMO,1,Come si chiamava il padre di Aurelio?,Alessandro,Il suo nome era Alessandro
L'INCANTESIMO,1,Quale rivista fondò Aurelio?,La Rivista di sociologia,La pubblicazione intitolata La Rivista di sociologia
L'INCANTESIMO,1,Qual era il principale obiettivo di Aurelio?,Una restaurazione sociale,L'opera di restaurazione sociale
,,,,
L'INCANTESIMO,2,Dove si reca la famiglia Boris?,A Cerro,Nella località di Cerro
L'INCANTESIMO,2,Chi sono i membri principali della famiglia Boris?,"L'ingegnere, sua moglie e la figlia Flavia","L'ingegnere, la signora Boris e Flavia"
L'INCANTESIMO,2,Come si sente Donna Marta a Cerro?,Si sente sola e annoiata,È triste e prova tedio
,,,,
L'INCANTESIMO,3,Aurelio ha stretti legami di parentela o d'amicizia?,"No, non ne ha",Vive senza stretti vincoli
L'INCANTESIMO,3,Chi è Camilla per Aurelio?,È la sua fantesca,È la domestica di Aurelio
L'INCANTESIMO,3,Chi stava servendo Camilla prima di Aurelio?,La signora,Stava accudendo la signora
,,,,
L'INCANTESIMO,4,Cosa spiega Luciano ad Aurelio?,I progressi della Rivista,Lo stato della Rivista
L'INCANTESIMO,4,Quale storia narra Aurelio durante la colazione?,La storia di Cerro e la leggenda del cimitero,La fondazione di Cerro e la leggenda di Polidoro
L'INCANTESIMO,4,Perché donna Marta si ritira dopo la colazione?,Accusava un po' di malessere,Si sentiva poco bene
,,,,
L'INCANTESIMO,5,Per quale motivo Aurelio si reca in campagna?,Per lavorare,Per dedicarsi al lavoro
L'INCANTESIMO,5,Come si descrive Aurelio in relazione alle donne?,Misogino,Nemico delle donne
L'INCANTESIMO,5,Cosa chiede Flavia ad Aurelio dopo la sua dichiarazione di misoginia?,Il significato di misogino,Cosa significhi essere misogino
,,,,
L'INCANTESIMO,6,Qual è il grande disegno di Aurelio?,Compiere e coronare l'opera iniziata dall'avolo,Portare a termine il progetto del nonno
L'INCANTESIMO,6,Per cosa era noto Gian Franco?,Per l'amore della patria,Per il suo amor di patria
L'INCANTESIMO,6,"Qual era la caratteristica distintiva del padre di Aurelio, Alessandro?",Lo splendore del fasto e dell'eleganza,Il fasto e l'eleganza
,,,,
L'INCANTESIMO,7,Qual è il legame di parentela tra Aurelio e Donna Marta?,Donna Marta è la nonna di Aurelio,Aurelio è il nipote di Donna Marta
L'INCANTESIMO,7,Chi è la persona che Aurelio difende?,È la cameriera di Aurelio,È la domestica di Aurelio
L'INCANTESIMO,7,Quale accusa iniziale riguardava la cameriera difesa da Aurelio?,Era accusata di un fatto che Aurelio ha smentito,Era stata accusata di un evento che Aurelio ha dimostrato non essere accaduto
,,,,
