Book,ParagraphIndex,Question,AnswerA,AnswerB
L'ALCÒVA D'ACCIAIO ROMANZO VISSUTO,1,Chi è il personaggio che impone il 'giro totale della tavola' e promuove l'elasticità futurista?,Il narratore protagonista,Il capo del gruppo futurista
L'ALCÒVA D'ACCIAIO ROMANZO VISSUTO,1,Che cosa succede al dottore dopo il tumultuoso giro della tavola?,Viene emarginato dal gruppo,Si ritira dalla scena
L'ALCÒVA D'ACCIAIO ROMANZO VISSUTO,1,A quale tipo di ideologia o sistema si riferisce il 'passatismo austro-ungarico' che i futuristi intendono combattere?,Alla mentalità conservatrice e tradizionalista,Alle vecchie strutture politiche e culturali
,,,,
L'ALCÒVA D'ACCIAIO ROMANZO VISSUTO,2,Qual è il nome del tenente narratore?,Emilio Lussu,L'autore Emilio Lussu
L'ALCÒVA D'ACCIAIO ROMANZO VISSUTO,2,Qual è il titolo del libro del tenente?,Un anno sull'Altipiano,Il libro si intitola Un anno sull'Altipiano
L'ALCÒVA D'ACCIAIO ROMANZO VISSUTO,2,Qual è il nome della grande battaglia che il tenente si prepara ad affrontare?,La battaglia dell'Ortigara,L'offensiva italiana sull'Ortigara
,,,,
L'ALCÒVA D'ACCIAIO ROMANZO VISSUTO,3,In quale regione italiana si svolge la battaglia principale descritta nel libro?,Nel Veneto,Nella regione del Veneto
L'ALCÒVA D'ACCIAIO ROMANZO VISSUTO,3,A quale conflitto storico si riferisce la battaglia chimica menzionata nel testo?,Alla Prima Guerra Mondiale,Al primo conflitto mondiale
L'ALCÒVA D'ACCIAIO ROMANZO VISSUTO,3,Quale villaggio viene ripetutamente colpito dalle granate durante la battaglia?,Rotzo,Il villaggio di Rotzo
,,,,
L'ALCÒVA D'ACCIAIO ROMANZO VISSUTO,4,Quale reparto d'assalto comanda il Colonnello Trivulzio?,Il 1° Reparto d'Assalto,Il Reparto d'Assalto 'Fiamme Nere'
L'ALCÒVA D'ACCIAIO ROMANZO VISSUTO,4,Come si chiama il narratore del libro?,Si chiama Marco,Il protagonista è Marco
L'ALCÒVA D'ACCIAIO ROMANZO VISSUTO,4,Quale battaglia decisiva viene combattuta sul fiume Piave?,La Battaglia del Solstizio,La Seconda Battaglia del Piave
,,,,
L'ALCÒVA D'ACCIAIO ROMANZO VISSUTO,5,In quale città si trova la caserma di S. Benigno?,A Genova,Nella città di Genova
L'ALCÒVA D'ACCIAIO ROMANZO VISSUTO,5,Quale conflitto storico è il contesto principale del racconto?,La guerra mondiale,Il primo conflitto mondiale
L'ALCÒVA D'ACCIAIO ROMANZO VISSUTO,5,Qual è il ruolo del narratore all'interno della caserma?,È un militare,È un soldato
,,,,
L'ALCÒVA D'ACCIAIO ROMANZO VISSUTO,6,Come viene identificata l'automobile del narratore?,Con il numero 74,È la 74
L'ALCÒVA D'ACCIAIO ROMANZO VISSUTO,6,Quale grande città viene attraversata o raggiunta durante la corsa?,Genova,La città di Genova
L'ALCÒVA D'ACCIAIO ROMANZO VISSUTO,6,Con quale espressione vengono spesso descritte le automobili che partecipano alla corsa?,Donne d'acciaio,Come donne d'acciaio
,,,,
L'ALCÒVA D'ACCIAIO ROMANZO VISSUTO,7,Chi è l'autore del libro da cui è tratto questo brano?,Filippo Tommaso Marinetti,Marinetti
L'ALCÒVA D'ACCIAIO ROMANZO VISSUTO,7,Quale tipo di veicolo è il protagonista delle descrizioni di velocità nel libro?,Un'automobile da corsa,Un'auto sportiva e potente
L'ALCÒVA D'ACCIAIO ROMANZO VISSUTO,7,In quale nazione si svolgono i viaggi descritti nel libro?,In Italia,Nella penisola italiana
,,,,
L'ALCÒVA D'ACCIAIO ROMANZO VISSUTO,8,Come si chiama il capitano?,Il suo nome è Marco,Si chiama Marco
L'ALCÒVA D'ACCIAIO ROMANZO VISSUTO,8,Che tipo di luogo è Bevadoro?,È un piccolo villaggio agricolo,Si tratta di un borgo rurale
L'ALCÒVA D'ACCIAIO ROMANZO VISSUTO,8,Qual è la missione principale del capitano?,La sua missione è esplorare nuove regioni,Deve esplorare territori sconosciuti
,,,,
L'ALCÒVA D'ACCIAIO ROMANZO VISSUTO,9,Qual è il nome del veicolo blindato del narratore?,La sua auto-blindata 74,Il veicolo blindato numero 74
L'ALCÒVA D'ACCIAIO ROMANZO VISSUTO,9,In quale guerra è coinvolta l'8ª squadriglia?,Nella Guerra Italo-Turca,Nel conflitto di Libia
L'ALCÒVA D'ACCIAIO ROMANZO VISSUTO,9,Da quale nazione è stata acquistata la mitragliatrice S. Etienne utilizzata dall'8ª squadriglia?,Dalla Francia,Dalla nazione francese
,,,,
L'ALCÒVA D'ACCIAIO ROMANZO VISSUTO,10,Qual è il ruolo di Marinetti nel movimento futurista?,Il fondatore del Futurismo,Il capo del movimento futurista
L'ALCÒVA D'ACCIAIO ROMANZO VISSUTO,10,Chi è l'autore dello spettacolo di marionette al Teatro dei Piccoli?,Fortunato Depero,Il futurista Fortunato Depero
L'ALCÒVA D'ACCIAIO ROMANZO VISSUTO,10,Quale evento si svolge la sera successiva alla rappresentazione al Teatro dei Piccoli?,Una festa napoleonica,La festa napoleonica nel salotto di Donna Maria Mazzoleni
,,,,
L'ALCÒVA D'ACCIAIO ROMANZO VISSUTO,11,Qual è il destino di Bianca nel libro?,Bianca muore.,La sua vita si conclude tragicamente.
