Book,ParagraphIndex,Question,AnswerA,AnswerB
L'AMORE CHE TORNA ROMANZO,1,Quale libro stava leggendo la protagonista?,Le roman d'un spahi,Il romanzo 'Le roman d'un spahi'
L'AMORE CHE TORNA ROMANZO,1,Quale autore piace molto alla protagonista?,Loti,Pierre Loti
L'AMORE CHE TORNA ROMANZO,1,Chi porta il vassoio del tè?,Ludovico,Il personaggio di nome Ludovico
,,,,
L'AMORE CHE TORNA ROMANZO,2,Chi è Edoarda per Guelfo?,Un suo antico amore,Una sua vecchia fiamma
L'AMORE CHE TORNA ROMANZO,2,Cosa sta per fare Guelfo?,Sposarsi,Contrarre matrimonio
L'AMORE CHE TORNA ROMANZO,2,Chi parla con Guelfo nell'estratto?,La Marchesa,Una donna di nome Marchesa
,,,,
L'AMORE CHE TORNA ROMANZO,3,Quale caratteristica della fanciulla fu suggerita dagli amici di Guelfo?,Era enormemente ricca,Possedeva grande ricchezza
L'AMORE CHE TORNA ROMANZO,3,Cosa apprezzava maggiormente Guelfo prima di considerare il matrimonio?,La sua libertà,La libertà personale
L'AMORE CHE TORNA ROMANZO,3,Quale fu una delle ragioni principali che spinsero Guelfo a fare la promessa?,La sua rovina finanziaria,Il suo denaro stava finendo
,,,,
L'AMORE CHE TORNA ROMANZO,4,Qual è il soprannome dell'Albanese?,Assillo,Il soprannome Assillo
L'AMORE CHE TORNA ROMANZO,4,Dove si trovano le campagne su cui grava un'ipoteca dei Rossengo?,A Terracina,Nelle campagne di Terracina
L'AMORE CHE TORNA ROMANZO,4,Chi sono i creditori dell'ipoteca sulle campagne di Terracina?,I Rossengo,La famiglia Rossengo
,,,,
L'AMORE CHE TORNA ROMANZO,5,Qual è la preoccupazione principale di Fabio riguardo a Lei?,Che un futuro marito possa essere ingannato dal suo passato,Che il passato di Lei possa trarre in inganno chi volesse sposarla
L'AMORE CHE TORNA ROMANZO,5,Quale domanda sincera pone Fabio?,"Se un altro uomo, volendo sposare Lei, possa ancora ingannarsi",Se chi volesse sposare Lei in futuro potrebbe essere ancora ingannato
L'AMORE CHE TORNA ROMANZO,5,Cosa viene chiesto a Fabio?,Di acconsentire,Di dare il suo consenso
,,,,
L'AMORE CHE TORNA ROMANZO,6,Chi non ha trovato Elena quando è andata nel luogo che Germano le contesta?,L'uomo che cercava,La persona che intendeva incontrare
L'AMORE CHE TORNA ROMANZO,6,Qual è l'alternativa che Germano chiede a Elena di scegliere?,Tra lui e un altro uomo,Tra la loro relazione e un'altra
L'AMORE CHE TORNA ROMANZO,6,A quale 'commedia' si riferisce Germano quando parla con Elena?,Al suo comportamento ambiguo,Alla sua condotta ingannevole
,,,,
L'AMORE CHE TORNA ROMANZO,7,Quale professione desidera intraprendere Elena?,L'attrice,La carriera di attrice
L'AMORE CHE TORNA ROMANZO,7,Come si offre di aiutare Hohenfels Elena per la sua carriera?,Con un prestito per gli studi,Finanziandole gli studi
L'AMORE CHE TORNA ROMANZO,7,Cosa crea Mathias dopo la rinuncia al suo sogno?,Un'altra Elena,Un'immagine di Elena
,,,,
L'AMORE CHE TORNA ROMANZO,8,Quale fu la richiesta di Mathias a Elena riguardo ai suoi beni?,Le chiese di vendere tutto tranne il suo ritratto.,"La pregò di vendere ogni cosa, eccetto il ritratto che le aveva dipinto."
L'AMORE CHE TORNA ROMANZO,8,Cosa fece Elena con i quadri di Mathias?,"Donò i quadri a un Museo, tranne il suo ritratto.","Li donò a un Museo, ma tenne per sé il ritratto che Mathias le aveva dipinto."
L'AMORE CHE TORNA ROMANZO,8,Dove invitò Duvally Elena?,A Parigi.,"Nella città di Parigi, per la nuova stagione teatrale."
,,,,
L'AMORE CHE TORNA ROMANZO,9,Quale festa si celebra a Fondi?,La Festa dei Fiori,La festa dedicata ai fiori
L'AMORE CHE TORNA ROMANZO,9,Cosa sta facendo Lazzaro nel giardino?,Sta cogliendo i fiori,Raccoglie i fiori per la Festa
,,,,
L'AMORE CHE TORNA ROMANZO,10,A chi dirà Fabio che Germano non l'aspetta più?,A Edoarda Laurenzano,Alla signorina Edoarda Laurenzano
L'AMORE CHE TORNA ROMANZO,10,In quale città Fabio si recherà per parlare con Edoarda Laurenzano?,A Roma,Nella città di Roma
L'AMORE CHE TORNA ROMANZO,10,Come si chiama la persona con cui Fabio sta parlando?,Germano,Il personaggio di nome Germano
,,,,
L'AMORE CHE TORNA ROMANZO,11,Per quale motivo Michele sta per entrare in Municipio?,Per un'elezione a una carica pubblica,Per assumere un incarico nel Municipio
L'AMORE CHE TORNA ROMANZO,11,Cosa chiede il conte a Michele?,Di rinnovare un'ipoteca,Di prolungare un'ipoteca per tre anni
L'AMORE CHE TORNA ROMANZO,11,Michele accetta di rinnovare l'ipoteca?,"No, si rifiuta","No, la considera impossibile"
,,,,
L'AMORE CHE TORNA ROMANZO,12,Chi è la persona che esorta l'uomo a non essere ozioso?,Elena,La donna di nome Elena
