Book,ParagraphIndex,Question,AnswerA,AnswerB
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,1,Qual è la destinazione del piroscafo?,Capri,L'isola di Capri
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,1,Chi è il marito della Contessa De Ritten?,Paul De Ritten,Paul
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,1,Chi sono i De Ritten per il Conte Ricard?,Amici,Suoi amici
,,,,
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,2,Perché Ricard si reca a Capri?,Per una riunione politica.,Per un incontro politico.
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,2,Qual è la professione di Jean Cohn?,È un musicista.,È un valentissimo musicista.
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,2,Qual è la relazione tra la Contessa De Ritten e De Ritten?,Sono sposati.,Sono marito e moglie.
,,,,
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,3,Chi ha incaricato Paolo Castretta di scoprire i viaggiatori stranissimi?,Una altissima autorità,Un'autorità molto elevata
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,3,Quale crimine ha scoperto Paolo Castretta a Dublino?,Il furto delle tre collane,Il caso delle tre collane rubate
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,3,Come si chiama il musicista incontrato da Paolo Castretta a Trafalgar Square?,Cohn,Il musicista Cohn
,,,,
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,4,Chi fu arrestato a Napoli mentre portava una croce?,Un uomo con una gran croce,Un individuo che portava una croce
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,4,In quale villa si incontrarono per la prima volta Marinetti e il personaggio che racconta?,Nella villa di Djamil bey,Nella villa del signor Djamil bey
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,4,Cosa prese il personaggio che racconta dalla villa di Djamil bey?,Più di duecento lettere,Le lettere di De Ritten e Werkopfen
,,,,
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,5,Cosa chiese Pietrachiara al suo cugino deputato?,Di fare un'interpellanza contro le manifestazioni futuriste.,Di opporsi alle manifestazioni futuriste al Costanzi.
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,5,Chi lasciò il gruppo alle due di notte?,V. Castretta.,Il personaggio V. Castretta.
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,5,Quale piano strategico fu deciso dopo la partenza di De Ritten?,Bruno Corra avrebbe seguito De Ritten e Marinetti avrebbe avvicinato la signora De Ritten.,Marinetti avrebbe parlato con la signora De Ritten e Bruno Corra avrebbe pedinato il marito.
,,,,
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,6,Chi evita Marinetti sulla terrazza?,De Ritten,Il personaggio di De Ritten
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,6,Cosa fa Bruno Corra dalla roccia a picco sul mare?,Fa strani segnali,Invia segnali con un fazzoletto
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,6,Cosa vuole visitare Werkopfen a Capri?,Le grotte di Capri,Tutte le grotte dell'isola di Capri
,,,,
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,7,Come si chiama la signora che insegue il marito?,De Ritten,La signora De Ritten
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,7,Di chi è la barca che è in testa?,Di Truffard,Appartiene a Truffard
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,7,Chi si trova sulla barca di Truffard?,Giacomo Satutto,Satutto
,,,,
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,8,Chi ha avuto una brutta idea?,Werkopfen,Il personaggio Werkopfen
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,8,Chi dirige la navigazione senza vomitare?,Bruno Corra e Marinetti,Marinetti e Bruno Corra
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,8,Cosa è successo alle stalattiti della Grotta bianca?,I russi le hanno portate via,Sono state rimosse dai russi
,,,,
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,9,Chi è il Congressista che soffre di mal di mare?,Pietrachiara,Il Congressista Pietrachiara
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,9,Cosa propone Bruno Corra per il Congresso?,Di tenere il Congresso nella Grotta Verde,Di usare la Grotta Verde come sede
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,9,Come si chiama la grotta in cui entrano i Congressisti?,Grotta Verde,La Grotta Verde
,,,,
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,10,Quale carica propone Pietrachiara di nominare nella Grotta Azzurra?,Il Presidente,Un presidente
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,10,Dove si svolge il Congresso menzionato nel testo?,Nella Grotta Azzurra,All'interno della Grotta Azzurra
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,10,A quale argomento politico Castretta associa il discorso di Pietrachiara?,Alla questione jugoslava,Al futuro assetto balcanico
,,,,
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,11,Quali problemi urgenti propone Werkopfen di risolvere a Capri?,I problemi del sonno e dell'amore,Le difficoltà nel dormire e amare
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,11,"Secondo Cohn (Frou-frou), perché Pomponnette non può dormire sotto una zanzariera?",Ha un'amante troppo grassa,La sua amante è eccessivamente grassa
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,11,Quale soluzione viene proposta per aerare le notti afose di Capri?,Piantare colossali ventilatori,Installare grandi ventilatori
,,,,
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,12,Chi è il presidente?,De Ritten,Il presidente è De Ritten
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,12,Come si chiama il gruppo che firma i telegrammi?,Il Congresso Rosa,Si chiama Il Congresso Rosa
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,12,Da quale luogo vengono inviati i telegrammi?,Dalla Grotta Azzurra,Vengono inviati dalla Grotta Azzurra
,,,,
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,13,Cosa chiede Cohn di poter fare durante l'assemblea?,Chiede la parola,Domanda di poter parlare
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,13,Come definisce Ladolce il personaggio di Cohn?,Lo definisce un cretino,Lo considera un cretino
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,13,In quale luogo si svolge l'assemblea?,Nella Grotta Azzurra,All'interno della Grotta Azzurra
,,,,
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,14,Qual è la professione di Ricard?,È un oratore politico,È un politico
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,14,Qual è il ruolo di Ladolce nel congresso?,È un congressista,Partecipa al congresso
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,14,A quale guerra si riferisce Ricard nel suo discorso?,Alla Prima Guerra Mondiale,Al conflitto della Grande Guerra
,,,,
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,15,Chi fonda il Regno Internazionale degli amori eleganti a Capri?,Coloro che si considerano gli unici a poter salvare l'umanità,Il gruppo che si oppone alla guerra
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,15,Dove viene fondato il Regno Internazionale degli amori eleganti?,A Capri,Sull'isola di Capri
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,15,Contro cosa si oppone il Regno Internazionale degli amori eleganti?,Contro la guerra,Contro le brutalità della guerra
,,,,
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,16,Cosa fa Castretta all'inizio del discorso?,Prende note stenografiche,Scrive appunti sul suo taccuino
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,16,Quale isola è definita la capitale nel discorso?,Capri,L'isola di Capri
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,16,Chi il Congresso Rosa vuole persuadere a far finire la guerra?,L'Imperatore Guglielmo,Sua Maestà l'Imperatore Guglielmo
,,,,
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,17,Dove si recano i protagonisti dopo lo svenimento di Castretta?,A Napoli,Nella città di Napoli
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,17,Chi è Rosa Stellina?,Una canzonettista napoletana,Una rinomata canzonettista di Napoli
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,17,Chi è Mirandolina?,La sorella di Rosa Stellina,La sorella di Rosa
,,,,
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,18,Di chi sono i funerali che si svolgono a Capri?,Della signora De Ritten,Della defunta signora De Ritten
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,18,Dove si svolgono i funerali della signora De Ritten?,A Capri,Sulla piazza di Capri
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,18,Quali canzoni sono cantate sul golfo?,Canzoni napoletane,Le canzoni di Napoli
,,,,
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,19,Per chi ha lasciato Ladolce sua moglie?,Per Richard,Per un uomo di nome Richard
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,19,Dove si è recato Ladolce per il Congresso?,A Capri,Sull'isola di Capri
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,19,Cosa pensava Cohn-Frou-frou dell'orchestra?,La trovava pessima,La considerava sbagliata e ruvida
,,,,
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,20,Dove si trova Castretta quando ha la febbre?,All'Albergo della Grotta Bleu,Presso l'Albergo della Grotta Bleu
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,20,Chi porta la bara nel corteo ad Anacapri?,"Werkopfen-Pomponnette, Ladolce, Ricard e Markoff","Il Conte Ladolce, Ricard, Markoff e Werkopfen-Pomponnette"
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,20,Come descrive Pietrachiara il suo rapporto con la moglie?,Si definisce il suo marito spirituale,È il marito spirituale di sua moglie
,,,,
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,21,Come si chiama il congresso che salverà l'umanità?,Congresso Rosa,Il Congresso Rosa
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,21,Qual è l'obiettivo principale della Nuova Religione?,Pacificare il mondo,Disarmare l'umanità
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,21,"Quale luogo è definito ""paradiso terrestre e nostra capitale"" nel testo?",Capri,L'isola di Capri
,,,,
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,22,"Qual era l'intento iniziale del gruppo ""Noi""?",Fare una burla futurista,Una dimostrazione antipassatista
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,22,Chi erano gli uomini attaccati dalle donne inferocite?,Werkopfen e Markoff,Markoff e Werkopfen
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,22,Cosa fece degenerare la burla in una situazione tragica?,Il vino di Capri,L'effetto del vino di Capri
,,,,
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,23,"Che fine fanno Markoff, Paolina Shrapnel e Sfiziosa?",Vengono buttati in mare,Finiscono in mare durante una zuffa
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,23,Qual è la scoperta di Castretta riguardo alla sua missione?,Riguarda la fondazione di una Nuova Religione Internazionale invertiti omosessuali,È la fondazione di una Nuova Religione Internazionale di omosessuali invertiti
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,23,Dove ha conosciuto Mirandolina Paolina Shrapnel?,A Monaco,Nella città di Monaco
,,,,
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,24,Qual è lo scopo dello stanziamento dei tre milioni?,Per finanziare la costruzione del nuovo ospedale,Per sostenere il programma di ricerca scientifica
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,24,A chi è destinata la decorazione meritata?,Al generale Rossi,Al comandante della missione
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,24,Qual è il nome specifico della decorazione promessa?,La Medaglia al Valore Militare,L'Ordine della Stella d'Oro
,,,,
