Book,ParagraphIndex,Question,AnswerA,AnswerB
UN MATRIMONIO ECCENTRICO,1,Qual è il legame di parentela tra Massimo d'Astorre e la Marchesa?,Massimo è il nipote della Marchesa,La Marchesa è la zia di Massimo
UN MATRIMONIO ECCENTRICO,1,Per quale motivo la Marchesa ha invitato il signor Gorletti alla villa?,Perché l'aveva aiutata a vincere una causa importante,In quanto l'aveva sostenuta in una causa legale
UN MATRIMONIO ECCENTRICO,1,Per quali aspetti della sua vita è celebre Massimo d'Astorre?,Per le sue follie e la sua prodigalità,Per le sue avventure e la sua condotta sregolata
,,,,
UN MATRIMONIO ECCENTRICO,2,Qual è il nome completo della signorina Valenti?,Si chiama Elena Valenti,Il suo nome è Elena Valenti
UN MATRIMONIO ECCENTRICO,2,Qual era la natura delle voci diffuse su Contessa Lassardi a Nizza?,Le voci riguardavano un suo presunto scandalo amoroso,Si parlava di una relazione segreta della Contessa Lassardi
UN MATRIMONIO ECCENTRICO,2,Qual è la professione di d'Astorre?,D'Astorre è un diplomatico,Svolge la professione di diplomatico
,,,,
UN MATRIMONIO ECCENTRICO,3,Dove si stabilisce definitivamente Elisa con la sua famiglia?,Al lago di Como,Sulle rive del lago di Como
UN MATRIMONIO ECCENTRICO,3,Quale malattia porta alla morte la sorella di Elisa?,La tisi,La tubercolosi
UN MATRIMONIO ECCENTRICO,3,A quale cambiamento la signora Valenti non riesce a rassegnarsi?,Alla perdita della loro fortuna,Al declino della loro condizione sociale
,,,,
UN MATRIMONIO ECCENTRICO,4,Dove si sono incontrati per la prima volta Giulio Bardi ed Elisa?,A Firenze,Nella città di Firenze
UN MATRIMONIO ECCENTRICO,4,Qual è la professione di Giulio Bardi?,È un avvocato,Svolge la professione legale
UN MATRIMONIO ECCENTRICO,4,Per quale motivo Elisa desidera fuggire?,Per evitare un matrimonio imposto,A causa di un fidanzamento non voluto
,,,,
UN MATRIMONIO ECCENTRICO,5,Dove vive Giulio?,A casa del cugino,Presso il cugino
UN MATRIMONIO ECCENTRICO,5,Qual è l'obiettivo di Elisa per il suo futuro economico?,Cercare la fortuna nel matrimonio,Trovare la fortuna attraverso il matrimonio
UN MATRIMONIO ECCENTRICO,5,Qual è la situazione finanziaria di Giulio all'inizio della sua vita adulta?,È quasi povero,La sua famiglia è rovinata
,,,,
UN MATRIMONIO ECCENTRICO,6,Qual è l'attività principale di Giulio durante il suo esilio?,È un commerciante.,Si occupa di affari commerciali.
UN MATRIMONIO ECCENTRICO,6,Giulio riesce a fare ritorno dall'esilio per ricongiungersi con Elisa?,"Sì, Giulio torna da Elisa.",Giulio fa ritorno dall'esilio.
UN MATRIMONIO ECCENTRICO,6,Elisa decide di sfidare le convenzioni sociali per amore di Giulio?,"Sì, Elisa sfida le convenzioni.",Elisa si ribella alle norme sociali.
,,,,
UN MATRIMONIO ECCENTRICO,7,Dove si stabilì Massimo dopo aver lasciato la diplomazia?,A Parigi,Nella città di Parigi
UN MATRIMONIO ECCENTRICO,7,Quale fu l'ultimo incarico diplomatico di Massimo?,A Pietroburgo,Nella città di Pietroburgo
UN MATRIMONIO ECCENTRICO,7,Per quale motivo Massimo abbandonò la carriera diplomatica?,A causa di un duello,Per via di un duello
,,,,
UN MATRIMONIO ECCENTRICO,8,Elisa sposa d'Astorre?,"Sì, lo sposa.",Diventa la moglie di d'Astorre.
UN MATRIMONIO ECCENTRICO,8,Qual è l'esito della disputa tra la signora Valenti e Gorletti?,La signora Valenti prevale su Gorletti.,Gorletti viene sconfitto dalla signora Valenti.
UN MATRIMONIO ECCENTRICO,8,Massimo sposa Elisa?,"Sì, la sposa.",Diventa il marito di Elisa.
,,,,
UN MATRIMONIO ECCENTRICO,9,Chi è l'uomo che Elisa dovrebbe sposare?,Il Conte Fabrizio,"Fabrizio, il Conte"
UN MATRIMONIO ECCENTRICO,9,Massimo riesce a impedire il matrimonio di Elisa?,"Sì, Massimo impedisce le nozze",Il matrimonio di Elisa non ha luogo grazie a Massimo
UN MATRIMONIO ECCENTRICO,9,In quale regione si trova la villa di Elisa?,In Toscana,Nella regione della Toscana
,,,,
UN MATRIMONIO ECCENTRICO,10,Dove andò Massimo dopo essere partito dalla Russia?,A Parigi,Nella città di Parigi
UN MATRIMONIO ECCENTRICO,10,Dove si recò Lina per i bagni di mare?,A Livorno,Nella città di Livorno
UN MATRIMONIO ECCENTRICO,10,Quanto tempo dopo la sua partenza per la Russia Massimo rivide Lina?,Due anni dopo,Dopo due anni
,,,,
UN MATRIMONIO ECCENTRICO,11,Quale mezzo usa Massimo per impedire il matrimonio di Elisa con il signor Gorletti?,Massimo uccide il signor Gorletti.,Massimo assassina Gorletti.
UN MATRIMONIO ECCENTRICO,11,Qual è la sorte finale del signor Gorletti?,Il signor Gorletti non sopravvive.,Gorletti perde la vita.
UN MATRIMONIO ECCENTRICO,11,Elisa si sposa con il signor Gorletti?,"No, Elisa non lo sposa.",Elisa non contrae matrimonio con Gorletti.
,,,,
