Book,ParagraphIndex,Question,AnswerA,AnswerB
LA VITA COMINCIA DOMANI ROMANZO,1,Chi si dichiara al comando?,Stefano,Il signor Stefano
LA VITA COMINCIA DOMANI ROMANZO,1,Cosa chiede Giannozzo riguardo all'aratro rotto?,Che si provveda alla riparazione dell'aratro,Che l'aratro rotto venga sistemato
LA VITA COMINCIA DOMANI ROMANZO,1,Qual è la relazione tra Giorgio e Stefano?,Giorgio è il genero di Stefano,Stefano è il suocero di Giorgio
,,,,
LA VITA COMINCIA DOMANI ROMANZO,2,Cosa sta scrivendo Marcuccio?,Manoscritti,Un capitolo
LA VITA COMINCIA DOMANI ROMANZO,2,Chi vuole pubblicare i manoscritti di Marcuccio?,Il professore Andrea Ferento,Andrea Ferento
LA VITA COMINCIA DOMANI ROMANZO,2,Quale strumento suona lo scemo?,Il violino,Un violino
,,,,
LA VITA COMINCIA DOMANI ROMANZO,3,Cosa dichiara di voler diventare Maria Dora?,Una cantante,Una professionista della musica
LA VITA COMINCIA DOMANI ROMANZO,3,Qual è il legame di parentela tra Maria Dora e Berta?,Sono sorellastre,Berta è la sorellastra di Maria Dora
LA VITA COMINCIA DOMANI ROMANZO,3,Dove dice Maria Dora di aver imparato a discorrere in maniera sconveniente?,In convento,Dalle piccole suore in convento
,,,,
LA VITA COMINCIA DOMANI ROMANZO,4,Che professione esercita Andrea?,È un medico,Fa il medico
LA VITA COMINCIA DOMANI ROMANZO,4,Qual è la relazione tra Andrea e la donna che gli parla?,Sono amanti,Hanno una relazione amorosa
LA VITA COMINCIA DOMANI ROMANZO,4,Qual è l'argomento principale della conversazione tra Andrea e la donna?,La gravità della malattia del malato,La possibilità di morte della persona malata
,,,,
LA VITA COMINCIA DOMANI ROMANZO,5,Chi sta parlando a Novella nell'estratto?,Giorgio,Il personaggio di Giorgio
LA VITA COMINCIA DOMANI ROMANZO,5,Cosa vuole evitare Giorgio che Novella provi?,Il rimorso,Di provare rimorso
LA VITA COMINCIA DOMANI ROMANZO,5,Cosa afferma Giorgio che Novella è stata per lui?,La sua sola felicità,L'unica sua felicità nel mondo
,,,,
LA VITA COMINCIA DOMANI ROMANZO,6,Qual è la condizione di salute del protagonista?,È malato,È in uno stato di debolezza
LA VITA COMINCIA DOMANI ROMANZO,6,Qual è la relazione tra il protagonista e la donna?,Sono sposati,Sono marito e moglie
LA VITA COMINCIA DOMANI ROMANZO,6,Cosa fa spesso la moglie del protagonista vicino a lui?,Si addormenta leggendo ai piedi del letto,Sta assonnata a leggere presso il suo letto
,,,,
LA VITA COMINCIA DOMANI ROMANZO,7,Chi vuole sposare Marcuccio?,Berta,La ragazza Berta
LA VITA COMINCIA DOMANI ROMANZO,7,Qual è il legame tra Marcuccio e l'uomo che chiama padre?,Sono padre e figlio,L'uomo è il padre di Marcuccio
LA VITA COMINCIA DOMANI ROMANZO,7,Quanti anni ha Marcuccio?,Ventitre anni,Ha ventitre anni
,,,,
LA VITA COMINCIA DOMANI ROMANZO,8,Chi è Novella per Mamma Francesca?,È la sua figlia maggiore,È la primogenita di Mamma Francesca
LA VITA COMINCIA DOMANI ROMANZO,8,Chi ha deciso di chiamare il medico per l'infermo?,Andrea,È stato Andrea a voler chiamare il medico
LA VITA COMINCIA DOMANI ROMANZO,8,Come descrive Stefano Berta?,La definisce sciocca,La considera una sciocca
,,,,
LA VITA COMINCIA DOMANI ROMANZO,9,Chi è la donna che porta in grembo il figlio dell'amante?,Novella,La donna di nome Novella
LA VITA COMINCIA DOMANI ROMANZO,9,Cosa confessa l'amante a Novella riguardo al suo passato?,Di aver commesso una colpa orrenda,Di portare un suggello d'infamia
LA VITA COMINCIA DOMANI ROMANZO,9,Qual è la reazione di Novella alla possibile colpa passata dell'amante?,Lo ama incondizionatamente,Non lo giudica e lo perdona
,,,,
LA VITA COMINCIA DOMANI ROMANZO,10,Cosa desidera fare Marcuccio di notte?,Camminare nella foresta e lungo il fiume suonando il violino,Passeggiare con il suo violino nella foresta e lungo il fiume
LA VITA COMINCIA DOMANI ROMANZO,10,Quali sono le paure di Marcuccio quando vuole camminare di notte?,"I cani, i gufi e i vampiri","Ha timore dei cani, dei gufi e dei vampiri"
LA VITA COMINCIA DOMANI ROMANZO,10,In cosa crede Stefano?,In Dio,Fervidamente in Dio
,,,,
LA VITA COMINCIA DOMANI ROMANZO,11,Chi amava la donna di cui parlano Giorgio e Andrea?,La donna amava Andrea,Amava Andrea
LA VITA COMINCIA DOMANI ROMANZO,11,Cosa avrebbe fatto Giorgio se avesse creduto di poter recuperare la donna?,Avrebbe commesso un delitto,Avrebbe compiuto un crimine
LA VITA COMINCIA DOMANI ROMANZO,11,Come ha perdonato Giorgio Andrea e la donna?,"Umanamente, non cristianamente",Con lo spirito e per la loro felicità
,,,,
LA VITA COMINCIA DOMANI ROMANZO,12,Chi prepara la siringa?,Il medico,Il fratello senza colpa di Giorgio
