Book,ParagraphIndex,Question,AnswerA,AnswerB
SUOR GIOVANNA DELLA CROCE ROMANZO,1,Come si chiama il convento delle monache Sepolte Vive?,Suor Orsola Benincasa,Il convento di Suor Orsola Benincasa
SUOR GIOVANNA DELLA CROCE ROMANZO,1,Quale voto distingue le monache Sepolte Vive dalle converse?,I rigorosissimi voti claustrali,L'aver pronunciato i voti claustrali
SUOR GIOVANNA DELLA CROCE ROMANZO,1,Qual è la funzione della Badessa nel convento?,È la superiora del convento,È la madre superiora delle monache
,,,,
SUOR GIOVANNA DELLA CROCE ROMANZO,2,Qual è la notizia che Don Ferdinando de Angelis comunica alle monache?,La decisione di chiudere il monastero.,L'ordine di sciogliere la comunità monastica.
SUOR GIOVANNA DELLA CROCE ROMANZO,2,"Chi sono le ""Trentatre"" di cui Don Ferdinando de Angelis è confessore?",Le monache del monastero.,Le religiose della comunità.
SUOR GIOVANNA DELLA CROCE ROMANZO,2,Chi ha ordinato a Don Ferdinando de Angelis di visitare il monastero?,Il cardinale arcivescovo.,L'arcivescovo cardinale.
,,,,
SUOR GIOVANNA DELLA CROCE ROMANZO,3,Qual è il destino finale delle Sepolte Vive dopo la cacciata?,Sono costrette a vivere in povertà.,Vengono disperse e affrontano la miseria.
SUOR GIOVANNA DELLA CROCE ROMANZO,3,Chi è l'autorità ecclesiastica che ordina la cacciata delle Sepolte Vive?,Il Vescovo diocesano.,Sua Eccellenza il Vescovo.
SUOR GIOVANNA DELLA CROCE ROMANZO,3,Come si chiama il convento da cui vengono cacciate le Sepolte Vive?,Il Monastero di Santa Maria del Carmine.,Il Convento del Carmine.
,,,,
SUOR GIOVANNA DELLA CROCE ROMANZO,4,In quale città si stabilisce Suor Giovanna della Croce dopo aver lasciato il convento?,A Napoli,Nella città di Napoli
SUOR GIOVANNA DELLA CROCE ROMANZO,4,Qual è la causa della chiusura del convento di Suor Orsola Benincasa?,La soppressione degli ordini religiosi,Un decreto di soppressione governativo
SUOR GIOVANNA DELLA CROCE ROMANZO,4,Le doti delle monache del convento di Suor Orsola Benincasa vengono restituite?,"No, non vengono restituite",Il Governo non le restituisce
,,,,
