Batch,Testo,Risposta1,Risposta2
1,Qual è il ruolo del giovane che Beatus considera indispensabile?,È il suo assistente personale.,Svolge la funzione di suo aiutante.
1,In quale città risiede Beatus?,Vive a Zurigo.,La sua dimora è nella città di Zurigo.
1,Quale evento storico è associato al 're dei bolcevichi'?,È legato alla Rivoluzione d'Ottobre.,La sua figura è connessa alla Rivoluzione russa del 1917.
1,Qual è la specializzazione del dottore di Beatus?,È uno psichiatra.,La sua professione è quella di medico psichiatra.
2,Qual è l'obiettivo principale di Biagino?,Biagino mira a migliorare le condizioni di vita dei contadini.,Il suo scopo primario è elevare lo status sociale ed economico della comunità rurale.
2,Dove si incontrano per la prima volta Beatus e Biagino?,Il loro primo incontro avviene nella piazza del villaggio.,Si conoscono inizialmente nella piazza principale del paese.
2,Chi si oppone alle idee del 're dei bolcevichi'?,Le autorità locali e i proprietari terrieri si oppongono alle sue idee.,I suoi principi sono contrastati dai notabili del luogo e dai grandi possidenti.
2,Qual è la conseguenza della decisione di Beatus sui lavori della chiesa?,La sua decisione provoca un ritardo significativo nei lavori di restauro.,I lavori di ristrutturazione della chiesa subiscono un notevole rallentamento a causa sua.
3,Qual è il ruolo di Pasquà nell'abitazione di Beatus Renatus?,Pasquà è la domestica di Beatus Renatus.,Pasquà svolge le mansioni di governante per Beatus Renatus.
3,Quale guerra ha lasciato un segno profondo su Beatus Renatus?,La Prima Guerra Mondiale ha segnato Beatus Renatus.,Beatus Renatus è stato profondamente colpito dalla Grande Guerra.
3,Quale opinione ha Beatus Renatus riguardo alla partecipazione dell'Italia al conflitto?,Beatus Renatus è contrario all'ingresso dell'Italia in guerra.,Beatus Renatus auspica la non belligeranza dell'Italia.
3,Che tipo di edificio è l'abitazione in cui vivono Beatus e Pasquà?,L'abitazione è un collegio.,Si tratta di un istituto scolastico residenziale.
4,Qual è la natura dell'evento principale per cui Beatus cerca la responsabilità?,Si tratta di un omicidio avvenuto all'interno del convento.,L'evento cruciale è l'uccisione di una persona nel convento.
4,Chi è la vittima dell'evento principale per cui Beatus cerca la responsabilità?,La vittima è il priore del convento.,Il priore del convento è la persona uccisa.
4,Qual è il nome del 're dei bolcevichi' menzionato nel romanzo?,Il 're dei bolcevichi' è chiamato Vladimir.,"Il suo nome è Vladimir, il leader bolcevico."
4,Qual era la professione di Beatus prima di entrare nel convento?,Beatus era un ex professore di storia.,"Prima di farsi monaco, Beatus insegnava storia."
5,Qual è la missione principale di Beatus?,Beatus si impegna a proteggere la sua comunità dalla guerra.,Il suo compito è difendere il suo popolo dal conflitto imminente.
5,Chi è il principale antagonista di Beatus?,Il generale delle truppe invasori è il suo nemico principale.,Il comandante delle forze ostili rappresenta la sua maggiore minaccia.
