Book,ParagraphIndex,Question,AnswerA,AnswerB
IO CERCO MOGLIE! ROMANZO,1,Qual è il nome del prodotto principale venduto da Ginetto?,La Violetta ideale,Il profumo Violetta ideale
IO CERCO MOGLIE! ROMANZO,1,Qual è la posizione di Ginetto nella Società in accomandita X*** e Compagni?,È gerente,Ricopre il ruolo di gerente
IO CERCO MOGLIE! ROMANZO,1,Cosa acquista Ginetto di recente?,Una palazzina di stile rococò,Un edificio rococò
,,,,
IO CERCO MOGLIE! ROMANZO,2,Come si chiama il protagonista che redige l'elenco matrimoniale?,Cosimo Piovasco di Rondò,Il Barone Cosimo Piovasco di Rondò
IO CERCO MOGLIE! ROMANZO,2,Qual è la peculiare condizione di vita di Cosimo Piovasco di Rondò?,Vive sugli alberi,Trascorre la sua vita tra i rami degli alberi
IO CERCO MOGLIE! ROMANZO,2,Cosimo Piovasco di Rondò riesce a trovare una moglie?,"No, non si sposa",Non contrae matrimonio
,,,,
IO CERCO MOGLIE! ROMANZO,3,Qual è il nome completo di Miss N. Y.?,Natalia Yacovleff,Il suo nome completo è Natalia Yacovleff
IO CERCO MOGLIE! ROMANZO,3,Il narratore riesce a sposare Miss N. Y.?,"Sì, la sposa",Convolano a nozze
IO CERCO MOGLIE! ROMANZO,3,Qual è il destino finale della Palazzina dei conti Tornamali?,Viene venduta,Il narratore la vende
,,,,
IO CERCO MOGLIE! ROMANZO,4,"Chi è la donna che il narratore chiama ""Lei""?",Fräulein Violetta,Violetta
IO CERCO MOGLIE! ROMANZO,4,Qual è il rapporto tra il narratore e Lionello?,Sono amici,Sono legati da amicizia
IO CERCO MOGLIE! ROMANZO,4,Il narratore si sposa alla fine del libro?,"Sì, si sposa","No, rimane celibe"
,,,,
IO CERCO MOGLIE! ROMANZO,5,Sconer e Violetta si sposano?,"Sì, convolano a nozze","Sì, la loro unione si realizza"
IO CERCO MOGLIE! ROMANZO,5,Qual è il nome del narratore che propone Sconer a Violetta?,Il narratore si chiama [Nome del Narratore],Il suo nome è [Nome del Narratore]
IO CERCO MOGLIE! ROMANZO,5,Violetta realizza il suo desiderio di sposare un uomo borghese?,"Sì, il suo desiderio si avvera","Sì, riesce nel suo intento"
,,,,
IO CERCO MOGLIE! ROMANZO,6,Qual è il nome del cavaliere?,Giulio,Il signor Giulio
IO CERCO MOGLIE! ROMANZO,6,Come si chiama l'uomo che discute con il cavaliere?,Professor Rossi,Il Professor Rossi
IO CERCO MOGLIE! ROMANZO,6,In quale città si svolge la maggior parte della vicenda?,A Roma,Nella città di Roma
,,,,
IO CERCO MOGLIE! ROMANZO,7,Qual è il ruolo principale della signorina descritta nell'estratto all'interno della narrazione?,È la candidata sposa,È la donna da scegliere per il matrimonio
IO CERCO MOGLIE! ROMANZO,7,Qual è lo scopo principale di tutti i dettagli fisici e comportamentali elencati per la signorina?,Valutarne l'idoneità matrimoniale,Determinarne la convenienza come sposa
IO CERCO MOGLIE! ROMANZO,7,Chi è il personaggio o l'entità che sta effettuando questa valutazione della signorina?,Il potenziale pretendente,La famiglia del futuro sposo
,,,,
IO CERCO MOGLIE! ROMANZO,8,Come si chiama la signorina che si intende far sposare?,Il suo nome è Isabella,Si chiama Isabella
IO CERCO MOGLIE! ROMANZO,8,Qual è il ruolo di Maioli nella trattativa matrimoniale?,È l'intermediario per il matrimonio,Agisce come sensale
IO CERCO MOGLIE! ROMANZO,8,Chi è Fräulein Violetta?,È la sorella del protagonista,La sorella del personaggio principale
,,,,
IO CERCO MOGLIE! ROMANZO,9,Come si chiama il protagonista del libro?,Giovanni,Il personaggio principale Giovanni
IO CERCO MOGLIE! ROMANZO,9,Qual è l'attività principale della Casa X*** e compagni?,Commercio internazionale,Un'impresa di commercio
IO CERCO MOGLIE! ROMANZO,9,Qual è la professione di Lionello?,Critico d'arte,Un esperto di estetica
,,,,
IO CERCO MOGLIE! ROMANZO,10,Sposa Sconer Donna Ghiselda?,"No, non la sposa","No, Sconer non sposa Donna Ghiselda"
IO CERCO MOGLIE! ROMANZO,10,Qual è il mestiere di Sconer?,È un critico d'arte,Svolge la professione di critico d'arte
IO CERCO MOGLIE! ROMANZO,10,Qual è il legame tra Maioli e Donna Ghiselda?,È suo zio,Maioli è lo zio di Donna Ghiselda
,,,,
IO CERCO MOGLIE! ROMANZO,11,Come si chiama la guida artistica?,Il signor Anselmi,Anselmi
IO CERCO MOGLIE! ROMANZO,11,Qual è la professione del narratore?,È un critico d'arte,Svolge l'attività di critico d'arte
IO CERCO MOGLIE! ROMANZO,11,Qual è lo scopo della visita del gruppo sulla collina?,Una gita culturale,Un'escursione artistica
,,,,
IO CERCO MOGLIE! ROMANZO,12,Come si chiama il padrone della villa?,Il suo nome è [Nome del padrone],Si chiama [Nome del padrone]
IO CERCO MOGLIE! ROMANZO,12,Qual è il vero scopo degli incontri serali della signorina con il signore dal plico nero?,Il loro scopo è [Scopo reale],Si incontrano per [Scopo autentico]
IO CERCO MOGLIE! ROMANZO,12,Qual è la vera professione dell'uomo che interroga la servetta?,È un [Professione reale],La sua occupazione è [Occupazione effettiva]
,,,,
IO CERCO MOGLIE! ROMANZO,13,Come si chiama l'avvocato protagonista del libro?,Avvocato Santini,Il signor Santini
IO CERCO MOGLIE! ROMANZO,13,In quale città si svolge la maggior parte delle vicende narrate?,A Torino,Nella città di Torino
IO CERCO MOGLIE! ROMANZO,13,Qual è il principale tipo di controversia legale che l'avvocato affronta?,Dispute ereditarie,Casi di successione contestata
,,,,
IO CERCO MOGLIE! ROMANZO,14,Che professione svolge Cioccolani?,È un poeta,La professione di poeta
IO CERCO MOGLIE! ROMANZO,14,"Dove si incontrano abitualmente il poeta, la contessina e la contessa madre?",Alla pasticceria,Nella loro solita pasticceria
