Book,ParagraphIndex,Question,AnswerA,AnswerB
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
IL PASSAGGIO ROMANZO,9,In quale stagione si svolge la narrazione?,In estate,Nella stagione estiva
,,,,
IL PASSAGGIO ROMANZO,10,Qual era lo stato di salute di Andrea quando Felice lo vide?,Era convalescente,Stava guarendo da una malattia
,,,,
,,,,
IL PASSAGGIO ROMANZO,12,Chi informò Rina della morte di Felice?,Andrea,Fu Andrea
IL PASSAGGIO ROMANZO,12,Dove si trova il cimitero di Felice?,In montagna,In un cimitero di montagna
IL PASSAGGIO ROMANZO,12,Quale nome pronunciò Felice prima di morire?,Rina,Il nome di Rina
,,,,
,,,,
IL PASSAGGIO ROMANZO,14,Quale luogo è descritto come uno spazio interminabile per la fuga?,L'Agro Romano,Il suolo dell'Agro Romano
,,,,
,,,,
IL PASSAGGIO ROMANZO,16,Come si descrive la creatura dagli occhi d'oro?,Con un cuore maschile,Con una strana ambiguità
,,,,
,,,,
IL PASSAGGIO ROMANZO,18,Come viene descritto Andrea rispetto alla donna senza nome?,È più chiuso nella sua scorza,Si mostra più introverso e riservato
,,,,
IL PASSAGGIO ROMANZO,19,Come viene considerato il giovine che accompagna Sibilla?,Il suo amante,Il suo presunto amante
IL PASSAGGIO ROMANZO,19,Cosa fa il giovine per Sibilla una notte?,Le riscalda i piedi,Le scalda i piedi con il fiato
IL PASSAGGIO ROMANZO,19,Come si sente Sibilla riguardo alla sua identità?,Senza nome né terra,Senza un nome o un luogo di appartenenza
,,,,
IL PASSAGGIO ROMANZO,20,"Secondo 'tu', chi ha tradito l'amore?",Chi peccava di paura,Coloro che fuggivano per paura
,,,,
,,,,
IL PASSAGGIO ROMANZO,22,Chi è la protagonista del libro Il Passaggio?,Rina,La protagonista Rina
IL PASSAGGIO ROMANZO,22,Qual è il titolo del libro recensito?,Il Passaggio,Il libro intitolato Il Passaggio
IL PASSAGGIO ROMANZO,22,Quale città è descritta nel libro Il Passaggio?,Roma,La città di Roma
,,,,
IL PASSAGGIO ROMANZO,23,Qual è lo pseudonimo dell'autrice dei libri discussi?,Sibilla Aleramo,Lo pseudonimo Sibilla Aleramo
IL PASSAGGIO ROMANZO,23,Qual è il titolo di uno dei romanzi di Sibilla Aleramo citati?,Una donna,Il romanzo 'Una donna'
IL PASSAGGIO ROMANZO,23,Quale tema centrale affronta il romanzo 'Una donna'?,Il problema femminile,La lotta di uno spirito femminile
,,,,
IL PASSAGGIO ROMANZO,24,Chi è l'autrice del libro 'Una donna'?,Sibilla Aleramo,M.me Sibilla Aleramo
IL PASSAGGIO ROMANZO,24,Qual è la forma narrativa del libro 'Una donna'?,È scritto in forma di autobiografia,Ha la forma di un'autobiografia
IL PASSAGGIO ROMANZO,24,Per quale argomento sociale il libro 'Una donna' è usato come sostegno?,Per il divorzio,A favore del divorzio
,,,,
IL PASSAGGIO ROMANZO,25,Chi ha scritto il romanzo 'Una donna'?,Sibilla Aleramo,L'autrice Sibilla Aleramo
IL PASSAGGIO ROMANZO,25,Quale tema centrale affronta il romanzo 'Una donna'?,Il fallimento della vita coniugale,La crisi della vita matrimoniale
IL PASSAGGIO ROMANZO,25,A quale opera viene paragonato 'Una donna' per il suo impatto sulle donne?,Casa di bambola di Ibsen,Il dramma 'Casa di bambola'
,,,,
