Book,ParagraphIndex,Question,AnswerA,AnswerB
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,1,Qual è lo scopo del viaggio dei turisti misteriosi?,La scoperta di un segreto antico,Il ritrovamento di una verità storica
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,1,Qual è la professione di Paul De Ritten?,È un archeologo,Un esperto di reperti antichi
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,1,Quale segreto viene svelato dai turisti misteriosi?,La verità celata da tempo,Un mistero a lungo irrisolto
,,,,
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,2,Qual è lo scopo del viaggio a Capri?,Una riunione politica di grande importanza,Un incontro politico cruciale
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,2,Qual è la professione di Jean Cohn?,È un musicista,Un abile musicista
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,2,Di quale regione è originario Guido Pietrachiara?,È umbro,Dall'Umbria
,,,,
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,3,Qual è la destinazione finale del piroscafo su cui viaggiano i De Ritten e Markoff?,Capri,L'isola di Capri
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,3,Qual è la professione del signor Markoff?,È un deputato,È un deputato russo
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,3,Chi cercano i passeggeri al momento di scendere dal piroscafo a Capri?,Il barone Truffard,Il Barone Truffard
,,,,
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,4,Qual è la vera identità dei viaggiatori stranissimi?,Sono agenti segreti,Sono spie internazionali
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,4,Qual è il ruolo di Cohn nella vicenda principale?,È un finanziatore occulto,Sostiene economicamente l'organizzazione
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,4,Qual è il nome dell'investigatore che segue i viaggiatori stranissimi?,Si chiama Giovanni Rossi,Il suo nome è Mario Bianchi
,,,,
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,5,Per quale motivo Tzereti è conosciuto?,È un famoso dinamitardo,È noto per essere un dinamitardo evaso
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,5,Dove ha fondato una scuola di danze greche il Conte Ladolce?,A Roma,Nella città di Roma
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,5,Qual è la professione di Werkopfen?,È un antiquario e numismatico,Svolge le professioni di antiquario e numismatico
,,,,
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,6,Qual è il segreto che il narratore cerca di scoprire attraverso la sua missione?,Il segreto di Djamil bey,La verità dietro le lettere di Djamil bey
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,6,Qual è il ruolo di Djamil bey nella vicenda principale del libro?,È un personaggio chiave nell'indagine del narratore,È il fulcro dell'inchiesta del narratore
L'ISOLA DEI BACI ROMANZO EROTICO-SOCIALE,6,Qual è il rapporto tra il narratore e Marinetti?,Sono collaboratori nella missione,Sono alleati nell'indagine
,,,,
