Book,ParagraphIndex,Question,AnswerA,AnswerB
IL BUSTO D'ORO  ROMANZO,1,Chi è il ricco interlocutore di Evaristo Grinfieri?,Francis Webb,Il signor Francis Webb
IL BUSTO D'ORO  ROMANZO,1,In quale settore Evaristo Grinfieri propone di investire?,Nel settore ferroviario,Nella costruzione di ferrovie
IL BUSTO D'ORO  ROMANZO,1,Come definisce Francis Webb le ambizioni di Evaristo Grinfieri?,Illusioni,Speculazioni pazze e rovinose
,,,,
IL BUSTO D'ORO  ROMANZO,2,Chi sono i due personaggi che conversano nell'estratto?,Webb e Isaiah Wood,I personaggi sono Webb e Isaiah Wood
IL BUSTO D'ORO  ROMANZO,2,Per quale motivo Webb e la persona di cui parla si sono scontrati?,Per i nuovi progetti della persona,A causa dei continui nuovi progetti della persona
IL BUSTO D'ORO  ROMANZO,2,Qual è l'obiettivo finanziario attuale di Webb?,Conservare il suo capitale,Mantenere il suo capitale senza accrescerlo
,,,,
IL BUSTO D'ORO  ROMANZO,3,Che tipo di relazione ha Hulda con Guy Stein?,Una relazione pericolosa e detestata,Un legame che la fa sentire schiava e in pericolo
IL BUSTO D'ORO  ROMANZO,3,Qual è il ruolo di Bess nella vita di Hulda?,È la sua fida serva e confidente,È la sua fedele compagna e unica confidente
IL BUSTO D'ORO  ROMANZO,3,Come si sente Hulda quando è con Evaristo?,Si sente un angelo e felice,Prova un senso di felicità e leggerezza
,,,,
IL BUSTO D'ORO  ROMANZO,4,Qual è il cognome di Evaristo?,Grinfieri,Il suo cognome è Grinfieri
IL BUSTO D'ORO  ROMANZO,4,Come si rivolge Evaristo al cocchiere?,Lo chiama Numero 13,Con il soprannome Numero 13
IL BUSTO D'ORO  ROMANZO,4,Chi era la donna che Evaristo amava?,Hulda,Era Hulda
,,,,
IL BUSTO D'ORO  ROMANZO,5,Qual è il nome del cocchiere?,Ben,Il cocchiere si chiama Ben
IL BUSTO D'ORO  ROMANZO,5,Da quanto tempo Evaristo e Ben si conoscono?,Da tre anni,Si conoscono da tre anni
IL BUSTO D'ORO  ROMANZO,5,Chi esclude Evaristo che sia la donna di cui parlano?,Hulda,Non può essere Hulda
,,,,
IL BUSTO D'ORO  ROMANZO,6,Chi è l'interlocutore del cocchiere nel piano?,Evaristo Grinfieri,È Evaristo Grinfieri
IL BUSTO D'ORO  ROMANZO,6,Come si chiama la donna amata da Evaristo Grinfieri?,Hulda,Il suo nome è Hulda
IL BUSTO D'ORO  ROMANZO,6,Qual è il compito di Evaristo Grinfieri nel piano?,Avvicinarsi alla carrozza e aprire lo sportello,Aprire lo sportello della carrozza e introdursi
,,,,
IL BUSTO D'ORO  ROMANZO,7,Chi vide Bess apparire dopo Hulda?,Evaristo,La figura di Evaristo
IL BUSTO D'ORO  ROMANZO,7,In quale stanza Evaristo e Hulda si confrontarono?,Nel salottino di Hulda,Nello studietto di Hulda
IL BUSTO D'ORO  ROMANZO,7,Che tipo di abito indossava Hulda durante il confronto con Evaristo?,Un costume di popolana,Abiti da popolana
,,,,
IL BUSTO D'ORO  ROMANZO,8,Chi sta dando consigli a Hulda?,Bess,La serva Bess
IL BUSTO D'ORO  ROMANZO,8,Chi deve visitare Hulda la mattina seguente?,Evaristo,Il personaggio Evaristo
IL BUSTO D'ORO  ROMANZO,8,Qual era lo status sociale di Bess in passato?,Era una signora,Era una donna di rango
,,,,
,,,,
IL BUSTO D'ORO  ROMANZO,10,Chi è il direttore d'orchestra per la signora?,Suo marito,Il marito della signora
IL BUSTO D'ORO  ROMANZO,10,Che mansione svolge Hulda per la signora?,La cameriera,Il ruolo di cameriera
IL BUSTO D'ORO  ROMANZO,10,Quante lire riceve Hulda in regalo dalla signora?,Trenta lire,30 lire
,,,,
IL BUSTO D'ORO  ROMANZO,11,Come si sente Concetta?,È ubriaca,Ha bevuto troppo
IL BUSTO D'ORO  ROMANZO,11,Chi accompagna Concetta nella sua camera?,Il maestro,L'uomo chiamato maestro
IL BUSTO D'ORO  ROMANZO,11,Dove porta il maestro Concetta?,Nella sua cameretta,Nella camera di Concetta
,,,,
IL BUSTO D'ORO  ROMANZO,12,Chi è Guy Stein nel quartiere?,Il capo temuto di una banda,Uno dei due uomini più potenti
IL BUSTO D'ORO  ROMANZO,12,Qual è il rapporto tra Guy Stein e Bill Oward?,Sono nemici,Si contendono il potere
IL BUSTO D'ORO  ROMANZO,12,Quali attività svolge la banda di Guy Stein?,Rubano e maneggiano armi,Operano secondo i suoi comandi per rubare
,,,,
IL BUSTO D'ORO  ROMANZO,13,Chi è il personaggio che sta studiando uno stratagemma per troncare la condanna di Hulda?,Evaristo,Il personaggio di Evaristo
IL BUSTO D'ORO  ROMANZO,13,Qual era la relazione tra Hulda e Riccardo Carassale?,Era il suo fidanzato e poi amante,Riccardo era prima il fidanzato e poi l'amante di Hulda
IL BUSTO D'ORO  ROMANZO,13,Qual è l'obiettivo principale di Evaristo menzionato nell'estratto?,Raggiungere il milione,Ottenere un milione di lire
,,,,
IL BUSTO D'ORO  ROMANZO,14,Chi è il destinatario della lettera smarrita di cui parla Evaristo?,Bill Oward,A Bill Oward
IL BUSTO D'ORO  ROMANZO,14,Qual è il premio offerto per la lettera smarrita indirizzata a Bill Oward?,Mille dollari,Un premio di mille dollari
IL BUSTO D'ORO  ROMANZO,14,Chi è la persona a cui Evaristo chiede di pubblicare l'annuncio della lettera smarrita?,Il direttore,L'avvocato
,,,,
IL BUSTO D'ORO  ROMANZO,15,Che mestiere fa Riccardo Carassale?,L'antiquario,Gestisce un negozio di antiquariato
IL BUSTO D'ORO  ROMANZO,15,Cosa tormenta Riccardo Carassale nel suo negozio?,Un ritratto,Il ritratto che lo somiglia
IL BUSTO D'ORO  ROMANZO,15,Chi sospetta Riccardo Carassale che sia l'uomo raffigurato nel ritratto?,Suo padre,Il suo vero padre
,,,,
IL BUSTO D'ORO  ROMANZO,16,Chi presenta le miniature all'uomo bizzarro?,Carassale,Il signor Carassale
IL BUSTO D'ORO  ROMANZO,16,Che tipo di miniature cerca l'uomo bizzarro?,Idilli,Miniature di idilli
IL BUSTO D'ORO  ROMANZO,16,Qual è l'intenzione dell'uomo bizzarro con le miniature?,Venderle come sue,Spacciarle per opere proprie
,,,,
IL BUSTO D'ORO  ROMANZO,17,Cosa chiede Evaristo alla donna di fare riguardo a Guy Stein?,Di troncare la relazione con lui,Di porre fine al loro rapporto
IL BUSTO D'ORO  ROMANZO,17,A chi è indirizzata la lettera di Evaristo?,A Bill Oward,Al signor Bill Oward
IL BUSTO D'ORO  ROMANZO,17,Qual è la relazione tra Bill Oward e Guy Stein?,Sono nemici acerrimi,Sono nemici giurati
,,,,
IL BUSTO D'ORO  ROMANZO,18,Cosa fa Guy Stein per assicurarsi la lealtà di Hulda?,La minaccia con un pugnale,Le fa giurare fedeltà sotto minaccia
IL BUSTO D'ORO  ROMANZO,18,Chi è la persona che Hulda è decisa ad assecondare?,Evaristo,Il suo Evaristo
IL BUSTO D'ORO  ROMANZO,18,A chi era indirizzata la lettera smarrita di cui parlano Guy Stein e Hulda?,A Bill Oward,Al signor Bill Oward
,,,,
IL BUSTO D'ORO  ROMANZO,19,Qual è l'obiettivo di Guy Stein?,Ottenere le chiavi della cassa forte,Impadronirsi delle chiavi della cassa forte
IL BUSTO D'ORO  ROMANZO,19,Cosa festeggia Francis Webb nel giorno del suo anniversario?,Il raggiungimento dei primi duecentomila dollari,Il suo primo milione
IL BUSTO D'ORO  ROMANZO,19,Chi sono i due uomini che lavoreranno nell'operazione di Guy Stein?,Franimy e Tymbord,Tymbord e Franimy
,,,,
IL BUSTO D'ORO  ROMANZO,20,Qual è il prossimo obiettivo di Ben dopo aver lasciato Tommy?,Levare di mezzo Gar,Eliminare Gar
IL BUSTO D'ORO  ROMANZO,20,Chi ha indicato a Ben il punto di incontro a Le Ferry?,Evaristo Grinfieri,Il signor Evaristo
IL BUSTO D'ORO  ROMANZO,20,Qual era il piano di Evaristo Grinfieri per Guy Stein?,Far cadere Guy Stein in mano alla polizia,Consegnare Guy Stein alla polizia
,,,,
IL BUSTO D'ORO  ROMANZO,21,Chi è il direttore della Linea dell'Est?,L'avvocato Gasperal,Fasperal
IL BUSTO D'ORO  ROMANZO,21,Qual è il compito di Evaristo Grinfieri nei confronti di Webb?,Consolare Webb,Fargli coraggio
IL BUSTO D'ORO  ROMANZO,21,Chi ha offerto denaro a Gasperal per riprodurre il giornale?,Un editore di New York,Un ricco editore americano
,,,,
IL BUSTO D'ORO  ROMANZO,22,Chi ama la figlia di Francis Webb?,Evaristo Grinfieri,Il signor Evaristo Grinfieri
IL BUSTO D'ORO  ROMANZO,22,Chi non vuole Francis Webb che sua figlia sposi?,Evaristo Grinfieri,Il signor Evaristo Grinfieri
IL BUSTO D'ORO  ROMANZO,22,Da quanto tempo si conoscono la figlia di Francis Webb ed Evaristo Grinfieri?,Pochi mesi,Solo pochi mesi
,,,,
IL BUSTO D'ORO  ROMANZO,23,Chi è Bess?,La cameriera di Hulda,La domestica di Hulda
IL BUSTO D'ORO  ROMANZO,23,Cosa chiede Hulda a Bess di portare?,Il suo nuovo abito rosa,Il vestito rosa appena fatto
IL BUSTO D'ORO  ROMANZO,23,Come inizia il discorso tra Evaristo e Hulda?,In modo freddo,Con freddezza
,,,,
IL BUSTO D'ORO  ROMANZO,24,Qual è il sentimento di Hulda per Evaristo?,Un nuovo e forte amore,Un amore rinnovato e intenso
IL BUSTO D'ORO  ROMANZO,24,Chi ha sfidato Hulda?,Guy Stein,Il personaggio di Guy Stein
IL BUSTO D'ORO  ROMANZO,24,In quale città Hulda ricorda un amore passato?,A Napoli,Nella città di Napoli
,,,,
IL BUSTO D'ORO  ROMANZO,25,Chi sta osservando Evaristo?,Hulda,La donna di nome Hulda
IL BUSTO D'ORO  ROMANZO,25,Chi è il vero amore di Evaristo?,Mary,La donna che Evaristo ama veramente
IL BUSTO D'ORO  ROMANZO,25,Qual è il principale conflitto di Evaristo?,È diviso tra due donne,Si trova in un dilemma tra Hulda e Mary
,,,,
IL BUSTO D'ORO  ROMANZO,26,Chi sposerà l'uomo che discute con Hulda?,Mary,La donna di nome Mary
IL BUSTO D'ORO  ROMANZO,26,Perché Hulda si sente tradita dall'uomo?,Perché lui sposerà Mary,Perché ha deciso di sposare Mary invece di lei
IL BUSTO D'ORO  ROMANZO,26,Chi è il personaggio che ha minacciato Hulda?,Guy Stein,Il personaggio Guy Stein
,,,,
IL BUSTO D'ORO  ROMANZO,27,Chi andò a trovare Hulda?,Guy Stein,Il signor Guy Stein
