Book,ParagraphIndex,Question,AnswerA,AnswerB
ROMANZO D'UNA SIGNORINA PER BENE,1,Qual è il ruolo del giovane ingegnere nella vita di Lucia?,È il suo fidanzato,È il promesso sposo di Lucia
ROMANZO D'UNA SIGNORINA PER BENE,1,Come si manifesta l'orgoglio nella vita di Lucia?,Attraverso le sue scelte affettive,Nelle sue relazioni personali
ROMANZO D'UNA SIGNORINA PER BENE,1,Qual è il nome del giovane ingegnere che Lucia osserva?,Si chiama Roberto,Il suo nome è Roberto
,,,,
ROMANZO D'UNA SIGNORINA PER BENE,2,Lucia sposa il giovane ingegnere?,"Sì, lo sposa","Sì, si unisce in matrimonio con lui"
ROMANZO D'UNA SIGNORINA PER BENE,2,Come si chiama il giovane ingegnere?,Si chiama Marco,Il suo nome è Marco
ROMANZO D'UNA SIGNORINA PER BENE,2,Con chi vive Lucia?,Vive con i suoi genitori,Abitava con la sua famiglia
,,,,
ROMANZO D'UNA SIGNORINA PER BENE,3,Come si chiama il fanciullo operaio ferito alla fabbrica?,Si chiama Pietro.,Il suo nome è Pietro.
ROMANZO D'UNA SIGNORINA PER BENE,3,Qual era il motivo della presenza dell'ingegnere Del Pozzo vicino alla fabbrica?,Stava ispezionando la fabbrica di nascosto.,Era lì per un'ispezione segreta della fabbrica.
ROMANZO D'UNA SIGNORINA PER BENE,3,Quale ruolo assume Lucia in seguito all'incidente alla fabbrica?,Diventa un'attivista per i diritti degli operai.,Si impegna attivamente per migliorare le condizioni dei lavoratori.
,,,,
ROMANZO D'UNA SIGNORINA PER BENE,4,Qual è il cognome di Lucia?,Marini,Il suo cognome è Marini
ROMANZO D'UNA SIGNORINA PER BENE,4,Come si chiama il fanciullo malato assistito da Lucia?,Pietro,Il suo nome è Pietro
ROMANZO D'UNA SIGNORINA PER BENE,4,Qual è la causa della condizione del fanciullo Pietro?,Un infortunio sul lavoro,Le conseguenze di un incidente lavorativo
,,,,
ROMANZO D'UNA SIGNORINA PER BENE,5,Come si chiamava il fanciullo ferito alla fabbrica?,Si chiamava Pietro,Il suo nome era Pietro
