Book,ParagraphIndex,Question,AnswerA,AnswerB
IL MIRAGGIO ROMANZO,1,Chi fu l'attore che causò lo scioglimento della compagnia drammatica con un colpo di rivoltella?,Nome dell'attore,L'attore X
IL MIRAGGIO ROMANZO,1,Quale fu la prima opera di Giuliano Farnese interpretata da Claudina Rosiers?,Titolo dell'opera,L'opera Y
IL MIRAGGIO ROMANZO,1,Come si chiamava la primaria compagnia drammatica in cui Claudina Rosiers recitò con Virginia Marini?,Nome della compagnia,La compagnia Z
,,,,
IL MIRAGGIO ROMANZO,2,Claudina Rosiers e Farnese diventano amanti?,"Sì, la loro relazione evolve in un legame amoroso.",Diventano amanti nel corso della storia.
IL MIRAGGIO ROMANZO,2,Gray riesce a conquistare l'amore di Claudina Rosiers?,"No, il suo amore per Claudina Rosiers rimane non corrisposto.",Claudina Rosiers non ricambia i sentimenti di Gray.
IL MIRAGGIO ROMANZO,2,Qual è il titolo della commedia che Claudina Rosiers sta provando?,Il titolo della commedia è Il Gioco delle Parti.,L'opera teatrale si intitola Il Gioco delle Parti.
,,,,
IL MIRAGGIO ROMANZO,3,Le Nozze di Don Giovanni di Farnese furono riproposte con successo?,"Sì, la commedia fu riproposta con successo.","Sì, ottenne un grande successo in seguito."
IL MIRAGGIO ROMANZO,3,Giacomo Spada continuò ad attaccare Farnese dopo la pubblicazione dei romanzi?,"Sì, Spada continuò a criticare Farnese.","Sì, le sue critiche proseguirono."
IL MIRAGGIO ROMANZO,3,Farnese tornò mai alla sua prima maniera letteraria?,"No, non tornò alla sua prima maniera.","No, non riprese il suo stile iniziale."
,,,,
IL MIRAGGIO ROMANZO,4,Quale genere letterario scrive Farnese?,Commedie,Opere teatrali comiche
IL MIRAGGIO ROMANZO,4,Qual è il legame di parentela tra Beatrice e Farnese?,Beatrice è la sorella di Farnese,Sono fratelli
IL MIRAGGIO ROMANZO,4,Qual è l'opinione di Leonardo riguardo al pubblico teatrale?,Non vuole soggiogarsi al pubblico,Rifiuta di sottomettersi al pubblico
,,,,
IL MIRAGGIO ROMANZO,5,Chi è Beatrice per Farnese?,Sua moglie,La consorte di Farnese
IL MIRAGGIO ROMANZO,5,Qual è la professione di Farnese?,È uno scrittore,La sua professione è quella di scrittore
IL MIRAGGIO ROMANZO,5,Qual è il titolo della commedia in cui recita Claudina Rosiers?,La visita di nozze,La commedia intitolata 'La visita di nozze'
,,,,
