Book,ParagraphIndex,Question,AnswerA,AnswerB
IL DESTINO ROMANZO,1,Quando nacque Fulvia Piccolomini?,Il 14 marzo 1630,"Nel 1630, il quattordici marzo"
IL DESTINO ROMANZO,1,Chi sposò Fulvia Piccolomini?,Lelio Griffoli,Un gentiluomo senese di nome Lelio Griffoli
IL DESTINO ROMANZO,1,Quale città è descritta come la patria di Fulvia Piccolomini e la città dell'Amore?,Siena,La città di Siena
,,,,
IL DESTINO ROMANZO,2,Chi è il marito di Fulvia Piccolomini?,Lelio Griffoli,Lelio
IL DESTINO ROMANZO,2,Come si chiama il padre di Paride?,Belisario Bulgarini,Belisario
IL DESTINO ROMANZO,2,Qual è il sentimento di Fulvia Piccolomini verso Paride?,Aborrimento e paura,Aborrimento e timore
,,,,
IL DESTINO ROMANZO,3,Come si chiama la donna di cui Paride è innamorato?,Beatrice,La donna amata da Paride si chiama Beatrice
IL DESTINO ROMANZO,3,Paride riesce a sposare la donna che ama?,"No, non la sposa",Paride non riesce a sposare la donna amata
IL DESTINO ROMANZO,3,Qual è il legame di Betta con Paride?,È la sua nutrice,Betta è la nutrice di Paride
,,,,
IL DESTINO ROMANZO,4,Quale decisione finale prende Betta riguardo all'aiutare Paride a conquistare la gentildonna?,Decide di non proseguire con l'incarico,Abbandona il suo ruolo di intermediaria
IL DESTINO ROMANZO,4,Paride e la gentildonna si uniscono in matrimonio?,"No, non si sposano",Non convolano a nozze
IL DESTINO ROMANZO,4,Come muore il marito della gentildonna?,Muore di malattia,Perde la vita a causa di una malattia
,,,,
IL DESTINO ROMANZO,5,Perché Betta desidera incontrare la signora Fulvia?,Per aiutare Paride,Per liberare Paride dalla sua sofferenza
IL DESTINO ROMANZO,5,Qual è il legame tra Betta e Paride?,Betta lo considera come un figlio,Paride è l'oggetto dell'affetto materno di Betta
IL DESTINO ROMANZO,5,Quale pretesto usa Betta per presentarsi alla signora Fulvia?,Offrire merletti in vendita,Proporre l'acquisto di trine
,,,,
IL DESTINO ROMANZO,6,Per quale motivo Betta si reca da Fulvia?,Per chiedere aiuto per il figlio malato,Per salvare il figlio che ama Fulvia
IL DESTINO ROMANZO,6,Qual è la malattia che affligge il figlio di Betta?,È un disperato amore per Fulvia,Soffre di un amore senza speranza per Fulvia
IL DESTINO ROMANZO,6,Fulvia ha dei figli?,"No, non ha figli",Non ha mai avuto figli
,,,,
IL DESTINO ROMANZO,7,Chi è Paride per Betta?,Il marito di Betta,Suo marito
IL DESTINO ROMANZO,7,Qual era il ruolo delle trine nella vita di Betta?,Erano la sua fonte di guadagno,Servivano al suo sostentamento
IL DESTINO ROMANZO,7,Qual era il motivo dell'ira di Lelio contro Betta?,Sospettava che Betta avesse rubato le trine,Credeva che Betta avesse sottratto le trine
,,,,
