Book,ParagraphIndex,Question,AnswerA,AnswerB
CAPELLI BIONDI,1,Qual è la caratteristica principale di Corrado?,È un personaggio malinconico,È afflitto da una profonda tristezza
CAPELLI BIONDI,1,Quale ruolo assume Aniceto nel gruppo di amici?,Si presenta come il più saggio,Cerca di mostrare senno
CAPELLI BIONDI,1,Qual è il rapporto tra i personaggi presenti alla cena?,Sono un gruppo di amici,Sono legati da un vincolo di amicizia
,,,,
CAPELLI BIONDI,2,Qual è la professione di Corrado?,È un avvocato,Svolge la professione di avvocato
CAPELLI BIONDI,2,Chi è Filiberto per Corrado?,È un amico intimo,Il suo più caro amico
CAPELLI BIONDI,2,Qual è il nome della città in cui vive Corrado?,Vive a Roma,La sua città è Roma
,,,,
CAPELLI BIONDI,3,Qual è il sentimento dominante di Corrado?,La noia,L'insoddisfazione
CAPELLI BIONDI,3,Qual è il rapporto tra Aniceto e Corrado?,Sono amici,Sono compagni
CAPELLI BIONDI,3,Qual è il desiderio più profondo di Corrado?,Provare la povertà,Essere povero
,,,,
CAPELLI BIONDI,4,Qual è l'occupazione principale di Corrado?,È uno scrittore,La sua attività principale è la scrittura
CAPELLI BIONDI,4,"Qual è il legame tra Corrado, Aniceto e Filiberto?",Sono amici,Condividono la passione per la letteratura
CAPELLI BIONDI,4,Corrado pubblica il suo romanzetto?,"Sì, lo pubblica",Il suo romanzetto viene dato alle stampe
,,,,
CAPELLI BIONDI,5,Qual è la principale caratteristica della personalità di Corrado?,Corrado è un uomo nostalgico e incline a ripensare ai suoi amori passati.,La sua personalità è segnata da una profonda nostalgia per le relazioni concluse.
CAPELLI BIONDI,5,Quale delle donne menzionate rappresenta il ricordo più persistente per Corrado?,Nina è il ricordo amoroso più duraturo e significativo per Corrado.,"Tra le sue ex, Nina è quella che Corrado ricorda con maggiore intensità."
CAPELLI BIONDI,5,Chi è la persona che dialoga con Corrado riguardo ai suoi amori passati?,"È un amico fidato di Corrado, profondo conoscitore della sua vita sentimentale.",La voce appartiene a un confidente che condivide i ricordi amorosi di Corrado.
,,,,
CAPELLI BIONDI,6,Qual è la principale aspirazione di Corrado?,La ricerca della verità,Il desiderio di scoprire la verità
CAPELLI BIONDI,6,Proto riesce a diventare milionario?,"Sì, Proto accumula una grande fortuna",Diventa un uomo molto ricco
CAPELLI BIONDI,6,Qual è il ruolo di Antonio nella vicenda di Corrado?,È il suo fedele servitore e confidente,Svolge la funzione di consigliere per Corrado
,,,,
CAPELLI BIONDI,7,Chi è il personaggio che impartisce gli ordini al servo?,Adriano Meis,Mattia Pascal sotto il nome di Adriano Meis
CAPELLI BIONDI,7,Come si chiama la figlia della signora Felicita Garulli?,Adriana,Adriana Garulli
CAPELLI BIONDI,7,Qual è lo scopo della ricerca di Adriana Garulli?,Adriano Meis intende sposarla,Il suo scopo è sposare Adriana
,,,,
CAPELLI BIONDI,8,Come si chiama realmente la donna che Corrado cerca?,Agnese,Il suo vero nome è Agnese
CAPELLI BIONDI,8,Qual è il legame di parentela tra Corrado e Agnese?,Sono fratello e sorella,Sono fratelli
CAPELLI BIONDI,8,Dove abita Agnese?,"In Via Solferino, N. 9",Al numero 9 di Via Solferino
,,,,
CAPELLI BIONDI,9,Corrado e Grazietta si sposano?,"No, non si uniscono in matrimonio",Non diventano marito e moglie
CAPELLI BIONDI,9,Qual è la professione di Corrado?,È uno studente,Svolge gli studi
CAPELLI BIONDI,9,Con chi vive Grazietta?,Vive con la madre,Abitava insieme alla madre
,,,,
CAPELLI BIONDI,10,Chi è la signora Agnese per Grazietta?,È la zia di Grazietta.,È la sorella della madre di Grazietta.
CAPELLI BIONDI,10,Qual è il legame di parentela tra Mario e Grazietta?,Sono fratelli.,Mario è il fratello di Grazietta.
CAPELLI BIONDI,10,Qual è il ruolo di Corrado nella vita di Grazietta?,È il futuro sposo di Grazietta.,Diventa il marito di Grazietta.
,,,,
CAPELLI BIONDI,11,Qual è il legame di parentela tra Corrado e Grazietta?,Grazietta è la madre di Corrado,Sono madre e figlio
CAPELLI BIONDI,11,Qual era l'incarico di Antonio per Grazietta?,Doveva invitarla a trasferirsi nella casetta di via Lesmi,Il suo compito era proporle di abitare in via Lesmi
CAPELLI BIONDI,11,Qual è il motivo della partenza improvvisa di Grazietta?,È fuggita per nascondere un segreto,Ha lasciato la casa per celare una verità
,,,,
CAPELLI BIONDI,12,Qual è la condizione familiare di Grazietta?,È una fanciulla orfana,È una giovane senza famiglia
CAPELLI BIONDI,12,Qual è la vera identità di Corrado?,Corrado agisce sotto mentite spoglie,Corrado nasconde la sua vera identità
CAPELLI BIONDI,12,Qual è il ruolo di Agnese nella vicenda di Grazietta?,Agnese mette alla prova Corrado,Agnese valuta le intenzioni di Corrado
,,,,
CAPELLI BIONDI,13,Quale professione intraprende Agnese per sostenere la sorella Grazietta?,La prostituta,Una donna di facili costumi
CAPELLI BIONDI,13,Agnese riesce a proteggere Grazietta dalla miseria?,"Sì, Grazietta è salvata",Agnese la preserva dalla povertà
CAPELLI BIONDI,13,Qual è il ruolo di Corrado nella vita di Agnese?,È il suo confidente,È l'ascoltatore della sua storia
,,,,
CAPELLI BIONDI,14,Chi è la signora Valentina per Grazietta?,La sua tutrice,La tutrice di Grazietta
CAPELLI BIONDI,14,Per quale motivo Grazietta va a vivere con la signora Valentina?,È rimasta orfana,Ha perso i genitori
CAPELLI BIONDI,14,Quanti canarini ha la signora Valentina?,Tre,Tre esemplari
,,,,
CAPELLI BIONDI,15,Come si chiama lo zio di Agnese?,Si chiama Don Anselmo.,Il suo nome è Don Anselmo.
