Book,ParagraphIndex,Question,AnswerA,AnswerB
CAPITAN RICCARDO,1,Quanti feriti ci sono?,Quindici,Dieci
CAPITAN RICCARDO,2,Chi ha ricevuto la lettera inviata dal duca?,Riccardo,Riccardo
CAPITAN RICCARDO,3,Chi è Alma?,La donna che Riccardo immagina,La donna immaginata da Riccardo
CAPITAN RICCARDO,4,Chi si sta intrattenendo con la Regina?,Un guerrigliero,Una persona con esperienza di combattimento
CAPITAN RICCARDO,5,Chi deve difendere il castello?,Il gruppo,Capitan Riccardo
CAPITAN RICCARDO,6,Sotto gli ordini di chi vengono messi gli uomini della donna?,Sotto Riccardo,Sotto Pietro il Toro
CAPITAN RICCARDO,7,"Di cosa sono sospettati Il Duca, Riccardo e Vittoria?",Di essersi rifugiati,Di aver trovato rifugio
CAPITAN RICCARDO,8,Chi ha dato la chiavetta a Riccardo?,La donna amata,La donna che lo aspetta
CAPITAN RICCARDO,9,Quale tipo di imbarcazione attende la Regina e il suo compagno dopo la fuga?,Un brigantino,Un brik
CAPITAN RICCARDO,10,Chi ha salvato la Regina?,Riccardo,Il difensore Riccardo
CAPITAN RICCARDO,11,Perché Rachele portava un figlio nel seno?,A causa del suo amore per il Duca di Fagnano,Per via del suo amore per il Duca di Fagnano
CAPITAN RICCARDO,12,Qual è il legame tra Riccardo e il duca?,Il duca è il padre di Riccardo,Riccardo ha ucciso i soldati del duca
CAPITAN RICCARDO,13,Che ruolo ricopre La Harpe?,Brigadiere,Il brigadiere
CAPITAN RICCARDO,14,Chi riceve il permesso di restare per la notte?,Il vecchio,La donna
CAPITAN RICCARDO,15,Cosa fa la giovane donna prima di respingere il sergentino?,Si stringe a lui,Lo abbraccia
CAPITAN RICCARDO,16,Qual è un tratto distintivo di uno degli individui che ha atterrato Capitan Riccardo in battaglia?,Il suo grado militare.,Una cicatrice.
CAPITAN RICCARDO,17,Qual è il contenuto della rivelazione di Carmine al duca?,Che suo figlio è vivo,Che il figlio è vivo
CAPITAN RICCARDO,18,Cosa si credeva del duca di Fagnano prima del suo ritorno?,Che fosse morto.,Che fosse fuggito.
CAPITAN RICCARDO,19,Cosa rifiuta il giovane di fare?,Di rinunciare al suo progetto,Di abbandonare il suo piano
CAPITAN RICCARDO,20,Chi è il vero Duca di Fagnano?,Il padre di Capitan Riccardo,Pietro il Toro
CAPITAN RICCARDO,21,Chi scopre l'atto matrimoniale nella bisaccia?,Vittoria,La donna che ama Riccardo
CAPITAN RICCARDO,22,A quale tipo di prigioniero permettono di accedere le chiavi possedute dal sergentino?,A un famoso capobanda,A un noto capobanda
CAPITAN RICCARDO,23,Chi è Pietro il Toro?,Il vecchio fuggito,Pietro
CAPITAN RICCARDO,24,Qual è la professione di Carmine?,Il contadino,Contadino
CAPITAN RICCARDO,25,Chi ha provato timore a causa dell'evasione?,Il comandante del battaglione,Benincasa
CAPITAN RICCARDO,26,Chi ama Capitan Riccardo?,Una donna,Sua cugina
CAPITAN RICCARDO,27,Da chi è ricercato Riccardo?,I Francesi,Le forze francesi
CAPITAN RICCARDO,28,Chi spera che Riccardo rinunci al suo progetto?,Vittoria,La Vittoria
CAPITAN RICCARDO,29,Chi ha portato i frati?,Carmine,Il Duca
CAPITAN RICCARDO,30,Chi si è rifugiata con Pietro il Toro?,Vittoria,La Vittoria
