Book,ParagraphIndex,Question,AnswerA,AnswerB
La_vita_militare,1,Cosa sta facendo il reggimento?,Sta marciando,È in marcia
La_vita_militare,1,Chi è una delle figure di comando menzionate nel reggimento?,Il capitano,Un comandante di pelottone
La_vita_militare,1,Come viene descritto l'ambiente in cui marcia il reggimento?,Come un deserto,Arido e senza ombra
,,,,
La_vita_militare,2,Perché l'ufficiale è triste?,Per la partenza del soldato,A causa dell'addio del suo soldato
La_vita_militare,2,Quanto dura la ferma del soldato?,Cinque anni,Dura cinque anni
La_vita_militare,2,Dove tornerà il soldato dopo la ferma?,Alla sua casa e famiglia,Nella sua terra natale
,,,,
La_vita_militare,3,Qual è il grado militare del personaggio che si sveglia per la zuffa?,Tenente,Un Tenente
La_vita_militare,3,Chi chiama il Tenente alla porta?,Il Capitano d'ispezione,Un Capitano incaricato dell'ispezione
La_vita_militare,3,Cosa chiede il Capitano d'ispezione al Tenente?,Se ha fatto la ronda,Se aveva svolto la ronda
,,,,
La_vita_militare,4,Cosa chiede il soldato al padrone?,Il suo ritratto,Il ritratto del padrone
La_vita_militare,4,Chi consegna il ritratto al soldato?,Il padrone,Il proprietario della casa
La_vita_militare,4,Come salutano il soldato gli ospiti dalla casa?,Lo salutano con la mano e gli augurano buon viaggio,Lo salutano dalle finestre augurandogli addio
,,,,
La_vita_militare,5,Chi pronuncia il discorso in difesa dei soldati?,L'uffiziale,Il tenente
La_vita_militare,5,Cosa chiede la folla al prigioniero?,Di chiedere perdono al soldato,Di scusarsi con il soldato
La_vita_militare,5,Chi viene perdonato dal soldato?,Il prigioniero,L'uomo che lo ha ferito
,,,,
La_vita_militare,6,Come viene chiamato il soldato che parla con sua madre?,Il Figlio del Reggimento,Il figliuolo del reggimento
La_vita_militare,6,Che ruolo ricopre l'ufficiale che si presenta al capitano d'ispezione?,Ufficiale di picchetto,Il ruolo di ufficiale di picchetto
La_vita_militare,6,Qual è la principale preoccupazione della madre del soldato?,La guerra,Se ci sarà la guerra
,,,,
La_vita_militare,7,Cosa risponde Carluccio quando gli chiedono di chi è figlio?,Dice di essere il figlio del reggimento,Afferma di essere stato trovato nel fodero della bandiera
La_vita_militare,7,Qual è il sentimento dei soldati verso Carluccio?,Gli vogliono bene,Lo considerano un amico 'per la pelle'
La_vita_militare,7,Dove arriva il reggimento con Carluccio a mezzanotte?,Arrivano al campo,Giungono in un campo militare
,,,,
La_vita_militare,8,Perché Carluccio piange?,Perché non può aiutare le ordinanze.,Perché si sente inutile e non può fare nulla.
La_vita_militare,8,Chi visita Carluccio nella sua stanzuccia?,Un consigliere comunale e un proprietario terriero.,Il consigliere e il proprietario dei terreni occupati dal reggimento.
La_vita_militare,8,Quale evento doloroso descrive l'ufficiale?,La sconfitta e la ritirata dell'esercito.,Il dolore di una ritirata militare.
,,,,
La_vita_militare,9,A chi è dedicato il racconto?,A Ridolfo,Al ragazzo di nome Ridolfo
La_vita_militare,9,Qual è il segreto per la vita del soldato rivelato a chi scrive il racconto?,Amare,L'amore
La_vita_militare,9,Dove si trova il coscritto all'inizio della sua storia?,Nella caserma,In una caserma
,,,,
La_vita_militare,10,A chi deve scrivere il coscritto?,A suo padre,Al padre del coscritto
La_vita_militare,10,Quale mestiere intraprenderà il coscritto?,Il mestiere del soldato,La carriera militare
La_vita_militare,10,Quale paese il coscritto conoscerà meglio durante il servizio?,L'Italia,Il bel paese Italia
,,,,
La_vita_militare,11,Cosa ha ricevuto il soldato sul petto durante il primo incontro?,Un mazzolino,Un mazzetto di fiori
La_vita_militare,11,Qual è stata la reazione della madre quando il soldato è stato indicato nel giardino pubblico?,Ha detto 'Zitto!',Ha risposto di non badarci
La_vita_militare,11,Da quale città è partito il reggimento di cavalleria del soldato?,Da Torino,Dalla città di Torino
,,,,
La_vita_militare,12,A chi riservava le sue tenerezze Carmela?,Agli ufficiali,Solo agli ufficiali
La_vita_militare,12,Da dove era tornata Carmela?,Dall'ospedale,Da una struttura ospedaliera
La_vita_militare,12,Cosa credevano alcuni che Carmela vedesse negli ufficiali che le piacevano?,Il suo amato che l'aveva abbandonata,L'uomo che l'aveva amata e poi lasciata
,,,,
La_vita_militare,13,Per quale motivo Carmela è impazzita?,Per amore del tenente,A causa del suo amore per il tenente
La_vita_militare,13,Chi è il destinatario della lettera scritta dall'ufficiale?,Il tenente,Un tenente che comandò il distaccamento
La_vita_militare,13,Quale metodo propone l'ufficiale per tentare di curare Carmela?,Ripetere la scena della partenza del tenente,Ricreare l'evento della partenza del tenente
,,,,
La_vita_militare,14,Chi è il personaggio che parte con il bastimento?,Il tenente,L'ufficiale
La_vita_militare,14,Cosa succede a Carmela quando il tenente parte?,Sviene,Cade senza sensi
La_vita_militare,14,Da quale città proviene il bastimento che si avvicina alla costa siciliana?,Da Tunisi,Dalla città di Tunisi
,,,,
La_vita_militare,15,Dove si trova il soldato in sentinella?,Fuori al freddo e alla neve,"In sentinella, esposto al freddo"
La_vita_militare,15,Qual è la condizione del soldato in sentinella?,"È solo, al freddo e malinconico","È abbandonato, stanco e senza conforti"
La_vita_militare,15,Cosa sogna il soldato in sentinella?,Una treccia nera e due occhi modesti,Il ricordo di una donna con una treccia nera
,,,,
La_vita_militare,16,Qual è il premio per chi vince la gara di salto?,Una lira,Un premio in denaro
La_vita_militare,16,Cosa succede al terzo saltatore durante la gara?,Cade nel fosso,Finisce nell'acqua
La_vita_militare,16,Cosa offrono gli uffiziali al saltatore caduto nel fosso?,Un bicchiere di vino,Del vino
,,,,
La_vita_militare,17,Quale grave ferita subì il soldato nella battaglia del ventiquattro giugno?,Gli fu recisa la coscia.,Gli amputarono la gamba presso il ginocchio.
La_vita_militare,17,Dove fu trasportato il soldato dopo essere stato ferito?,All'ospedale.,Allo spedale.
La_vita_militare,17,Quale ferita il soldato comunicò inizialmente alla sua famiglia?,Una lieve ferita alla mano.,Una ferita lievissima in una mano.
,,,,
La_vita_militare,18,Quale provincia italiana fu la più colpita dal colera nel 1867?,La Sicilia,La provincia siciliana
La_vita_militare,18,Chi era il comandante della divisione di Palermo durante l'epidemia di colera?,Il generale Medici,Il generale Medici di Palermo
La_vita_militare,18,Qual era la professione dell'autore di questo testo?,Un soldato,Un cittadino e soldato
,,,,
La_vita_militare,19,Chi morì di colera nel paese?,Il padre e la madre di una famiglia,I genitori di sei bambine
La_vita_militare,19,Cosa donarono i soldati per la famiglia orfana?,Soldi e pane,Denaro e fette di pane
La_vita_militare,19,Dove si riunirono i soldati per la colletta?,Nel dormitorio,Nel loro dormitorio
,,,,
La_vita_militare,20,Chi è il sottotenente che comanda il pelottone del 54º reggimento?,Edoardo Cangiano,Il sottotenente Edoardo Cangiano
La_vita_militare,20,Quale epidemia è scoppiata a Campofranco?,Il colèra,L'epidemia di colèra
La_vita_militare,20,In quale paese era di stanza il pelottone comandato da Edoardo Cangiano?,A Sutèra,Nel paese di Sutèra
,,,,
La_vita_militare,21,Dove si trova il soldato che scrive la lettera?,A Catania,Nel convento di Catania
La_vita_militare,21,Per quale motivo il soldato si trova nel convento a Catania?,Era malato di colèra,Perché stava guarendo dal colèra
La_vita_militare,21,Chi sono i direttori dell'ospedale dei convalescenti?,Il luogotenente colonnello Croce e il capitano Mirto,Croce e Mirto
,,,,
La_vita_militare,22,Cosa riceve il soldato dal colonnello?,Una medaglia,Un riconoscimento militare
La_vita_militare,22,Qual è il legame tra il soldato e la donna?,Sono madre e figlio,Il soldato è suo figlio
La_vita_militare,22,Chi rivela alla donna che il soldato è suo figlio?,L'ordinanza,Il militare ordinanza
,,,,
La_vita_militare,23,Quale evento imminente riguarda Ettore?,La sua partenza per la guerra,Il suo arruolamento nel conflitto
La_vita_militare,23,Dove si dirige Alberto?,A Piacenza,Verso la città di Piacenza
La_vita_militare,23,Cosa chiede la madre ad Alberto riguardo a Piacenza?,Se Piacenza è fortificata,Se la città di Piacenza ha delle fortificazioni
,,,,
La_vita_militare,24,Dove era accampato il reggimento di Alberto?,Presso S. Giorgio,"A S. Giorgio, vicino a Piacenza"
La_vita_militare,24,Qual è la relazione tra Alberto e il colonnello?,Sono cugini,Il colonnello è il cugino di Alberto
La_vita_militare,24,A chi invia un telegramma la madre di Alberto per avere sue notizie?,Al colonnello,"Al cugino di Alberto, il colonnello"
,,,,
La_vita_militare,25,Qual è il romanzo preferito del mittente della lettera?,I Promessi Sposi,Il romanzo I Promessi Sposi
La_vita_militare,25,Con chi il mittente della lettera condivideva la lettura de I Promessi Sposi?,Con il destinatario della lettera,Con la persona a cui scrive
La_vita_militare,25,Qual è la prima città che il mittente della lettera visita dopo Martellago?,Padova,La città di Padova
,,,,
La_vita_militare,26,Come si chiama la donna che il protagonista chiama 'santa'?,Alberto,Si chiama Alberto
La_vita_militare,26,In quale città entrarono i cannonieri piemontesi dopo la battaglia di Novara?,A Chivasso,Nella città di Chivasso
La_vita_militare,26,Quale battaglia viene menzionata in relazione all'ingresso dei cannonieri a Chivasso?,La battaglia di Novara,Novara
,,,,
La_vita_militare,27,Che grado militare aveva il figlio del vecchio?,Era un sergente d'artiglieria,Era sergente nell'artiglieria
La_vita_militare,27,Quali oggetti del figlio riceve il vecchio?,Un berretto e un paio di spalline,Il berretto e le spalline del sergente
La_vita_militare,27,Cosa promette il capitano di inviare al vecchio da Torino?,Gli scritti e i rapporti del figlio,Le lettere e i rapporti del figlio
,,,,
La_vita_militare,28,A chi si rivolge il bersagliere nel suo racconto?,Al signor colonnello,A un colonnello
La_vita_militare,28,Qual è il ruolo militare del protagonista?,È un bersagliere,Fa parte dei bersaglieri
La_vita_militare,28,Chi aiuta il bersagliere nella strada disselciata?,Un vecchio cieco,Un anziano non vedente
,,,,
La_vita_militare,29,Quale ferita grave riportò il signore nel duello?,Una ferita alla testa,Una grave ferita alla testa
La_vita_militare,29,Quale fu la conseguenza del duello per Luisa?,La sua reputazione fu compromessa,Fu messa in piazza a causa dell'evento
La_vita_militare,29,Come reagì la città al duello?,La cosa fece chiasso,Se ne parlò per un pezzo
,,,,
La_vita_militare,30,Chi ha invitato i primi quattro bersaglieri?,Il colonnello,Il signor colonnello
La_vita_militare,30,Quale evento è richiamato dagli abiti logori dei soldati?,La campagna del cinquantanove,La campagna militare del 1859
La_vita_militare,30,Dove è apparso il secondo gruppo di soldati?,Davanti al cancello,Al cancello della villa
,,,,
