Batch,Testo,Risposta1,Risposta2
1,Qual è la principale preoccupazione di Alberto all'inizio del romanzo?,Alberto è preoccupato per la sua relazione con Raimonda.,La sua maggiore ansia riguarda il rapporto con Raimonda.
1,Qual è il destino finale di Weill?,Weill lascia la città dopo gli eventi con Adriano.,"Alla fine, Weill si allontana dalla città in seguito alle vicende che coinvolgono Adriano."
1,Qual è la caratteristica principale del comportamento di Raimonda nei confronti di Alberto?,Raimonda è spesso ambigua e sfuggente con Alberto.,Il suo atteggiamento verso Alberto è caratterizzato da ambiguità e reticenza.
1,Qual è il ruolo di zio Mario nella vita di Alberto?,Zio Mario è una figura di riferimento e sostegno per Alberto.,"Per Alberto, zio Mario rappresenta un punto di riferimento e un appoggio importante."
2,Qual è il motivo principale per cui Alberto si trasferisce a Roma?,Alberto si trasferisce per sfuggire al suo passato e ricominciare.,Il suo trasferimento a Roma è un tentativo di lasciarsi alle spalle le sue vecchie abitudini.
2,Cosa succede ad Anna Maria dopo l'atto d'amore di Adriano Mezzena?,Anna Maria subisce un profondo cambiamento interiore.,La sua vita prende una svolta inaspettata a seguito dell'evento.
2,Qual è il destino finale di Adriana Paleari?,Adriana Paleari trova la pace in un luogo isolato.,La sua ricerca di serenità si conclude in un ritiro solitario.
2,Qual è la verità nascosta dietro l'identità di Adriano?,Adriano è in realtà un impostore che vive sotto falso nome.,La sua vera identità è quella di un uomo che ha assunto un'altra persona.
3,Qual è il motivo principale per cui Alberto decide di lasciare la sua città natale?,Alberto parte per sfuggire ai suoi problemi personali e al suo passato.,La sua partenza è motivata dal desiderio di allontanarsi dalle difficoltà che lo affliggono.
3,Come si chiama il villaggio in cui Rosalia trova rifugio dopo essere fuggita?,Rosalia si rifugia nel piccolo villaggio di San Felice.,Il suo nascondiglio è il borgo di San Felice.
3,Qual è il destino finale dell'invenzione di Weill?,L'invenzione di Weill si rivela un completo fallimento.,Il progetto di Weill non ha successo e non raggiunge i suoi scopi.
3,Chi è il personaggio che aiuta Alberto a superare le sue prime difficoltà?,Il vecchio professore Emilio offre il suo aiuto ad Alberto.,Alberto riceve supporto e guida dal professor Emilio.
4,Qual è l'obiettivo principale di Mattia Pascal dopo aver assunto l'identità di Adriano Meis?,Vivere una nuova vita libera dal suo passato.,Ricostruire la sua esistenza senza i vincoli precedenti.
4,Chi è il padre biologico di Alberto?,Il marchese Scotti.,Il genitore naturale di Alberto è il marchese Scotti.
4,Qual è il significato del cimitero di Miragno per Mattia Pascal?,È il luogo dove viene inscenata la sua morte.,Rappresenta il punto di partenza della sua nuova identità.
4,Cosa succede a Raimonda alla fine del romanzo?,Viene arrestata per i suoi crimini.,Subisce le conseguenze legali delle sue azioni.
5,Qual era lo scopo principale del viaggio di Alberto a San Vincenzo?,Cercare una persona specifica.,Trovare la signora che stava cercando.
5,Che tipo di rapporto lega il narratore ad Alberto?,Sono amici stretti.,Il narratore è un amico fidato di Alberto.
5,Alberto riuscì a trovare la signora che cercava a San Vincenzo?,"Sì, la incontrò.",Alla fine la trovò.
5,Qual è l'importanza di Raimonda per Alberto?,È una persona chiave del suo passato.,Rappresenta un ricordo fondamentale per lui.
7,Qual è la principale motivazione di Weill?,Weill è spinto dal desiderio di vendetta contro Alberto.,Il suo scopo principale è vendicarsi di Alberto.
7,Quale decisione cruciale prende Raimonda riguardo al suo futuro?,Raimonda decide di lasciare la città per iniziare una nuova vita.,Sceglie di abbandonare il suo passato e trasferirsi altrove.
7,Alessi guarisce completamente dalla sua condizione?,"No, la condizione di Alessi non viene risolta del tutto.","La sua malattia persiste, nonostante i tentativi di cura."
7,Qual è il destino finale della donna che influenza Alberto?,La donna scompare misteriosamente alla fine del romanzo.,Non si hanno più notizie della donna dopo la sua sparizione.
8,Qual è la decisione principale che Mattia Pascal prende dopo aver vinto una grossa somma?,Decide di fingersi morto per iniziare una nuova vita.,Sceglie di simulare il proprio decesso per cambiare completamente esistenza.
8,Per quale motivo Alberto decide di lasciare la sua città natale?,Cerca di sfuggire all'influenza oppressiva della sua famiglia.,Vuole liberarsi dal controllo familiare e trovare la sua indipendenza.
8,Cosa scopre Adriano riguardo al suo passato durante il suo viaggio?,Viene a conoscenza di un segreto di famiglia a lungo celato.,Apprende una verità nascosta sulla storia della sua stirpe.
