Book,ParagraphIndex,Question,AnswerA,AnswerB
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,1,Qual è la città di provenienza di Roberto?,Milano,La città di Milano
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,1,Qual è la professione di Roberto?,È un pittore,Svolge il mestiere di pittore
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,1,Per quale motivo Roberto si trova nel piano d'Erba?,Per cercare ispirazione artistica,Per trovare soggetti per i suoi dipinti
,,,,
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,2,Qual è la professione di Roberto?,È un pittore,Fa il pittore
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,2,Chi è Dalia per Roberto?,La donna amata da Roberto,La sua amante
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,2,Perché Roberto si ferma ad Asso?,Per stare con un compagno,Per visitare un amico
,,,,
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,3,Come si chiama lo zio di Dalia?,Bernardo,Il suo nome è Bernardo
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,3,Che legame di parentela unisce Dalia a Bernardo?,Dalia è la nipote di Bernardo,Bernardo è lo zio di Dalia
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,3,Qual è la professione del vicino che Dalia intende chiamare?,È un pittore,Fa il pittore
,,,,
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,4,Per quale scopo i compagni d'armi si radunano a Genova?,Per organizzare la rivolta,Per pianificare l'insurrezione
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,4,Qual è la posizione del signor Federico all'interno del gruppo dei compagni d'armi?,È uno dei capi del movimento,È un leader della cospirazione
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,4,Quale ruolo assume Valentino dopo aver raggiunto Genova?,Si unisce attivamente alla causa,Diventa un partecipante della rivolta
,,,,
UNO DEI MILLE DELLA SPEDIZIONE GARIBALDINA NEL MEZZODÌ D'ITALIA,5,Qual è la missione principale di Federico nel corso del libro?,Ritrovare la sua famiglia perduta,Il suo obiettivo è ricongiungersi con i suoi cari
