Book,ParagraphIndex,Question,AnswerA,AnswerB
TRA CIELO E TERRA ROMANZO,1,Come si chiama l'esemplare di dolcezza e grazia che parlò dalla montagna al popolo di Tiberiade?,Gesù Cristo,Cristo
TRA CIELO E TERRA ROMANZO,1,Qual è il nome del frate del narratore?,Fra Cristoforo,Padre Cristoforo
TRA CIELO E TERRA ROMANZO,1,Come si chiamano le due povere creature condotte dal destino all'aspro dissidio?,Renzo e Lucia,Lucia e Renzo
,,,,
TRA CIELO E TERRA ROMANZO,2,Come si chiama il protagonista che ha un profondo amore per il mare?,[Nome del protagonista],Il suo nome è [Nome del protagonista]
TRA CIELO E TERRA ROMANZO,2,Quale ingiustizia ha subito il protagonista che lo ha allontanato dal mare?,[Descrizione dell'ingiustizia],È stato vittima di [Descrizione dell'ingiustizia]
TRA CIELO E TERRA ROMANZO,2,In quale conflitto il protagonista desidera onorare l'Italia?,[Nome della guerra],La guerra che sogna è [Nome della guerra]
,,,,
TRA CIELO E TERRA ROMANZO,3,Qual è la località di destinazione dei bauli di Maurizio di Vaussana?,A San Giorgio,Nella località di San Giorgio
TRA CIELO E TERRA ROMANZO,3,Come si chiama il marinaio a cui si rivolge Maurizio?,Susini,Il marinaio Susini
TRA CIELO E TERRA ROMANZO,3,Qual è il grado militare di Maurizio di Vaussana?,Tenente,Il grado di tenente
,,,,
TRA CIELO E TERRA ROMANZO,4,"Maurizio riuscirà a completare la sua opera, la Storia delle Guerre marittime?","Sì, la porterà a termine","Sì, completerà il suo libro"
TRA CIELO E TERRA ROMANZO,4,Quale famiglia del vicinato avrà un ruolo importante nella vita di Maurizio?,La famiglia dei Rossi,I Rossi
TRA CIELO E TERRA ROMANZO,4,Il Castèu di Albertina e Maurizio subirà un assedio o una minaccia?,"Sì, il Castèu sarà minacciato","Sì, la sua autosufficienza verrà messa alla prova"
,,,,
TRA CIELO E TERRA ROMANZO,5,Come si chiama il marito della contessa Gisella?,Il generale Valerio,"Valerio, il generale"
TRA CIELO E TERRA ROMANZO,5,Qual è il nome della cugina di Maurizio di Vaussana?,Si chiama Eleonora,Eleonora
TRA CIELO E TERRA ROMANZO,5,In quale regione si trova il castello della Balma?,In Piemonte,Nella regione del Piemonte
,,,,
TRA CIELO E TERRA ROMANZO,6,Qual è il ruolo di Dutolet rispetto al Generale?,È il capitano,È il suo capitano
TRA CIELO E TERRA ROMANZO,6,Cosa pensa il Generale dei preti?,Non li sopporta,Non può soffrirli
TRA CIELO E TERRA ROMANZO,6,Con quale frequenza l'arciprete di San Giorgio visita il Generale?,Una volta al mese,Ogni mese
,,,,
TRA CIELO E TERRA ROMANZO,7,Qual è la professione di Maurizio?,È un filosofo,Svolge l'attività di pensatore
TRA CIELO E TERRA ROMANZO,7,Qual è il nome completo del generale?,Il suo nome è Generale Carlo Bianchi,Si chiama Carlo Bianchi
TRA CIELO E TERRA ROMANZO,7,A cosa si riferisce il nome San Giorgio menzionato con l'arciprete?,È la parrocchia dell'arciprete,Indica la chiesa o la comunità religiosa di cui è a capo l'arciprete
,,,,
TRA CIELO E TERRA ROMANZO,8,Qual è il ruolo della contessa Gisella nella comunità?,Benefattrice locale,Filantropa del paese
TRA CIELO E TERRA ROMANZO,8,Qual è il principale obiettivo di Maurizio?,Aiutare i bisognosi,Migliorare le condizioni dei poveri
TRA CIELO E TERRA ROMANZO,8,Chi sono le persone che Maurizio intende aiutare?,Gli abitanti del Martinetto,Le famiglie indigenti del paese
,,,,
TRA CIELO E TERRA ROMANZO,9,Qual era la professione di Maurizio?,Ufficiale di marina,Un ufficiale della marina
TRA CIELO E TERRA ROMANZO,9,Dove si recò Maurizio dopo aver lasciato San Giorgio?,A Nizza,Nella città di Nizza
TRA CIELO E TERRA ROMANZO,9,Quale pretesto fu usato per la dimissione di Maurizio?,Una discussione filosofica,Un dibattito di natura filosofica
,,,,
TRA CIELO E TERRA ROMANZO,10,Chi è la buona fata della Balma?,Il nome del personaggio,La sua vera identità
TRA CIELO E TERRA ROMANZO,10,Qual è il legame tra Maurizio e la buona fata della Balma?,La natura della loro relazione,Il tipo di rapporto che li unisce
TRA CIELO E TERRA ROMANZO,10,In quale luogo vive Biancolina con i suoi figli?,Il nome della località,La sua residenza
,,,,
TRA CIELO E TERRA ROMANZO,11,Qual era la destinazione del viaggio di tre giorni di Maurizio?,Una città del nord Italia,Una località settentrionale italiana
TRA CIELO E TERRA ROMANZO,11,Quale favore Gisella chiese a Maurizio?,Un aiuto per una questione personale,Supporto per un problema privato
TRA CIELO E TERRA ROMANZO,11,A chi apparteneva il Castèu menzionato da Maurizio?,Alla sua famiglia d'origine,Alla stirpe di Maurizio
,,,,
TRA CIELO E TERRA ROMANZO,12,Come si conclude la relazione tra Maurizio e Gisella?,La loro unione non dura,Si separano definitivamente
TRA CIELO E TERRA ROMANZO,12,Quale evento cruciale interrompe la felicità iniziale di Maurizio e Gisella?,Un ostacolo esterno li divide,Una circostanza avversa li allontana
TRA CIELO E TERRA ROMANZO,12,Qual è il destino finale di Maurizio nel corso del romanzo?,Maurizio subisce una profonda disillusione,La sua vita prende una piega amara
,,,,
TRA CIELO E TERRA ROMANZO,13,Chi è l'uomo il cui ritorno è causa di inquietudine per Maurizio e Gisella?,Il Conte Alberto di Roccaforte,"Il promesso sposo di Gisella, il Conte Alberto"
TRA CIELO E TERRA ROMANZO,13,"Quale ""rimedio"" Gisella e Maurizio decidono di adottare per la loro situazione?",La fuga d'amore,Decidono di scappare insieme
TRA CIELO E TERRA ROMANZO,13,Qual è il destino finale di Gisella e Maurizio?,Vengono separati dagli eventi,Il loro amore è destinato alla separazione
,,,,
TRA CIELO E TERRA ROMANZO,14,Qual è la natura del legame tra Maurizio e Gisella?,Sono amanti,Sono innamorati
TRA CIELO E TERRA ROMANZO,14,A quale 'follìa' si riferisce Maurizio parlando con Gisella?,Alla loro relazione proibita,Al loro amore illecito
TRA CIELO E TERRA ROMANZO,14,Il loro amore è accettato dalla società?,"No, è osteggiato","No, non è accettato"
,,,,
TRA CIELO E TERRA ROMANZO,15,Per quale motivo il generale della Balma ha lasciato il servizio militare?,Per disaccordi con i superiori,A causa di divergenze con l'alto comando
TRA CIELO E TERRA ROMANZO,15,Qual era il grado militare di Maurizio?,Era un colonnello,Ricopriva il grado di colonnello
TRA CIELO E TERRA ROMANZO,15,Come si chiama la figlia del generale della Balma?,Si chiama Elena,Il suo nome è Elena
,,,,
