Book,ParagraphIndex,Question,AnswerA,AnswerB
CAPITAN RICCARDO,1,Chi era l'amante di Vittoria?,Il Vizzarro,Vizzarro
CAPITAN RICCARDO,1,Quanti uomini comanda Vittoria?,Venticinque,Venticinque Senesi
CAPITAN RICCARDO,1,Perché Capitan Riccardo è turbato?,Per i morti e i feriti,Per i dieci morti e i quindici feriti
,,,,
CAPITAN RICCARDO,2,Chi ha inviato la lettera a Riccardo?,Il duca di Fagnano,Il duca
CAPITAN RICCARDO,2,Dove si trova il duca di Fagnano?,Nel suo castello,Al castello
CAPITAN RICCARDO,2,Chi accompagna il duca di Fagnano al castello?,Sua figlia e un'amica,La figliuola e una signora sua amica
,,,,
CAPITAN RICCARDO,3,Come si chiama la donna che Riccardo immagina?,Alma,Si chiama Alma
CAPITAN RICCARDO,3,Verso quale luogo si stanno dirigendo Riccardo e la donna?,Il castello ducale,Un castello ducale
CAPITAN RICCARDO,3,Quale sentimento prova Riccardo verso la donna che lo accompagna?,Paura,Sgomento
,,,,
CAPITAN RICCARDO,4,Qual è lo scopo della Regina nel luogo in cui si trova?,Giudicare le sorti della guerra,Valutare la guerra contro i nemici
CAPITAN RICCARDO,4,Dove attende la nave destinata alla Regina?,Nelle acque di S. Eufemia,A S. Eufemia
CAPITAN RICCARDO,4,Qual è il ruolo dell'uomo che parla con la Regina?,È un guerrigliero,Ha il ruolo di guerrigliero
,,,,
CAPITAN RICCARDO,5,Chi è il capo del gruppo?,Riccardo,Il capitan Riccardo
CAPITAN RICCARDO,5,Chi rappresenta una minaccia per il gruppo?,I Francesi,Le truppe francesi
CAPITAN RICCARDO,5,Qual è il luogo strategico da difendere?,Il castello,La fortezza del castello
,,,,
CAPITAN RICCARDO,6,Chi mette i suoi uomini agli ordini di Pietro il Toro?,La donna,Colei che gli parla
CAPITAN RICCARDO,6,Cosa chiede la donna a Riccardo?,Di essere il suo fratello d'armi,Di diventare il suo compagno d'armi
CAPITAN RICCARDO,6,Chi è atteso per un consiglio?,Il duca,Il signore del luogo
,,,,
CAPITAN RICCARDO,7,Chi sono i personaggi sospettati di essersi rifugiati?,"Il Duca, Riccardo e Vittoria","Riccardo, Vittoria e il Duca"
CAPITAN RICCARDO,7,Cosa vuole sapere Vittoria riguardo al piano del Duca?,Solo dove e quando si combatterà,Il luogo e il momento dello scontro
CAPITAN RICCARDO,7,Chi compare da dietro la cortina?,La Regina,Sua Maestà
,,,,
CAPITAN RICCARDO,8,Chi è il nemico che Riccardo e i suoi uomini attendono?,I Francesi,Le truppe francesi
CAPITAN RICCARDO,8,Quale oggetto stringe Riccardo come prova che la donna amata lo aspetta?,Una chiavetta,La chiavetta che gli ha dato
CAPITAN RICCARDO,8,In quale luogo Riccardo attende l'arrivo dei Francesi?,Nel castello,All'interno del castello
,,,,
CAPITAN RICCARDO,9,Qual è l'obiettivo del Duca?,Catturare la Regina,Trovare la Regina nel castello
CAPITAN RICCARDO,9,Come intendono fuggire la Regina e il suo compagno dal castello?,Tramite una via sotterranea,Attraverso un passaggio segreto
CAPITAN RICCARDO,9,Qual è la destinazione finale della Regina e del suo compagno dopo la fuga?,Un brigantino in attesa,Il brik che li aspetta
,,,,
CAPITAN RICCARDO,10,Chi è il personaggio che difende il castello?,Riccardo,Il difensore Riccardo
CAPITAN RICCARDO,10,Chi è la Regina che Riccardo ha salvato?,La Regina,La sovrana
CAPITAN RICCARDO,10,Qual è la condizione del castello difeso da Riccardo?,Sta bruciando,È in fiamme
,,,,
CAPITAN RICCARDO,11,Dove il Duca di Fagnano nascose le lettere di Rachele?,Dietro alcuni libri polverosi,"In uno scaffale della biblioteca, dietro dei libri"
CAPITAN RICCARDO,11,Qual era il rapporto tra i duchi di Fagnano e i baroni di Pietrasanta?,C'era un odio secolare,Erano famiglie nemiche da generazioni
CAPITAN RICCARDO,11,Cosa portava Rachele nel seno a causa del suo amore per il Duca di Fagnano?,Il frutto del loro amore,Un figlio
,,,,
CAPITAN RICCARDO,12,Chi è il padre di Riccardo?,Il duca,Il povero vecchio
CAPITAN RICCARDO,12,Quale promessa ha fatto Carmine alla moribonda?,Di parlare al duca del figlio,Di rivelare al duca l'esistenza del figlio
CAPITAN RICCARDO,12,Cosa ha fatto Riccardo ai soldati del duca?,Ha fatto strage dei soldati,Ha ucciso i soldati del duca
,,,,
CAPITAN RICCARDO,13,Chi è l'anziano di cui si prende cura la giovane donna?,Il suo nonno,Il nonno della ragazza
CAPITAN RICCARDO,13,Come si chiama il brigadiere?,La Harpe,Il brigadiere La Harpe
CAPITAN RICCARDO,13,Qual è la professione di Massaro Cicco?,Cantiniere,L'oste
,,,,
CAPITAN RICCARDO,14,Per chi il vecchio e la donna si trovano in questa situazione?,Per Capitan Riccardo,Per aiutare Capitan Riccardo
CAPITAN RICCARDO,14,Chi teme di essere fucilato a causa di Pietro?,Massaro Cicco,Il personaggio Massaro Cicco
CAPITAN RICCARDO,14,Chi permette al vecchio e alla donna di restare per la notte?,Il capitano,Il capitano del luogo
,,,,
CAPITAN RICCARDO,15,Cosa chiede il sergentino alla giovane donna?,Un bacio,Un solo bacio
CAPITAN RICCARDO,15,Cosa fa la giovane donna dopo essersi stretta al sergentino?,Lo respinge con forza,Lo allontana vigorosamente
CAPITAN RICCARDO,15,Chi dorme mentre il sergentino e la giovane donna sono soli?,Il fondachiere e il nonno,Il nonno della giovane donna e il fondachiere
,,,,
CAPITAN RICCARDO,16,Cosa chiede Capitan Riccardo al sergente riguardo alla catena?,Di non essere incatenato durante il tragitto.,Di non disonorare i suoi polsi con la catena.
CAPITAN RICCARDO,16,Chi ha atterrato Capitan Riccardo in battaglia?,Il sergente.,Il soldato francese con la cicatrice.
CAPITAN RICCARDO,16,Quale altro favore chiede Capitan Riccardo al sergente?,Di comandare il plotone d'esecuzione.,Di essere lui a dare l'ordine di fuoco per la sua fucilazione.
,,,,
