Book,ParagraphIndex,Question,AnswerA,AnswerB
O TUTTO O NULLA ROMANZO,1,Aldo De Rossi e la signora Vezzosi diventano amanti?,"Sì, la loro relazione evolve in un legame amoroso",Diventano amanti nel corso della storia
O TUTTO O NULLA ROMANZO,1,Il commendatore Vezzosi scopre la relazione tra Aldo De Rossi e sua moglie?,"Sì, il commendatore Vezzosi viene a conoscenza del loro legame",La relazione tra i due viene scoperta dal commendatore Vezzosi
O TUTTO O NULLA ROMANZO,1,In quale città si svolgono principalmente gli eventi che coinvolgono Aldo De Rossi e la signora Vezzosi?,A Torino,Nella città di Torino
,,,,
O TUTTO O NULLA ROMANZO,2,Aldo De Rossi e Signora Elena si sposano?,"Sì, convolano a nozze.","Sì, diventano marito e moglie."
O TUTTO O NULLA ROMANZO,2,Aldo De Rossi modifica il suo modo di agire?,"Sì, il suo comportamento cambia.","Sì, diventa più consapevole."
O TUTTO O NULLA ROMANZO,2,Signora Elena è vedova?,"Sì, ha perso il marito.","Sì, è una vedova."
,,,,
O TUTTO O NULLA ROMANZO,3,Quale aggettivo descrive la donna amata da Aldo De Rossi?,Rigorosa,Fredda
O TUTTO O NULLA ROMANZO,3,Qual era l'attività che apparentemente legava Elena Vezzosi e Aldo De Rossi?,Un commercio librario,Uno scambio di libri
O TUTTO O NULLA ROMANZO,3,Cosa rivela Aldo De Rossi a Elena Vezzosi riguardo ai suoi sentimenti?,Di non amarla,Di essere innamorato di un'altra
,,,,
O TUTTO O NULLA ROMANZO,4,Qual è il cognome del primo Alcibiade menzionato nell'estratto?,Il suo cognome è Salviati,Si chiama Alcibiade Salviati
O TUTTO O NULLA ROMANZO,4,In quale città si svolge la maggior parte della vicenda narrata nel libro?,La storia è ambientata a Firenze,Si svolge principalmente nella città di Firenze
O TUTTO O NULLA ROMANZO,4,Come si chiama la padrona di casa che ospita la baronessa Margherita?,Il suo nome è Eleonora,Si chiama Eleonora Rossi
,,,,
O TUTTO O NULLA ROMANZO,5,Qual è l'altezza approssimativa di Camilla Rivanera?,Un metro e sessantadue,Circa 162 centimetri
O TUTTO O NULLA ROMANZO,5,Chi sono le donne che discutono di Camilla Rivanera?,La signora Vezzosi e la baronessa,Vezzosi e la baronessa
O TUTTO O NULLA ROMANZO,5,Cosa sa Anselmi riguardo agli ammiratori di Camilla Rivanera?,Conosce un uomo che ha fallito con lei,Sa di un corteggiatore che non ha avuto successo
,,,,
O TUTTO O NULLA ROMANZO,6,Chi sposa Aldo De Rossi?,Sposa Isabella,Si unisce in matrimonio con Isabella
O TUTTO O NULLA ROMANZO,6,Qual è il legame tra Donna Elena e Gerardo?,Sono fratelli,Sono sorella e fratello
O TUTTO O NULLA ROMANZO,6,Come si chiama la fanciulla che ama Aldo De Rossi?,Il suo nome è Isabella,Si chiama Isabella
,,,,
O TUTTO O NULLA ROMANZO,7,Qual è il legame tra Gerardo Vezzosi e la signora Vezzosi?,Sono marito e moglie,Sono sposati
O TUTTO O NULLA ROMANZO,7,Quale carica politica ambisce a ricoprire Gerardo Vezzosi?,Senatore,La carica di senatore
O TUTTO O NULLA ROMANZO,7,Quale carica politica ha ricoperto Gerardo Vezzosi in passato?,Deputato,La carica di deputato
,,,,
O TUTTO O NULLA ROMANZO,8,Chi è il protagonista principale del romanzo?,Aldo De Rossi,Il signor Aldo De Rossi
O TUTTO O NULLA ROMANZO,8,In quale città si svolge la maggior parte della vicenda?,A Firenze,Nella città di Firenze
O TUTTO O NULLA ROMANZO,8,Qual è il principale segreto di Aldo De Rossi?,Un amore proibito,Una relazione sentimentale segreta
,,,,
O TUTTO O NULLA ROMANZO,9,Chi sposa Camilla dopo la morte del banchiere Emilio?,Federico,"Il suo secondo marito, Federico"
O TUTTO O NULLA ROMANZO,9,Dove si ritira il presidente Roberti dopo aver lasciato la sua carica?,A Trieste,Nella sua villa a Trieste
O TUTTO O NULLA ROMANZO,9,Chi è l'uomo che rappresenta il 'secondo amore' di Camilla?,Mario,Il giovane Mario
,,,,
O TUTTO O NULLA ROMANZO,10,Chi è il poeta che amò madonna Laura?,Francesco Petrarca,Petrarca
O TUTTO O NULLA ROMANZO,10,Chi è l'autore de 'Gli amori del giovane Werther'?,Johann Wolfgang von Goethe,Goethe
O TUTTO O NULLA ROMANZO,10,Chi è l'autore delle 'Ultime lettere di Jacopo Ortis'?,Ugo Foscolo,Foscolo
,,,,
