Batch,Testo,Risposta1,Risposta2
1,Da dove proviene Tatiana Ruskaia?,Tatiana Ruskaia è originaria della Russia.,Il paese di origine di Tatiana Ruskaia è la Russia.
1,Qual è l'oggetto che Arrigo cerca con insistenza?,Arrigo cerca un antico medaglione di famiglia.,L'oggetto della ricerca di Arrigo è un medaglione antico appartenente alla sua famiglia.
1,Perché Loretta decide di lasciare la città?,Loretta lascia la città per sfuggire a un matrimonio combinato.,La sua partenza è motivata dal desiderio di evitare un matrimonio imposto.
1,Qual è il destino finale del giovane che corteggia Tatiana?,Il giovane sposa un'altra donna e si trasferisce all'estero.,Egli finisce per sposarsi con un'altra persona e si trasferisce fuori dal paese.
2,Qual è il sogno di lunga data di Rigo?,Rigo desidera ardentemente aprire una sua bottega di orologeria.,Il suo più grande desiderio è avviare un'attività propria come orologiaio.
2,Cosa spinge Marina a lasciare la sua città natale?,Marina decide di partire dopo aver scoperto il tradimento del suo fidanzato.,La scoperta dell'infedeltà del compagno la convince a lasciare la sua città.
2,Chi è il fratello minore di Giannotto Pigna?,Il fratello minore di Giannotto Pigna si chiama Marco.,Marco è il nome del fratello più giovane di Giannotto.
2,Dove si trasferisce Loretta dopo la morte del padre?,"Loretta si trasferisce in campagna, nella vecchia casa di famiglia.","Dopo la perdita del padre, Loretta va a vivere nella residenza di campagna dei suoi avi."
3,Qual è il principale desiderio di Arrigo all'inizio del romanzo?,Arrigo desidera riscattare la sua famiglia dalla povertà.,Il suo obiettivo primario è migliorare le condizioni economiche della sua famiglia.
3,Qual è il destino finale di Lazzara?,Lazzara si unisce a una comunità di contadini in un'altra regione.,"Alla fine, Lazzara lascia il villaggio per vivere con altri agricoltori."
3,Quale decisione importante prende Luisa riguardo al suo futuro?,Luisa decide di non sposarsi e dedicarsi all'educazione di Loretta.,Sceglie di rimanere nubile per prendersi cura dell'istruzione di sua sorella Loretta.
3,Qual è il significato della villa per la famiglia di Rigo?,La villa rappresenta un simbolo di speranza e un obiettivo di riscatto sociale per la famiglia di Rigo.,"Per i familiari di Rigo, la villa simboleggia l'aspirazione a una vita migliore e un futuro più dignitoso."
4,Qual è il motivo principale per cui il Dottor Rossi si trasferisce a Villa Serena?,Per studiare un raro fenomeno naturale che si manifesta lì,Per indagare su un particolare evento scientifico che accade nella villa
4,Chi è il misterioso benefattore che aiuta la famiglia Bianchi a saldare i debiti?,"La signora Emilia, una vecchia amica di famiglia","Emilia, una conoscente di lunga data dei Bianchi"
4,In quale città Marco e Laura si incontrano per la prima volta dopo anni?,"A Venezia, durante il Carnevale","Nella città di Venezia, in occasione del Carnevale"
4,Qual è il segreto che il nonno di Luca custodisce gelosamente nella soffitta?,Una mappa antica che conduce a un tesoro nascosto,Una vecchia mappa che indica la posizione di un tesoro
5,Qual è il destino finale della Marchesa di Versano?,La Marchesa di Versano muore alla fine del romanzo.,Il suo percorso si conclude con la morte.
