Book,ParagraphIndex,Question,AnswerA,AnswerB
L'AEROPLANO DEL PAPA ROMANZO PROFETICO IN VERSI LIBERI,1,Qual è la professione del personaggio che vola sopra la città?,È un aviatore,Un pilota d'aereo
L'AEROPLANO DEL PAPA ROMANZO PROFETICO IN VERSI LIBERI,1,Quale strumento permette al personaggio di volare?,Un motore,Un apparecchio a motore
L'AEROPLANO DEL PAPA ROMANZO PROFETICO IN VERSI LIBERI,1,A chi si riferisce il personaggio con l'espressione 'uccello coperto di sangue'?,A se stesso,Al narratore
,,,,
L'AEROPLANO DEL PAPA ROMANZO PROFETICO IN VERSI LIBERI,2,Qual è il mezzo di trasporto principale utilizzato dal narratore durante il suo viaggio?,Un aeroplano,Un velivolo aereo
L'AEROPLANO DEL PAPA ROMANZO PROFETICO IN VERSI LIBERI,2,"Qual è il principale obiettivo delle ""conquiste"" celebrate dal narratore?",L'espansione della potenza italiana,L'affermazione della grandezza dell'Italia
L'AEROPLANO DEL PAPA ROMANZO PROFETICO IN VERSI LIBERI,2,"Il ""cupo vento africano"" è un ostacolo puramente fisico o ha un significato simbolico per il narratore?",Ha un significato simbolico,Rappresenta una sfida ideologica
,,,,
L'AEROPLANO DEL PAPA ROMANZO PROFETICO IN VERSI LIBERI,3,A quale movimento letterario è associato l'autore di questo testo?,Al Futurismo,Al movimento futurista italiano
L'AEROPLANO DEL PAPA ROMANZO PROFETICO IN VERSI LIBERI,3,Quale elemento della modernità è esaltato con forza in questo estratto?,La macchina,La tecnologia e la velocità
L'AEROPLANO DEL PAPA ROMANZO PROFETICO IN VERSI LIBERI,3,Cosa rappresenta simbolicamente la 'scorza pietrificata della notte' che l'autore vuole superare?,Il passato e la tradizione,Le vecchie idee e le convenzioni
,,,,
L'AEROPLANO DEL PAPA ROMANZO PROFETICO IN VERSI LIBERI,4,Qual è la caratteristica principale del Monte Analogo?,È invisibile agli occhi,Non può essere percepito visivamente
