Book,ParagraphIndex,Question,AnswerA,AnswerB
Ahi_giacometta_la_tua_ghirlandella,1,Come si chiama la giovane donna al centro delle attenzioni per il matrimonio?,Giacometta Maldi,Giacometta
Ahi_giacometta_la_tua_ghirlandella,1,Di che colore sono gli occhi di Giacometta?,Celesti,Sono celesti
Ahi_giacometta_la_tua_ghirlandella,1,Qual è la reazione di Giacometta alle proposte di matrimonio?,Ride,Si mette a ridere
,,,,
Ahi_giacometta_la_tua_ghirlandella,2,A quale città è associata Giacometta?,Alla città dai tre campanili,Alla grugnita città con tre campanili
Ahi_giacometta_la_tua_ghirlandella,2,Che tipo di passato ha avuto Giacometta?,Un passato singolare,Un passato particolare
,,,,
Ahi_giacometta_la_tua_ghirlandella,3,Con chi si è fidanzato Francesco Balduino?,Con Giacometta Maldi,Con Giacometta
Ahi_giacometta_la_tua_ghirlandella,3,Qual è il legame di parentela tra Zio Pertica e Antonio?,Sono fratelli,Antonio è il fratello di Zio Pertica
Ahi_giacometta_la_tua_ghirlandella,3,Cosa chiede Giacometta a Francesco di non fare?,Di non raccontare a nessuno del loro fidanzamento,Di non farne parola con altri
,,,,
Ahi_giacometta_la_tua_ghirlandella,4,Dove è andata la signorina?,A Firenze,Nella città di Firenze
Ahi_giacometta_la_tua_ghirlandella,4,Con chi è partita la signorina?,Col signor Tomaso,In compagnia del signor Tomaso
Ahi_giacometta_la_tua_ghirlandella,4,Chi è Principina?,La figlia del giardiniere,La figlia del giardiniere della casa
,,,,
Ahi_giacometta_la_tua_ghirlandella,5,Che relazione lega Francesco alla signora Adalgisa?,È sua zia,La signora Adalgisa è la zia di Francesco
Ahi_giacometta_la_tua_ghirlandella,5,Cosa si è fatta fare la signora Adalgisa per cambiare aspetto?,Una veste nuova,Un vestito nuovo
Ahi_giacometta_la_tua_ghirlandella,5,Di che colore era la nuova veste della signora Adalgisa?,Giallo zafferano,Di colore zafferano
,,,,
Ahi_giacometta_la_tua_ghirlandella,6,Dove si trovava Giacometta?,Sull'erba in giardino,Sotto una grande ombra
,,,,
Ahi_giacometta_la_tua_ghirlandella,7,Cosa sapeva Lorenzo della famiglia Maldi?,La storia della famiglia,La storia centenaria dei Maldi
Ahi_giacometta_la_tua_ghirlandella,7,Dove andò Paquita quando si ammalò?,A Madera,Nell'isola di Madera
,,,,
Ahi_giacometta_la_tua_ghirlandella,8,Chi è Girolamo?,Il giardiniere,Il vecchio giardiniere
Ahi_giacometta_la_tua_ghirlandella,8,Cosa compone Giacometta?,Una ghirlanda di gelsomino,Una ghirlandella bianca
Ahi_giacometta_la_tua_ghirlandella,8,Chi è Tatiana per Giacometta?,La sua antenata,La sua selvaggia antenata
,,,,
Ahi_giacometta_la_tua_ghirlandella,9,Chi è il nipote di donna Adalgisa?,Francesco,Il giovane Francesco
Ahi_giacometta_la_tua_ghirlandella,9,Dove si reca donna Adalgisa?,A casa Maldi,Nella dimora dei Maldi
