Book,ParagraphIndex,Question,AnswerA,AnswerB
IL MONDO È ROTONDO ROMANZO,1,"Come si chiama il ""grosso cittadino del sud"" con cui Beatus Renatus ha avuto un confronto?",Donato Esposito,Il signor Esposito
IL MONDO È ROTONDO ROMANZO,1,Quale conflitto bellico ha segnato profondamente Beatus Renatus?,La Seconda Guerra Mondiale,Il secondo conflitto mondiale
IL MONDO È ROTONDO ROMANZO,1,Qual è il nome del ministro che ha incaricato Beatus Renatus?,Giuseppe De Santis,Il Ministro De Santis
,,,,
IL MONDO È ROTONDO ROMANZO,2,Qual è la professione di Beatus Renatus?,È un Regio Ispettore,Svolge il ruolo di Ispettore Reale
IL MONDO È ROTONDO ROMANZO,2,Che professione svolge la giovane donna che incontra Beatus Renatus?,È una professoressa di italiano,Insegna la lingua italiana
IL MONDO È ROTONDO ROMANZO,2,Come descrivono le autorità del luogo la giovane professoressa di italiano?,La considerano onesta ma un po' vistosa,La giudicano per i suoi modi e il suo abbigliamento
,,,,
IL MONDO È ROTONDO ROMANZO,3,Come si chiama la signorina che discute con Beatus?,Si chiama Anna,Il suo nome è Anna
IL MONDO È ROTONDO ROMANZO,3,Qual è la professione di Beatus?,È uno scrittore,Svolge la professione di scrittore
IL MONDO È ROTONDO ROMANZO,3,In quale città si svolge la vicenda principale del libro?,A Firenze,Nella città di Firenze
,,,,
IL MONDO È ROTONDO ROMANZO,4,Qual è il principale rimpianto di Pasquà?,La mancanza d'amore,L'assenza di amore nella sua vita
IL MONDO È ROTONDO ROMANZO,4,Quale figura filosofica viene menzionata da Beatus in relazione a Pasquà?,Erasmo da Rotterdam,Il filosofo Erasmo da Rotterdam
IL MONDO È ROTONDO ROMANZO,4,"A cosa aspira la giovane professoressa, secondo Beatus?",All'amore,Alla gloria dell'amore
,,,,
IL MONDO È ROTONDO ROMANZO,5,Qual è la natura dell'abitazione in cui Pasquà lavora e Beatus risiede?,È una pensione,È un albergo
IL MONDO È ROTONDO ROMANZO,5,Qual è la posizione di Pasquà all'interno dell'abitazione?,È il gestore,È il responsabile della casa
