Book,ParagraphIndex,Question,AnswerA,AnswerB
LA VITA COMINCIA DOMANI ROMANZO,1,Qual è il legame di parentela tra Stefano e Giorgio?,Giorgio è il genero di Stefano,Giorgio è il marito della figlia di Stefano
LA VITA COMINCIA DOMANI ROMANZO,1,Qual è l'oggetto del disaccordo principale tra Stefano e Giannozzo?,Il disaccordo riguarda un contratto di gestione,La contesa verte su accordi relativi alla cascina
LA VITA COMINCIA DOMANI ROMANZO,1,Qual è il legame di parentela tra Maria Dora e Stefano?,Maria Dora è la figlia di Stefano,È la giovane figlia di Stefano
,,,,
LA VITA COMINCIA DOMANI ROMANZO,2,Qual è la natura della condizione di Marcuccio?,È un idiota,È un personaggio con disabilità intellettiva
LA VITA COMINCIA DOMANI ROMANZO,2,I manoscritti di Marcuccio vengono pubblicati dal professore Andrea Ferento?,"Sì, vengono pubblicati",Vengono dati alle stampe dal professore
LA VITA COMINCIA DOMANI ROMANZO,2,Qual è il ruolo di Maria Dora nei confronti di Marcuccio?,È la sua custode,Si prende cura di lui
,,,,
LA VITA COMINCIA DOMANI ROMANZO,3,Marcuccio riesce a pubblicare la sua teoria sull'equilibrio?,"Sì, la pubblica.","Sì, riesce a pubblicarla."
LA VITA COMINCIA DOMANI ROMANZO,3,Maria Dora realizza il suo sogno di diventare cantante?,"Sì, lo realizza.","Sì, diventa una cantante."
LA VITA COMINCIA DOMANI ROMANZO,3,Il sentimento di Marcuccio per Berta viene ricambiato?,"No, non viene ricambiato.","No, Berta non ricambia il suo amore."
,,,,
LA VITA COMINCIA DOMANI ROMANZO,4,Chi è Andrea per la moglie di Giorgio?,L'amante della moglie di Giorgio,Il suo amante
LA VITA COMINCIA DOMANI ROMANZO,4,Qual è il destino finale di Giorgio?,Muore a causa della sua malattia,Soccombe alla sua infermità
LA VITA COMINCIA DOMANI ROMANZO,4,L'amicizia tra Giorgio e il medico resiste alle avversità della vita?,"Sì, la loro amicizia rimane salda",Il loro legame fraterno perdura
,,,,
LA VITA COMINCIA DOMANI ROMANZO,5,Come si chiama la moglie di Giorgio?,Si chiama Laura,Il suo nome è Laura
LA VITA COMINCIA DOMANI ROMANZO,5,Qual è il segreto che la moglie di Giorgio nasconde?,Ha un amante segreto,La donna ha una relazione extraconiugale
LA VITA COMINCIA DOMANI ROMANZO,5,Giorgio scopre la verità sulla moglie?,"Sì, Giorgio scopre la verità",Viene a conoscenza del segreto della moglie
,,,,
LA VITA COMINCIA DOMANI ROMANZO,6,Noemi ha avuto una relazione con Andrea?,"Sì, Noemi e Andrea si sono amati.","Sì, tra Noemi e Andrea c'è stata una relazione."
LA VITA COMINCIA DOMANI ROMANZO,6,Qual è il destino finale di Efix?,Efix muore.,Il servo Efix spira alla fine del romanzo.
LA VITA COMINCIA DOMANI ROMANZO,6,Andrea ritorna al paese?,"Sì, Andrea fa ritorno al suo paese.","Sì, il giovane Andrea torna a casa."
,,,,
LA VITA COMINCIA DOMANI ROMANZO,7,Perché Berta se ne va?,Per sposarsi,Per contrarre matrimonio
LA VITA COMINCIA DOMANI ROMANZO,7,Qual è il rapporto tra Stefano e la ragazza?,Sono padre e figlia,Stefano è il padre della ragazza
LA VITA COMINCIA DOMANI ROMANZO,7,Come si chiama la figlia del padrone?,Si chiama Marianna,Il suo nome è Marianna
,,,,
LA VITA COMINCIA DOMANI ROMANZO,8,Chi è la donna con cui il signor Giorgio si trova nel giardino?,È Elena,"Si tratta di Elena, la sua amante"
LA VITA COMINCIA DOMANI ROMANZO,8,Quale malattia colpisce il signor Giorgio?,La polmonite,Una grave forma di polmonite
LA VITA COMINCIA DOMANI ROMANZO,8,Qual è la posizione di Natalissa all'interno della famiglia del signor Giorgio?,È una giovane domestica,Svolge il ruolo di serva
,,,,
LA VITA COMINCIA DOMANI ROMANZO,9,Come si chiama il marito della protagonista?,Walter,Il suo nome è Walter
LA VITA COMINCIA DOMANI ROMANZO,9,Qual è il ruolo di Andrea nella vita della protagonista?,È il suo amante,È l'uomo di cui si innamora
LA VITA COMINCIA DOMANI ROMANZO,9,Quale scelta fondamentale compie la protagonista alla fine del romanzo?,Abbandona il marito e il figlio,Decide di lasciare la sua famiglia
,,,,
LA VITA COMINCIA DOMANI ROMANZO,10,Quale sarà il destino finale di Andrea e Novella?,Si uniranno in matrimonio.,Convoleranno a nozze.
LA VITA COMINCIA DOMANI ROMANZO,10,Quale sarà la sorte di Marcuccio dopo le sue rivelazioni?,Verrà allontanato dalla comunità.,Sarà esiliato dal villaggio.
LA VITA COMINCIA DOMANI ROMANZO,10,Quale sarà la principale conseguenza delle accuse di Marcuccio?,Provoceranno un grande scandalo.,Cagioneranno un tumulto nella comunità.
,,,,
LA VITA COMINCIA DOMANI ROMANZO,11,Qual è la malattia che affligge Andrea?,Una grave forma di tubercolosi,La tubercolosi
LA VITA COMINCIA DOMANI ROMANZO,11,Qual era il legame principale tra Giorgio e Andrea prima del loro allontanamento?,Erano fratelli,Un legame di fratellanza
LA VITA COMINCIA DOMANI ROMANZO,11,Quale evento ha causato la rottura del rapporto tra Giorgio e Andrea?,Il tradimento di Giorgio,Un atto di tradimento compiuto da Giorgio
,,,,
LA VITA COMINCIA DOMANI ROMANZO,12,Andrea accetta di dare la morte a Giorgio?,"Sì, Andrea acconsente",Andrea esaudisce la richiesta di Giorgio
LA VITA COMINCIA DOMANI ROMANZO,12,Qual è il motivo principale per cui Giorgio chiede ad Andrea di dargli la morte?,Per liberarsi da una vita di sofferenza,Per sfuggire a una condizione insopportabile
LA VITA COMINCIA DOMANI ROMANZO,12,"Andrea, dopo l'incontro con Giorgio, continua la sua professione di medico?","No, Andrea abbandona la medicina",Andrea rinuncia alla sua carriera di medico
,,,,
LA VITA COMINCIA DOMANI ROMANZO,13,Qual è il legame tra Novella e il protagonista?,È la sua amata,È la donna che il protagonista ama
LA VITA COMINCIA DOMANI ROMANZO,13,Qual è l'esito della malattia del protagonista?,Il protagonista muore,Il protagonista non sopravvive
LA VITA COMINCIA DOMANI ROMANZO,13,Come si chiama il medico che assiste il protagonista?,Si chiama Dottor Bianchi,Il suo nome è Dottor Bianchi
,,,,
LA VITA COMINCIA DOMANI ROMANZO,14,Come si chiama l'uomo che sistema il cadavere?,Si chiama Mattia Pascal,Il suo nome è Mattia Pascal
LA VITA COMINCIA DOMANI ROMANZO,14,Qual è lo scopo di Mattia Pascal nel sistemare il cadavere?,Vuole far credere di essere morto,Intende simulare la propria morte
LA VITA COMINCIA DOMANI ROMANZO,14,Chi viene identificato come il defunto dopo la scoperta del cadavere?,Viene identificato come Mattia Pascal,La gente crede che sia Mattia Pascal
,,,,
LA VITA COMINCIA DOMANI ROMANZO,15,Chi è la persona uccisa dall'uomo?,È [Nome o ruolo del personaggio],La vittima è [Nome o ruolo del personaggio]
