Book,ParagraphIndex,Question,AnswerA,AnswerB
TEMPESTA E BONACCIA ROMANZO SENZA EROI,1,Il narratore e la donna amata rimangono insieme alla fine del libro?,"No, si separano",La loro relazione termina
TEMPESTA E BONACCIA ROMANZO SENZA EROI,1,Qual è la sorte finale di Ernesto?,Ernesto muore,Ernesto perde la vita
TEMPESTA E BONACCIA ROMANZO SENZA EROI,1,Il tradimento del narratore verso Ernesto viene scoperto?,"Sì, il suo inganno è rivelato",La sua infedeltà viene scoperta
,,,,
TEMPESTA E BONACCIA ROMANZO SENZA EROI,2,Qual è la causa della tristezza della marchesa Vittoria Prandi?,È afflitta da una malattia incurabile,Soffre di una grave infermità
TEMPESTA E BONACCIA ROMANZO SENZA EROI,2,Fulvia riesce ad affermarsi come artista?,"Sì, ottiene un notevole successo",Diventa un'artista riconosciuta e apprezzata
TEMPESTA E BONACCIA ROMANZO SENZA EROI,2,Giorgio Albani e Fulvia si fidanzano?,"Sì, intraprendono una relazione sentimentale",Sviluppano un legame amoroso
,,,,
TEMPESTA E BONACCIA ROMANZO SENZA EROI,3,Quali circostanze impediscono a Fulvia un amore più completo?,La sua condizione di salute precaria,Una grave malattia
TEMPESTA E BONACCIA ROMANZO SENZA EROI,3,Qual è l'esito della relazione tra Fulvia e l'amico del narratore?,Si sposano,Convolano a nozze
TEMPESTA E BONACCIA ROMANZO SENZA EROI,3,Come si chiama l'amico del narratore che ama Fulvia?,Si chiama Andrea,Il suo nome è Andrea
,,,,
TEMPESTA E BONACCIA ROMANZO SENZA EROI,4,Qual è la sorte finale di Vittoria?,Vittoria si ritira in solitudine.,Vittoria vive una vita appartata.
TEMPESTA E BONACCIA ROMANZO SENZA EROI,4,Il narratore e Fulvia si uniscono in matrimonio?,"Sì, si sposano.",Convolano a nozze.
TEMPESTA E BONACCIA ROMANZO SENZA EROI,4,Qual è il legame tra Fulvia e Giorgio?,Giorgio è un amico di Fulvia.,Fulvia e Giorgio sono amici.
,,,,
TEMPESTA E BONACCIA ROMANZO SENZA EROI,5,La relazione tra Fulvia e Massimo Guiscardi culmina nel matrimonio?,"Sì, si sposano.",Convolano a nozze.
TEMPESTA E BONACCIA ROMANZO SENZA EROI,5,Qual è la professione di Massimo Guiscardi?,È uno scrittore.,Svolge l'attività di scrittore.
TEMPESTA E BONACCIA ROMANZO SENZA EROI,5,Fulvia ha fratelli o sorelle?,"Sì, ha una sorella.",Possiede una sorella.
,,,,
TEMPESTA E BONACCIA ROMANZO SENZA EROI,6,Come si chiama il protagonista del romanzo?,Marco Valeri,Si chiama Marco Valeri
TEMPESTA E BONACCIA ROMANZO SENZA EROI,6,Come si conclude la relazione tra Fulvia e il narratore?,Si separano definitivamente,La loro relazione termina con una rottura
TEMPESTA E BONACCIA ROMANZO SENZA EROI,6,In quale città si svolge la maggior parte della vicenda?,A Roma,Nella capitale Roma
,,,,
