Batch,Testo,Risposta1,Risposta2
1,Cosa cerca Betta dopo la morte di Lelio?,Betta cerca vendetta per l'omicidio di Lelio.,Il suo obiettivo principale è vendicare la morte di Lelio.
1,Dove si incontrano per la prima volta Paride e Lattanzio?,Si incontrano nella taverna del Drago Rosso.,Il loro primo incontro avviene alla locanda chiamata Drago Rosso.
1,Qual è il vero scopo dello scudo ricevuto dai servi?,Lo scudo nasconde una mappa segreta.,Contiene una mappa che indica un tesoro nascosto.
1,Chi aiuta Lattanzio a fuggire dall'esilio?,È aiutato da un gruppo di mercenari fedeli.,Un manipolo di mercenari leali lo assiste nella fuga.
2,Qual era il ruolo di Don Anselmo nella congiura contro il Duca?,Don Anselmo era il capo segreto della congiura.,Il sacerdote Don Anselmo guidava la ribellione contro il Duca.
2,Perché Isabella fuggì dal convento di Santa Chiara?,Isabella scappò per evitare un matrimonio combinato con il Conte Orsini.,La sua fuga dal convento era motivata dal rifiuto di sposare il Conte Orsini.
2,Chi ereditò le terre della famiglia Visconti dopo la morte del Barone?,"Le proprietà dei Visconti passarono a Marco, il nipote del Barone.","Marco, il nipote del defunto Barone, divenne il nuovo proprietario delle terre."
2,Qual era il significato del medaglione che Giulia portava sempre al collo?,"Il medaglione conteneva un ritratto del suo amato, il Capitano Lorenzo.","Era un ricordo del Capitano Lorenzo, con la sua effigie all'interno."
3,Quale evento spinge Lelio a lasciare la città?,Lelio fugge dopo aver commesso un duello illegale.,La sua partenza è dovuta alle conseguenze di un duello proibito.
3,Chi è il principale antagonista di Lattanzio?,Il Marchese Bellarmino è il suo principale avversario.,L'oppositore maggiore di Lattanzio è il Marchese Bellarmino.
3,Qual è il significato del medaglione che Fulvia porta sempre con sé?,Il medaglione contiene un ritratto di sua madre defunta.,"È un ricordo prezioso di sua madre, raffigurata al suo interno."
3,Dove si svolge la scena finale del romanzo?,La scena conclusiva ha luogo nella villa di campagna di Lattanzio.,Il romanzo si conclude nella residenza di campagna di Lattanzio.
4,Chi è il narratore della storia?,È Paride stesso.,La storia è raccontata da Paride.
4,Qual è il destino finale di Lattanzio?,Lattanzio muore.,Lattanzio perde la vita.
4,Qual è il ruolo di Betta nella vicenda di Fulvia e Paride?,Betta è una complice di Fulvia.,Betta aiuta Fulvia nei suoi piani.
4,Qual è il principale desiderio di Fulvia Piccolomini?,Fulvia desidera la ricchezza e la posizione sociale.,Il suo scopo è ottenere agiatezza e prestigio.
5,Qual è il ruolo di Padre Anselmo nella fuga di Caterina?,Padre Anselmo aiuta Caterina a nascondersi e a lasciare la città.,Il frate Anselmo facilita la partenza di Caterina e le offre rifugio.
5,Qual è il segreto nascosto nel testamento del Conte Ugolino?,Il testamento rivela l'esistenza di un erede illegittimo del Conte.,Nel documento è svelata la presenza di un figlio non riconosciuto dal Conte Ugolino.
5,Qual è il vero obiettivo di Don Pietro nel suo conflitto con il Vescovo?,Don Pietro mira a ottenere il controllo delle terre del monastero locale.,Il suo scopo è acquisire la proprietà dei beni ecclesiastici gestiti dal Vescovo.
5,Come cambia la città di Valleverde dopo l'epidemia?,Valleverde diventa un luogo desolato e quasi abbandonato a causa delle perdite.,La città si trasforma in un borgo spopolato e in rovina dopo la malattia.
6,Qual è il legame di parentela tra Pisana e Carlo Altoviti?,Pisana è la cugina di Carlo Altoviti.,Carlo Altoviti e Pisana sono cugini.
