Book,ParagraphIndex,Question,AnswerA,AnswerB
MIA ROMANZO,1,Il Principe si risposa?,No,Non si risposa
MIA ROMANZO,1,Qual è il nome completo della figlia del Principe?,Camilla,"Camilla, detta Milla"
MIA ROMANZO,1,Che tipo di carabina usa il Principe per l'esercizio di tiro?,Una carabina Flaubert,La carabina Flaubert
,,,,
MIA ROMANZO,2,Quale sarà il ruolo di Milla nella tenuta del Principe?,Diventerà la padrona della tenuta,Erediterà la proprietà del Principe
MIA ROMANZO,2,In quale evento cruciale sono coinvolti i Diavoli d'Astianello?,Sono coinvolti in una corsa di cavalli decisiva,Partecipano a una competizione equestre fondamentale
MIA ROMANZO,2,Qual è la principale preoccupazione del Signor Principe?,La prosperità della sua tenuta,Il mantenimento del benessere della sua proprietà
,,,,
MIA ROMANZO,3,Qual è il ruolo di Drollino nel libro?,Il protagonista,Il personaggio principale
MIA ROMANZO,3,Come si chiama la puledra di Rowena?,Furia,La puledra Furia
MIA ROMANZO,3,Chi sono le persone che Drollino vede avvicinarsi alla villa?,I ladri,I malviventi
,,,,
MIA ROMANZO,4,Chi è l'educanda proprietaria della villa rimasta chiusa per otto anni?,È [Nome del personaggio],Si tratta di [Nome del personaggio]
MIA ROMANZO,4,"Milla, dopo essersi innamorata della superiora, diventa monaca?","Sì, prende i voti","Sì, si fa monaca"
MIA ROMANZO,4,Cosa attende il Duca Giuliano nell'andito-serra?,Attende [Nome del personaggio],Aspetta l'arrivo di [Nome del personaggio]
,,,,
MIA ROMANZO,5,Qual è la ricerca principale del Duca?,Trovare una sposa giovane e ricca,Cercare una moglie con molti denari e facilmente plasmabile
MIA ROMANZO,5,Che tipo di donna cerca il Duca per sposare?,Una ragazza molto giovane e ricca,Una sposa che possa plasmare a suo piacimento e con molti denari
MIA ROMANZO,5,Qual è la motivazione principale del Duca nella scelta della sposa?,Avere il dominio completo sulla moglie,Ottenere il controllo assoluto sulla sua compagna
,,,,
MIA ROMANZO,6,Come si chiama la donna che la Duchessa vuole far sposare a Giuliano?,Si chiama Isabella,Il suo nome è Isabella
MIA ROMANZO,6,Giuliano sposa la donna che sua madre gli propone?,"No, non la sposa",Non accetta di sposarla
MIA ROMANZO,6,Qual è uno dei principali vantaggi materiali che la Duchessa vede nel matrimonio di Giuliano?,Il capitale e la tenuta in Lombardia,L'eredità e i beni in Lombardia
,,,,
MIA ROMANZO,7,Qual è il nome della protagonista del romanzo?,Maria,Si chiama Maria
MIA ROMANZO,7,Chi è il Duca Lantieri?,È il figlio della Duchessa,Il figlio della Duchessa
MIA ROMANZO,7,La protagonista sposa il Duca Lantieri?,"No, non lo sposa",Non si unisce in matrimonio con il Duca Lantieri
,,,,
