Book,ParagraphIndex,Question,AnswerA,AnswerB
L'ALCÒVA D'ACCIAIO ROMANZO VISSUTO,1,Quale città lombarda è menzionata nell'estratto?,Milano,La città di Milano
L'ALCÒVA D'ACCIAIO ROMANZO VISSUTO,1,Quale 'offensiva' più pericolosa subivano i combattenti italiani?,L'offensiva dei Ricordi Amorosi,Quella dei Ricordi Amorosi
,,,,
L'ALCÒVA D'ACCIAIO ROMANZO VISSUTO,2,Come si chiama il celebre futurista?,Marinetti,Il futurista Marinetti
L'ALCÒVA D'ACCIAIO ROMANZO VISSUTO,2,Di che città è originaria Maria?,Milano,Della città di Milano
L'ALCÒVA D'ACCIAIO ROMANZO VISSUTO,2,Cosa ha ideato Marinetti parlando con Squilloni?,L'architettura del suo nuovo libro,Il progetto del suo prossimo libro
,,,,
L'ALCÒVA D'ACCIAIO ROMANZO VISSUTO,3,"Quale oggetto Buco chiama ""la sua dama""?",La mitragliatrice,La sua mitragliatrice
L'ALCÒVA D'ACCIAIO ROMANZO VISSUTO,3,Chi sono gli avversari di Buco e del suo gruppo?,Gli austriaci,Gli assalitori austriaci
L'ALCÒVA D'ACCIAIO ROMANZO VISSUTO,3,Chi odia la dama di Buco?,La Dama al Balcone,L'altra mitragliatrice chiamata Dama al Balcone
,,,,
L'ALCÒVA D'ACCIAIO ROMANZO VISSUTO,4,Dove si trovava il Duca D’Aosta quando gli austriaci irruppero?,A Fogliano,Nel luogo di Fogliano
L'ALCÒVA D'ACCIAIO ROMANZO VISSUTO,4,Quale comando supremo si desidera per Caviglia?,Il comando della prossima battaglia finale,Il comando supremo della battaglia finale
L'ALCÒVA D'ACCIAIO ROMANZO VISSUTO,4,Da dove tornano i bersaglieri incontrati a Schio?,Dal Piave,Dalla zona del Piave
,,,,
L'ALCÒVA D'ACCIAIO ROMANZO VISSUTO,5,Come descrive Rosina suo marito?,Un vizioso parassita,Un parassita amico delle prostitute
L'ALCÒVA D'ACCIAIO ROMANZO VISSUTO,5,Dove ha sempre vissuto Zazà?,In mezzo ai soldati,Con i soldati
L'ALCÒVA D'ACCIAIO ROMANZO VISSUTO,5,Quale luogo è menzionato in relazione alla maledizione della luna il 27 ottobre?,Il Carso,Sul Carso
,,,,
L'ALCÒVA D'ACCIAIO ROMANZO VISSUTO,6,Che tipo di navi sono presenti nel mare?,Navi camuffate,Navi-quadri-futuristi
L'ALCÒVA D'ACCIAIO ROMANZO VISSUTO,6,Quale contesto di conflitto è menzionato nel testo?,Il fronte,La guerra
L'ALCÒVA D'ACCIAIO ROMANZO VISSUTO,6,Cosa si posa sulla calvizie del sole?,Due idrovolanti,Degli idrovolanti
,,,,
L'ALCÒVA D'ACCIAIO ROMANZO VISSUTO,7,Quale città era in silenzio prima dell'arrivo della ganga?,Rapallo,La città di Rapallo
L'ALCÒVA D'ACCIAIO ROMANZO VISSUTO,7,Quale parte del corpo ha perso il capitano alpino?,La gamba e la coscia destra,La gamba destra e la coscia destra
L'ALCÒVA D'ACCIAIO ROMANZO VISSUTO,7,Per chi prova un capriccio l'amica bionda?,Per il capitano alpino,Per l'amico capitano alpino
,,,,
L'ALCÒVA D'ACCIAIO ROMANZO VISSUTO,8,In nome di chi parla Flavia Steno?,Delle signore genovesi,Delle donne di Genova
L'ALCÒVA D'ACCIAIO ROMANZO VISSUTO,8,Qual è il sentimento dei nuovi Italiani verso il Deposito?,Lo disprezzano,Lo odiano profondamente
L'ALCÒVA D'ACCIAIO ROMANZO VISSUTO,8,Quale destino è riservato all'ottava squadriglia?,Un destino glorioso,Un alto e glorioso destino
,,,,
L'ALCÒVA D'ACCIAIO ROMANZO VISSUTO,9,Perché il Capitano Raby si reca a Padova?,Per visitare un compagno morente,Per vedere un ufficiale malato in ospedale
