Book,ParagraphIndex,Question,AnswerA,AnswerB
Le_amanti,1,Come si chiama la signora che riceve la lettera?,Donna Grazia,Grazia
Le_amanti,1,L'uomo che scrive la lettera a donna Grazia è sposato?,"Sì, è sposato",Ha una moglie
Le_amanti,1,Dove si sono incontrati donna Grazia e l'uomo?,"In via Angelica, fuori Roma","Lungo il Tevere, in via Angelica"
,,,,
Le_amanti,2,Dove decidono di incontrarsi Grazia e Ferrante?,A Venezia,Nella città di Venezia
Le_amanti,2,Cosa sta preparando donna Grazia per il viaggio?,I suoi bauli e valigie,Tutto ciò che ha di prezioso
Le_amanti,2,In quale città si trova Ferrante?,A Roma,Nella città di Roma
,,,,
Le_amanti,3,Come si chiamano i due personaggi principali?,Ferrante e Grazia,Grazia e Ferrante
Le_amanti,3,Perché Ferrante era così turbato?,Credeva che Grazia non sarebbe venuta,Pensava che Grazia non sarebbe arrivata
Le_amanti,3,Dove decidono di andare Ferrante e Grazia?,In un albergo,All'hotel Continentale
,,,,
Le_amanti,4,Dove si trova l'appartamento di Grazia e Ferrante?,In un palazzo sul Canal Grande,Dirimpetto alla chiesa di San Giorgio
Le_amanti,4,Di che colore si veste Grazia quando esce?,Di nero,Tutta di nero
Le_amanti,4,Cosa chiede il barcaiuolo a Ferrante e Grazia?,Se deve togliere il felze,Se rimuovere il felze
,,,,
Le_amanti,5,Dove chiede Grazia al suo amato se sia già stato?,A Venezia,Nella città di Venezia
Le_amanti,5,Quale tipo di gondola vedono Grazia e l'uomo per prima?,La gondola del carcere,Una gondola che trasporta prigionieri
Le_amanti,5,Che tipo di barca è la 'tetra barca della laguna' che Grazia e l'uomo incontrano?,Una gondola funebre,Una barca usata per i funerali
,,,,
Le_amanti,6,Come arrivano Grazia e Ferrante all'isola del Lido?,In vaporetto,Con il vaporetto
Le_amanti,6,Cosa aveva intuito Giorgio riguardo a Grazia e Ferrante?,La loro passione,Il loro amore segreto
Le_amanti,6,Quale sentimento prova Giorgio quando torna a Venezia?,Tristezza,Un senso di tristezza
,,,,
Le_amanti,7,Chi ha fatto incontrare Clara e Giovanni Serra?,Anna,La signora Anna
Le_amanti,7,Qual è il nome completo di Clara?,Clara Lieti,Donna Clara Lieti
Le_amanti,7,Dove si trovano Clara e Giovanni Serra?,Nel salone,In un salone
,,,,
Le_amanti,8,Come si chiama l'uomo che ha avuto un incontro deludente con la sua antica vittima?,Giovanni Serra,Serra
Le_amanti,8,In quale via si trova la casa di colei che ha incontrato Giovanni Serra?,In via Babuino,Nella via Babuino
Le_amanti,8,Dove è avvenuto l'incontro tra Giovanni Serra e la sua antica vittima?,Da Anna,A casa di Anna
,,,,
Le_amanti,9,"Cosa fece Clara dieci anni prima, in presenza dell'uomo?",Amò un altro uomo e glielo disse ridendo,"Confessò all'uomo di amare un altro, ridendo"
Le_amanti,9,Per quale motivo Clara è addolorata nel presente?,È stata lasciata da un altro uomo,Un altro uomo l'ha abbandonata
Le_amanti,9,Cosa comprende Clara riguardo ai sentimenti dell'uomo per lei?,Che lui le aveva offerto amore e devozione completa,Che lui provava per lei un amore e una dedizione totali
,,,,
Le_amanti,10,Qual era la natura del rapporto passato tra Clara e Giovanni?,Erano stati innamorati,Avevano avuto una relazione d'amore tormentata
Le_amanti,10,A quale tipo di evento stanno partecipando Clara e Giovanni?,Ad un'opera,Ad uno spettacolo musicale
