Book,ParagraphIndex,Question,AnswerA,AnswerB
LA SIGNORINA ROMANZO,1,Di che nazionalità è il padre di Stefania d'Eichelbourg?,Tedesca,Di nazionalità tedesca
LA SIGNORINA ROMANZO,1,Qual è il sentimento di Roero verso Stefania d'Eichelbourg?,È innamorato,Prova amore per lei
LA SIGNORINA ROMANZO,1,Quale caratteristica fisica insolita distingue il volto di Stefania d'Eichelbourg?,I piccoli baffettini,La presenza di baffettini dorati
,,,,
LA SIGNORINA ROMANZO,2,Che cos'è l'«Arianna» di Francesco?,È una commedia,È un'opera teatrale
LA SIGNORINA ROMANZO,2,Qual è il ruolo di Stefania per la commedia 'Arianna'?,È la musa ispiratrice di Francesco,È l'ispirazione per la sua opera
LA SIGNORINA ROMANZO,2,Qual è il significato della frase 'Favretto è la verità e Segantini la poesia'?,Esprime la visione artistica di Francesco,Rappresenta la sua filosofia sull'arte
,,,,
LA SIGNORINA ROMANZO,3,"Chi è il personaggio soprannominato ""Nespola"" nel libro?",È un influente giornalista politico.,Un noto pubblicista e opinionista.
LA SIGNORINA ROMANZO,3,Qual è il nome completo della baronessa Arcolei?,Si chiama Isabella Arcolei.,Il suo nome è Isabella Arcolei.
LA SIGNORINA ROMANZO,3,Qual è l'orientamento politico finale di Francesco nel corso del romanzo?,Si schiera definitivamente con i liberali.,Abbandona le posizioni repubblicane per quelle liberali.
,,,,
LA SIGNORINA ROMANZO,4,Qual è la natura dello scontro che vede protagonista il Roero?,Un duello d'onore,Un combattimento formale per l'onore
LA SIGNORINA ROMANZO,4,Chi è l'avversario del Roero nel duello?,Il signor De Rossi,Il marchese De Rossi
LA SIGNORINA ROMANZO,4,Qual è la causa principale del duello che coinvolge il Roero?,Un'offesa all'onore,Una questione di reputazione
,,,,
LA SIGNORINA ROMANZO,5,Francesco Roero e Stefania si sposano?,"No, non si sposano",La loro relazione non culmina nel matrimonio
LA SIGNORINA ROMANZO,5,Arcolei è stata un'amante di Francesco Roero?,"Sì, è stata una sua amante",Hanno avuto una relazione sentimentale
LA SIGNORINA ROMANZO,5,Stefania ha ricevuto un'educazione rigorosa che ne condiziona il comportamento?,"Sì, la sua educazione è molto rigida",Il suo carattere è plasmato da una formazione severa
,,,,
LA SIGNORINA ROMANZO,6,Come si chiama il giovane morto nel duello menzionato dal locandiere?,Corrado,Il giovane Corrado
LA SIGNORINA ROMANZO,6,Qual è il motivo principale del duello che porta alla morte di Corrado?,Una questione d'onore,Un affronto all'onore
LA SIGNORINA ROMANZO,6,Chi è l'avversario di Corrado nel duello fatale?,Stefano,Il signor Stefano
,,,,
LA SIGNORINA ROMANZO,7,Come muore Savoldi?,Viene ucciso,Muore assassinato
LA SIGNORINA ROMANZO,7,Per quale motivo Roero visita Carlotta Canzi?,Per discutere l'eredità di Savoldi,Per trattare questioni legate al patrimonio di Savoldi
LA SIGNORINA ROMANZO,7,Qual era la natura del rapporto tra Carlotta Canzi e Savoldi?,Un rapporto di forte inimicizia,Una relazione conflittuale e burrascosa
,,,,
LA SIGNORINA ROMANZO,8,Chi è il padre di Titi?,Il signor Giovanni,Giovanni Rossi
LA SIGNORINA ROMANZO,8,Qual è il rapporto tra il Roero e Titi?,È il suo tutore,Il Roero è il tutore legale di Titi
