Book,ParagraphIndex,Question,AnswerA,AnswerB
GLI UOMINI ROSSI ROMANZO,1,Riuscirono Europa e Manso Liturgico a fuggire insieme?,"Sì, la loro fuga ebbe successo.","Sì, riuscirono a scappare."
GLI UOMINI ROSSI ROMANZO,1,Per quale motivo Europa e Manso Liturgico non potevano sposarsi legalmente?,A causa delle differenze politiche tra le loro famiglie.,Per l'opposizione delle loro famiglie dovuta alle diverse ideologie politiche.
GLI UOMINI ROSSI ROMANZO,1,Divina accompagnò Europa e Manso Liturgico nella loro fuga?,"Sì, la camerista Divina li seguì.","Sì, Divina partì con loro."
,,,,
GLI UOMINI ROSSI ROMANZO,2,Qual è il nome completo di Didino?,Didino Rossi,Il suo nome completo è Didino Rossi
GLI UOMINI ROSSI ROMANZO,2,Qual è la professione di Fedele Barbigi?,È un avvocato,Svolge la professione di avvocato
GLI UOMINI ROSSI ROMANZO,2,In quale città si svolge la maggior parte della vicenda?,A Valchiara,Nella città di Valchiara
,,,,
GLI UOMINI ROSSI ROMANZO,3,Per quale motivo Arfàt si unì al partito anarchico?,Perché doveva cinque lire a Gargiuvîn.,A causa di un debito di cinque lire con Gargiuvîn.
GLI UOMINI ROSSI ROMANZO,3,Qual è il significato del nomignolo di Marcôn?,Significa 'cornacchia' in dialetto romagnolo.,"In dialetto romagnolo, il suo nomignolo significa cornacchia."
GLI UOMINI ROSSI ROMANZO,3,Quali istituzioni il primo anarchico descritto considerava avanzi di barbarie?,"I poliziotti, le leggi e la moneta.","La moneta, le leggi e i poliziotti."
,,,,
GLI UOMINI ROSSI ROMANZO,4,Chi è Miarù?,Un gatto selvatico,Il felino che rimane con il protagonista
GLI UOMINI ROSSI ROMANZO,4,Per quale motivo Schignòtt e Apulinèr si recano in montagna?,Per sfuggire a un pericolo,Per trovare un luogo sicuro
GLI UOMINI ROSSI ROMANZO,4,Qual è la condizione sociale dei personaggi che rimangono alla casa?,Sono poveri e si procurano il cibo,Vivono di espedienti e di ciò che trovano
,,,,
GLI UOMINI ROSSI ROMANZO,5,Monsignor Rutilante e Gian Battifiore sono figure alleate o contrapposte?,Sono figure contrapposte,Sono avversari politici
GLI UOMINI ROSSI ROMANZO,5,Gli anarchici restituiscono Europa a Gian Battifiore?,"No, non la restituiscono",Europa non viene riconsegnata
