Batch,Testo,Risposta1,Risposta2
1,Qual è l'obiettivo principale di Riccardo all'inizio del romanzo?,Vuole recuperare i suoi diritti usurpati dallo zio,Intende riprendere ciò che gli è stato ingiustamente sottratto
1,Come si chiama lo zio di Riccardo che ha usurpato i suoi diritti?,Lo zio di Riccardo si chiama Conte Valerio,Il Conte Valerio è colui che ha sottratto i diritti a Riccardo
1,Qual è il ruolo di Margherita all'interno della resistenza contro i soldati francesi?,È una figura chiave nella lotta contro l'occupazione francese,Margherita è un membro attivo e importante della resistenza
1,Qual è l'importanza del Castello di Roccanera per la resistenza di Riccardo?,Il Castello di Roccanera è una roccaforte strategica per la resistenza,Serve come base operativa e simbolo della lotta di Riccardo
3,Chi è il padre di Lucia?,Il padre di Lucia è Renzo.,Renzo è il genitore di Lucia.
3,Qual è la destinazione finale del viaggio di Marco?,La destinazione finale di Marco è la città di Eldoria.,Marco conclude il suo viaggio nella città di Eldoria.
3,Qual è il nome del castello dove la Principessa Aurora è tenuta prigioniera?,La Principessa Aurora è prigioniera nel Castello di Ombra.,Il Castello di Ombra è il luogo di prigionia della Principessa Aurora.
3,Qual è il mestiere di Pietro prima di diventare un eroe?,Pietro era un semplice contadino prima di diventare un eroe.,"Prima di essere un eroe, Pietro svolgeva il mestiere di contadino."
4,Qual è l'obiettivo principale di Riccardo all'inizio del romanzo?,Riccardo cerca vendetta per un torto subito.,Il suo scopo iniziale è vendicarsi di un'ingiustizia passata.
4,Dove si rifugia il Duca di Fagnano dopo la sua fuga?,Il Duca si nasconde in un convento isolato.,Trova rifugio in un monastero lontano dalla città.
4,Chi è il braccio destro del giovane capobanda?,Il suo luogotenente fedele è Marco.,Marco è il principale collaboratore del capobanda.
4,Qual è la sorte finale della banda guidata dal giovane?,La banda viene smantellata dalle autorità.,Le forze dell'ordine riescono a sciogliere il gruppo criminale.
5,Qual è lo scopo della lettera inviata dal duca?,La lettera serve a informare il giovane del piano del duca.,Il duca invia la lettera per comunicare i suoi intenti al giovane.
5,Qual è l'obiettivo principale della protagonista?,La protagonista cerca di scoprire la verità sul suo passato.,Il suo scopo è fare luce sui misteri che la riguardano.
5,Chi aiuta la protagonista nella sua ricerca della verità?,Un vecchio amico di famiglia le fornisce informazioni cruciali.,È supportata da un conoscente che possiede dettagli importanti.
5,Il piano del duca ha successo?,"No, il piano del duca fallisce a causa di eventi imprevisti.",Gli obiettivi del duca non vengono raggiunti per via di ostacoli inattesi.
6,Qual è l'obiettivo principale di Riccardo all'inizio del romanzo?,Vuole recuperare i suoi beni e il suo onore.,Il suo scopo è ripristinare la sua reputazione e riavere ciò che gli è stato tolto.
6,Chi è il principale avversario di Riccardo nel corso della storia?,Il Duca di Fagnano è il suo nemico giurato.,Il Duca di Fagnano è colui che si oppone maggiormente a Riccardo.
6,Qual è il segreto che riguarda la vera identità del figlio di Riccardo?,Il figlio di Riccardo è in realtà l'erede legittimo del Duca di Fagnano.,Si scopre che il bambino è il vero successore del Duca di Fagnano.
6,Come si conclude la faida tra i Duchi di Fagnano e la famiglia di Riccardo?,La faida si risolve con un matrimonio tra le due casate.,Termina con l'unione matrimoniale delle due famiglie rivali.
7,Qual è il legame tra Riccardo e la Regina che lo ossessiona?,La Regina è la donna che Riccardo ama profondamente.,Riccardo è innamorato della Regina e la desidera.
7,Chi si oppone principalmente alla rivendicazione dei titoli di Riccardo?,I Francesi sono i principali avversari di Riccardo.,Le forze francesi ostacolano Riccardo nel suo intento.
7,Qual è il ruolo del sergente De Chantal nella storia di Riccardo?,Il sergente De Chantal è un fedele alleato di Riccardo.,De Chantal è un compagno leale che aiuta Riccardo.
7,In quale periodo storico si svolge la vicenda di Capitan Riccardo?,La storia è ambientata durante le guerre tra Francia e Inghilterra.,Gli eventi si svolgono nel contesto dei conflitti anglo-francesi.
8,Qual è l'obiettivo principale di Riccardo all'inizio del romanzo?,Cercare vendetta per la sua famiglia.,Vendicare i torti subiti dai suoi cari.
8,Chi è il capo del popolo contro cui combattono Riccardo e i suoi compagni?,Il Generale Dubois.,"Il comandante delle forze nemiche, Dubois."
8,In quale villaggio è cresciuto Riccardo prima degli eventi del romanzo?,Nel piccolo borgo di Roccanera.,"A Roccanera, il suo paese natale."
8,Qual è il destino finale di Carmine alla conclusione della storia?,Si sacrifica per salvare Riccardo.,Muore eroicamente per proteggere il protagonista.
9,Qual è il legame tra Carmine e Capitan Riccardo?,Carmine è un alleato di Riccardo.,Carmine supporta le azioni di Riccardo.
9,Qual è lo scopo principale dell'evasione di Capitan Riccardo?,Riccardo evade per riprendere il suo posto legittimo.,L'obiettivo di Riccardo è reclamare ciò che gli spetta.
9,Chi è il padre di Capitan Riccardo?,Il padre di Riccardo è il Duca del ducato.,Il Duca è il genitore di Riccardo.
9,Qual è il ruolo di Pietro il Toro nella storia?,Pietro il Toro è un avversario di Riccardo.,Pietro il Toro si oppone a Riccardo.
10,Qual è l'obiettivo principale di Marco all'inizio del romanzo?,Marco desidera trovare il tesoro nascosto della sua famiglia.,L'intento primario di Marco è scoprire il tesoro celato dai suoi antenati.
10,Chi è il principale avversario che Elena deve affrontare?,Il Barone Von Kessel è il nemico giurato di Elena.,Elena si scontra principalmente con il Barone Von Kessel.
10,Dove si svolge la battaglia finale tra i due regni?,La battaglia decisiva ha luogo nella Piana di Eldoria.,La Piana di Eldoria è il teatro dello scontro conclusivo tra i regni.
10,Quale decisione prende Sofia riguardo al suo futuro dopo la guerra?,Sofia sceglie di dedicarsi alla ricostruzione del villaggio.,"Dopo il conflitto, Sofia decide di impegnarsi nella rinascita della sua comunità."
11,Qual è il nome del regno governato dalla Regina?,Il regno della Regina si chiama Eldoria.,La nazione su cui regna la Regina è Eldoria.
11,Chi è il consigliere più fidato del Re?,Il consigliere più fidato del Re è Lord Valerius.,Lord Valerius è il principale consigliere del sovrano.
11,Come si chiama la città portuale dove sbarca il giovane?,La città portuale dove il giovane arriva è Portorosso.,Il porto di arrivo del ragazzo si chiama Portorosso.
11,Qual è il nome della spada leggendaria che il Duca cerca?,La spada leggendaria che il Duca cerca si chiama Lameardente.,Lameardente è il nome della spada mitica ricercata dal Duca.
12,Qual è l'obiettivo principale dei difensori?,Vogliono proteggere la loro comunità da una minaccia esterna.,Il loro scopo è salvaguardare il loro popolo da un pericolo imminente.
12,Chi è il capobanda detenuto nella prigione?,È il leader del gruppo avversario dei difensori.,Si tratta del capo della fazione nemica che minaccia la comunità.
12,Cosa fece Vittoria con il documento sottratto a Pietro?,Lo consegnò ai difensori per rivelare le informazioni cruciali.,Portò il documento al gruppo dei difensori affinché ne conoscessero il contenuto.
12,Quale fu la conseguenza dell'infortunio causato da Geltrude?,L'infortunio di Geltrude portò a un'escalation del conflitto tra le fazioni.,"A causa dell'azione di Geltrude, la tensione tra i gruppi aumentò drasticamente."
13,Qual è il nome del villaggio dove Riccardo trova rifugio?,Il villaggio di Roccanera,Il borgo di Roccanera
13,Chi aiuta Riccardo a fuggire dalla fortezza?,La guardia Elia,"Elia, una delle guardie"
13,Qual è il motivo principale per cui il maggiore insegue il brigante?,Per ottenere una promozione,La sua ambizione di avanzare di grado
13,Qual è la causa del tragico destino di Rachele?,Il suo tradimento,A causa del suo tradimento
