Book,ParagraphIndex,Question,AnswerA,AnswerB
CAPELLI BIONDI,1,Chi ha invitato gli amici a cena?,Corrado,È Corrado
CAPELLI BIONDI,1,Chi è il più maturo tra gli amici presenti?,Aniceto,È Aniceto
CAPELLI BIONDI,1,Chi non è turbato dal silenzio durante la cena?,Domenichino,Solo Domenichino
,,,,
CAPELLI BIONDI,2,"Secondo Aniceto, qual è la condizione di Corrado?",È innamorato,È affetto da amore
CAPELLI BIONDI,2,Che ruolo ha Corrado durante la cena?,È l'anfitrione,È il padrone di casa
CAPELLI BIONDI,2,"Quale lettera del nome di Corrado crea un problema, secondo Aniceto?",La seconda 'r',Una 'r' del suo nome
,,,,
CAPELLI BIONDI,3,Chi ha chiesto il significato del riso?,Felice,Il personaggio Felice
CAPELLI BIONDI,3,Cosa fa Aniceto con una bottiglia?,Taglia il collo della bottiglia,Recide il collo di una bottiglia
CAPELLI BIONDI,3,Qual è il rapporto tra i personaggi presenti?,Sono amici,Sono buoni amici
,,,,
CAPELLI BIONDI,4,Chi è l'autore del romanzetto?,Corrado,L'autore è Corrado
CAPELLI BIONDI,4,Chi propone un finale con un duello?,Filiberto,È Filiberto
CAPELLI BIONDI,4,Chi approva il finale proposto da Aniceto?,Fanny,Fanny lo approva
,,,,
CAPELLI BIONDI,5,Chi è il personaggio che riceve il mazzolino di viole?,Corrado,Il protagonista Corrado
CAPELLI BIONDI,5,Chi è la donna che si pensa abbia inviato le viole?,Nina,La fantastica Nina
CAPELLI BIONDI,5,Quale delle donne menzionate ama i fiori?,Fanny,Solo Fanny
,,,,
CAPELLI BIONDI,6,Perché Corrado non si fa radere?,Ha fretta e buon umore,Non ha tempo ed è di buon umore
CAPELLI BIONDI,6,Quale mestiere suggerisce Antonio a Proto di cambiare?,Il servitore,Il suo mestiere di servitore
CAPELLI BIONDI,6,"Secondo Antonio, per quale destino è nato Proto?",Per fare il milionario,Per diventare un milionario
,,,,
CAPELLI BIONDI,7,Chi manda Antonio a fare delle indagini?,Il suo servo,Il suo domestico
CAPELLI BIONDI,7,Quanti anni ha la figlia di cui si parla?,17 anni,Diciassette anni
CAPELLI BIONDI,7,Come si chiama una delle signore di cui il servo deve informarsi?,Valeria Nobili,La signora Valeria Nobili
,,,,
CAPELLI BIONDI,8,Chi cerca Corrado nella casa?,La signora Agnese,Agnese
CAPELLI BIONDI,8,Chi ha mandato Corrado a visitare la signora Agnese?,La signorina Grazietta,Grazietta
CAPELLI BIONDI,8,La donna che appare nel salotto è Grazietta?,No,Non è Grazietta
,,,,
CAPELLI BIONDI,9,Chi è la fanciulla con cui parla Corrado?,Grazietta,La giovane Grazietta
CAPELLI BIONDI,9,Cosa ha fatto Corrado in relazione a Grazietta?,Ha fatto un voto,Ha pronunciato un voto
CAPELLI BIONDI,9,In cosa ha iniziato a credere Corrado?,Negli angioletti in terra,Nell'esistenza degli angioletti in terra
,,,,
CAPELLI BIONDI,10,Chi fornisce lavoro a Grazietta?,La signora Agnese,Agnese
CAPELLI BIONDI,10,Che lavoro fa Grazietta?,Cucito,Lavoro di cucito
CAPELLI BIONDI,10,Chi non ha voluto che Grazietta lavorasse in una bottega?,La signora Agnese,Agnese
,,,,
CAPELLI BIONDI,11,Cosa è successo a Grazietta?,Ha sloggiato,È andata via
CAPELLI BIONDI,11,Chi cerca Antonio?,Grazietta,La signorina Grazietta
CAPELLI BIONDI,11,Chi è sorpreso dalla partenza di Grazietta?,Corrado,Il signor Corrado
,,,,
CAPELLI BIONDI,12,Cosa propone Corrado di fare per Grazietta?,Darle una famiglia onesta,Offrirle una casa e un lavoro
CAPELLI BIONDI,12,Come viene descritta Agnese nel testo?,Come una cortigiana,Come una bella donna
CAPELLI BIONDI,12,Per quale motivo Corrado non può adottare Grazietta?,Non è abbastanza vecchio secondo la legge,La legge non lo permette
,,,,
,,,,
CAPELLI BIONDI,14,Quale azione del signor conte viene compiuta grazie ad Antonio?,Una delle sue,Un'impresa del conte
CAPELLI BIONDI,14,In quale via si trova la casetta arredata?,In via Lesmi,Nella via Lesmi
CAPELLI BIONDI,14,Che rapporto si instaura tra Valentina e Grazietta?,Diventano amiche,Un'amicizia
,,,,
CAPELLI BIONDI,15,Cosa trova Grazietta nell'orticello?,Un bozzolo,Un bozzolo di farfalla
CAPELLI BIONDI,15,Chi ha scelto i nomi dei canarini di Valentina?,Valentina,La signora Valentina
CAPELLI BIONDI,15,"Chi è la ""savia educatrice"" che usa un linguaggio persuasivo?",Valentina,La signora Valentina
,,,,
CAPELLI BIONDI,16,Perché Corrado ha pianto?,Perché era troppo felice,A causa di una grande gioia
CAPELLI BIONDI,16,Qual era il grado militare di Antonio?,Caporale,Il grado di caporale
CAPELLI BIONDI,16,Cosa fa Corrado dopo essersi guardato allo specchio?,Si cambia d'abito e fugge di casa,Indossa altri abiti ed esce di casa
,,,,
CAPELLI BIONDI,17,Chi dichiara il suo amore ad Agnese?,Corrado,È Corrado
CAPELLI BIONDI,17,Perché Corrado è andato a trovare Agnese?,Per dichiararle il suo amore,Per dirle di essere innamorato di lei
CAPELLI BIONDI,17,Come reagisce Agnese alla dichiarazione d'amore di Corrado?,Con cinismo,In modo cinico
,,,,
CAPELLI BIONDI,18,Corrado rivela i suoi sentimenti per Grazietta?,"No, li tiene segreti","No, li nasconde a tutti"
CAPELLI BIONDI,18,Chi dà lezioni a Mario?,La signora Valentina,L'educatrice Signora Valentina
CAPELLI BIONDI,18,In quale via si trova la casetta che Corrado visita?,In via Lesmi,Nella via Lesmi
,,,,
CAPELLI BIONDI,19,Chi è il signor conte?,Corrado,Il personaggio Corrado
CAPELLI BIONDI,19,Chi è la signora Valentina per Grazietta?,Sua madre,La mamma di Grazietta
CAPELLI BIONDI,19,Cosa preparano Corrado e Grazietta in giardino?,Un'aiuola,Una nuova aiuola
,,,,
