Book,ParagraphIndex,Question,AnswerA,AnswerB
Eh_la_vita,1,Chi vuole sposare Maria Ledda?,Nino,Il personaggio Nino
Eh_la_vita,1,Chi incontra Nino la mattina dopo?,Pizzuto,Un uomo di nome Pizzuto
Eh_la_vita,1,Da quanto tempo Nino è 'alla prova' per Maria?,Da due anni,Due anni
,,,,
Eh_la_vita,2,Chi era la gnà Vicenza per Maria e Nino?,La loro confidente,La loro ambasciatrice
Eh_la_vita,2,Per quale motivo la gnà Vicenza è tornata?,Suo figlio è morto,Per la morte del figlio
Eh_la_vita,2,Chi vuole chiedere la mano di Maria a massaio Ledda?,Saro Barreca,È Saro Barreca
,,,,
Eh_la_vita,3,Chi è il rivale di Nino per Maria Ledda?,Saro Barreca,Barreca
Eh_la_vita,3,Cosa ha deciso di fare Maria Ledda con Nino?,Scappare di casa,Fuggire con lui
Eh_la_vita,3,Chi ha minacciato il Parroco nella sagrestia?,Saro Barreca,Barreca
,,,,
Eh_la_vita,4,Perché Nino lascia la festa?,Per la notizia di una ragazza rapita,A causa del rapimento di una ragazza
Eh_la_vita,4,Qual era l'intenzione iniziale di Pizzuto e Saro Barreca?,Spaventare Nino e prendere le cassatelle,Volevano spaventare Nino e rubargli le cassatelle
Eh_la_vita,4,Chi ha preparato le cassatelle che Nino voleva portare a Maria?,Zi' Scatà le ha preparate,Sono state preparate da Scatà
,,,,
Eh_la_vita,5,Chi sono le due donne che conversano?,Dora e la signora Marozzi,La signora Marozzi e sua figlia Dora
Eh_la_vita,5,Per quanti anni Dora ha sofferto sotto il peso di un orrore?,Sette anni,Per sette anni
Eh_la_vita,5,Cosa scrive la signora Marozzi?,Libri sul cuore della donna,Libri che scrutano il cuore femminile
,,,,
Eh_la_vita,6,Da dove è tornato Gabriele?,Dal carcere,Dalla prigione
Eh_la_vita,6,Chi è Dora per Gabriele?,Sua moglie,La moglie di Gabriele
Eh_la_vita,6,Per quanti anni Gabriele e Dora non si sono visti?,Sette anni,Per un periodo di sette anni
,,,,
Eh_la_vita,7,Chi getta le lettere dalla finestra?,Gabriele,Il personaggio Gabriele
Eh_la_vita,7,Come si chiama il contadino interrogato dal Pretore?,Sanguedolce,Il vecchio Sanguedolce
Eh_la_vita,7,Quale nome vuole assumere il contadino Sanguedolce?,Sangueamaro,Il nome Sangueamaro
,,,,
Eh_la_vita,8,Chi va da Lagnusazzu per la risposta?,Sanguedolce,Il personaggio Sanguedolce
