Book,ParagraphIndex,Question,AnswerA,AnswerB
Il_fallo_duna_donna_onesta,1,Per quale città è prevista la partenza di Guido?,Per Venezia,A Venezia
Il_fallo_duna_donna_onesta,1,Chi è la persona che scrive la lettera a Donna Teresa Valdengo?,Maria,La mittente Maria
Il_fallo_duna_donna_onesta,1,Qual è il cognome della cugina che la famiglia vorrebbe far sposare a Guido?,Del Monte,Il cognome Del Monte
,,,,
Il_fallo_duna_donna_onesta,2,Come chiama Guido la Teresa?,Mammina,Mamma
Il_fallo_duna_donna_onesta,2,Come reagisce Teresa subito dopo l'amplesso di Guido?,Lo caccia via,Lo intima di andarsene
Il_fallo_duna_donna_onesta,2,Cosa dichiara Guido a Teresa alla fine dell'estratto?,Il suo amore,Di amarla
,,,,
Il_fallo_duna_donna_onesta,3,Chi regala molti libri a di Reana?,Il conte Vergalli,Conte Vergalli
Il_fallo_duna_donna_onesta,3,Chi prova antipatia per il conte Vergalli?,L'uomo che parla con di Reana,Il personaggio maschile che è con di Reana
Il_fallo_duna_donna_onesta,3,Quale autore è citato nel libro sfogliato da di Reana?,De Musset,Alfred de Musset
,,,,
Il_fallo_duna_donna_onesta,4,Come si chiama la nave ancorata nel bacino di San Marco?,Cristoforo Colombo,La nave Cristoforo Colombo
Il_fallo_duna_donna_onesta,4,Qual è il sentimento di Teresa verso la nave _Cristoforo Colombo_?,Prova terrore e odio,La odia e ne ha terrore
Il_fallo_duna_donna_onesta,4,Qual è la professione di Guido di Reana?,È un ufficiale,Fa l'ufficiale
,,,,
Il_fallo_duna_donna_onesta,5,Quando parte Reana?,Dopodomani,Il giorno dopo domani
Il_fallo_duna_donna_onesta,5,Dove vuole Reana che Teresa lo incontri?,A casa sua,Nel suo quartierino ammobigliato
Il_fallo_duna_donna_onesta,5,Perché Teresa non vuole andare a casa di Reana?,Si vergogna,Perché si sente meno caduta nella propria casa
,,,,
Il_fallo_duna_donna_onesta,6,Cosa vuole festeggiare la Contessa Marvesi?,Le sue nozze d'argento,Il suo anniversario di matrimonio d'argento
Il_fallo_duna_donna_onesta,6,Qual è il grado militare di Di Reana?,Sottotenente,È un sottotenente
Il_fallo_duna_donna_onesta,6,Che relazione c'è tra Teresa Valdengo e Venosti?,Sono zio e nipote,Venosti è lo zio di Teresa
,,,,
Il_fallo_duna_donna_onesta,7,Chi è lo zio di Teresa Valdengo?,Il Barone,Venosti
Il_fallo_duna_donna_onesta,7,Chi vuole presentare il Barone a Teresa Valdengo?,Il conte di Schaumburg,Un conte di nome Schaumburg
Il_fallo_duna_donna_onesta,7,Qual è il legame di parentela tra Teresa Valdengo e il Barone?,È sua nipote,La nipote del Barone
,,,,
Il_fallo_duna_donna_onesta,8,Dove si fermano Guido e Teresa?,Tra le colonne di Marco e Todero,"Sulla Piazzetta, tra le due colonne"
Il_fallo_duna_donna_onesta,8,Cosa propone Guido a Teresa?,Un giro in gondola,Di prendere una gondola
Il_fallo_duna_donna_onesta,8,A che ora suona l'orologio della Torre?,Alle cinque,Quando l'orologio segna le cinque
,,,,
Il_fallo_duna_donna_onesta,9,Chi era la figlia più piccola della madre di Guido quando rimase vedova?,Matilde,La figlia Matilde
Il_fallo_duna_donna_onesta,9,In quale regione si trova Teresa?,In Veneto,Nel Veneto
Il_fallo_duna_donna_onesta,9,Dove vive la madre di Guido?,Nel Sud Italia,"Laggiù, nel Meridione"
,,,,
Il_fallo_duna_donna_onesta,10,A che ora parte la nave Colombo?,Alle sei,Alle sei del mattino
Il_fallo_duna_donna_onesta,10,Come si chiama la cameriera di Teresa?,Luisa,Si chiama Luisa
Il_fallo_duna_donna_onesta,10,Chi salutò Guido prima della sua partenza?,Teresa,La Teresa
,,,,
Il_fallo_duna_donna_onesta,11,Qual è il primo obiettivo professionale di Massimo Scilla?,Avere un posto d'assistente all'Università,Diventare assistente universitario
Il_fallo_duna_donna_onesta,11,Dove si recherà il conte Mario fra qualche settimana?,A Venezia,Nella città di Venezia
