Book,ParagraphIndex,Question,AnswerA,AnswerB
Come_londa,1,Cosa fa Paolo per evitare sospetti?,Balla da un parente della signora,Danza da un parente di lei
,,,,
Come_londa,2,Cosa copre il viso della signora?,Un velo,Un velo sul volto
,,,,
Come_londa,3,Chi è la persona che assomiglia a Jela?,La signora Emilia,Emilia
,,,,
Come_londa,4,A chi si dona con lo spirito la donna che non ama il suo uomo?,Al suo assente adorato,All'uomo che adora ma che è assente
,,,,
Come_londa,5,Verso quale luogo torna il signor Claudio dopo la sua fuga?,Verso la Marza,Alla Marza
Come_londa,5,Dove abita la signora Emilia?,Nel villino di Conca di Pietra,A Conca di Pietra
Come_londa,5,Di cosa era preoccupato il signor Claudio durante il suo ritorno?,Che la sua lettera fosse scoperta,Della scoperta della sua lettera
,,,,
,,,,
Come_londa,7,Come si chiama la protagonista?,Teresa,Il suo nome è Teresa
Come_londa,7,Quale terribile scoperta fa Teresa?,Di essere incinta,La sua gravidanza
Come_londa,7,Chi è l'uomo che ha confessato il suo amore a Teresa?,L'amante di Teresa,Il colpevole
,,,,
Come_londa,8,Qual è la causa principale del malessere di Teresa?,La sua gravidanza,La bambina che aspetta
Come_londa,8,Cosa raccomanda il dottore a Teresa?,Di stare molto calma,Di mantenere la calma
Come_londa,8,Cosa desidera Teresa riguardo alla sua gravidanza?,Un aborto,Che la gravidanza si interrompa
,,,,
Come_londa,9,Chi è preoccupato per la salute di Teresa?,Giulio,Suo marito Giulio
Come_londa,9,Quale problema ha il bambino di Giulio e Teresa?,Non vuole succhiare il latte,Rifiuta il latte
Come_londa,9,Dove decidono Giulio e Teresa di portare il bambino?,In città,Nella città
,,,,
Come_londa,10,Chi commissiona il ritratto all'artista Ronchi?,Miss Flower,La signorina Flower
Come_londa,10,Come si chiama l'artista a cui viene commissionato il ritratto?,Ronchi,Il pittore Ronchi
Come_londa,10,Dove vuole andare Miss Flower per il compleanno di sua madre?,A Londra,Nella città di Londra
,,,,
Come_londa,11,Chi ha scolpito il ritratto di miss Flower?,Efisio Ronchi,Lo scultore Efisio Ronchi
