Book,ParagraphIndex,Question,AnswerA,AnswerB
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,1,In che anno inizia la Grande Guerra descritta nel libro?,Nel 1914,Durante l'anno 1914
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,1,Quale ruolo ebbe il Kaiser Guglielmo II nella Grande Guerra?,Fu l'imperatore di Germania,Guidò l'Impero tedesco nel conflitto
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,1,Quale fu il destino dell'Impero Austro-Ungarico dopo la Grande Guerra?,Si dissolse,Fu smembrato in diversi stati
,,,,
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,2,Chi era il direttore del giornale l'Avanti!?,Benito Mussolini,Il professor Benito Mussolini
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,2,Dove lavorava Renato Serra?,In una biblioteca in Romagna,In una deserta biblioteca di Romagna
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,2,Come venivano definite le repubbliche sorte durante i tumulti in Italia dai giornali dell'ordine?,Repubbliche di Pinocchio,Come repubbliche di Pinocchio
,,,,
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,3,Che rapporto lega il narratore al signor H***?,Il narratore è il suo paziente,Il signor H*** è il suo psicoanalista
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,3,Qual è il nome del narratore del libro?,Zeno Cosini,Il protagonista Zeno Cosini
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,3,"In quale anno l'Italia proclama la sua neutralità, come menzionato nel libro?",Nel 1914,Durante l'anno 1914
,,,,
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,4,Quando l'Italia dichiara guerra durante la Prima Guerra Mondiale?,Nel 1915,Nel maggio del 1915
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,4,Contro quali nazioni combatte l'Italia nella Prima Guerra Mondiale?,Contro l'Austria-Ungheria e la Germania,Contro gli Imperi Centrali
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,4,Qual è il nome del signore autorevole in politica consultato dal narratore?,Il suo nome è [Nome del personaggio],Si chiama [Nome del personaggio]
,,,,
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,5,Come si chiama il narratore del libro?,Il suo nome è [Nome del narratore],Si chiama [Nome del protagonista]
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,5,"Qual è il ruolo del ""signore"" che discute di politica con il narratore?",È un [Ruolo specifico del signore],Svolge la funzione di [Funzione del signore]
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,5,L'Inghilterra attacca i porti italiani con le sue navi da guerra durante il conflitto?,"No, l'attacco non avviene",I porti italiani non vengono attaccati dall'Inghilterra
,,,,
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,6,In quale città italiana si svolge la maggior parte della narrazione?,A Milano,Nella città di Milano
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,6,Quale ruolo ricopre il protagonista durante il conflitto mondiale?,È un soldato impegnato al fronte,Partecipa attivamente ai combattimenti
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,6,Quale grave perdita affligge il protagonista a causa del conflitto?,La morte di un familiare,La scomparsa di una persona amata
,,,,
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,7,Qual è la professione del protagonista?,È uno scrittore,Svolge il mestiere di scrittore
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,7,In quale città è ambientata la storia?,A Trieste,Nella città di Trieste
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,7,A quale guerra si riferisce il rumore del cannone?,Alla Prima Guerra Mondiale,Al primo conflitto mondiale
,,,,
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,8,A quale conflitto si riferisce la 'grande battaglia' menzionata dal narratore?,Alla Prima Guerra Mondiale,Al primo conflitto mondiale
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,8,Qual è il destino finale di Serra nel corso del libro?,Muore in guerra,Perde la vita al fronte
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,8,Qual è la professione del narratore prima dello scoppio del conflitto?,È uno scrittore,Svolge l'attività di letterato
,,,,
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,9,Qual era l'orientamento politico di Mario Missiroli?,Era germanofilo,Aveva simpatie per la Germania
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,9,In quale periodo storico è ambientato il libro?,Durante la Prima Guerra Mondiale,Nel periodo della Grande Guerra
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,9,Qual era la professione del narratore?,Era un giornalista,Svolgeva l'attività di giornalista
,,,,
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,10,Qual è la professione di Missiroli?,È un giornalista,Svolge la professione di giornalista
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,10,Quale evento tragico segue il Processo Caillaux nel libro?,La Prima Guerra Mondiale,Lo scoppio della Grande Guerra
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,10,Qual è la nazionalità del narratore?,È italiano,Il narratore è di nazionalità italiana
,,,,
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,11,Qual è la posizione del narratore durante la guerra?,È un ufficiale dell'esercito,Ricopre il grado di tenente
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,11,Qual è il destino di Serra nel corso del libro?,Serra muore in battaglia,Perde la vita sul fronte
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,11,Su quale fronte principale si svolge la narrazione del libro?,Sul fronte italiano,Nelle zone di guerra del Carso
,,,,
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,12,Come si chiama il narratore che riflette sulla patria a Bellaria?,Si chiama Emilio Rossi,Il suo nome è Emilio Rossi
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,12,Qual è la professione del personaggio che si trova a Bellaria?,È un professore di lettere,Svolge la professione di filologo
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,12,"Chi è il ""ragazzo"" o ""figliuolo"" a cui il narratore si rivolge nel corso del libro?",È suo nipote Marco,"Il narratore si rivolge a Marco, suo nipote"
,,,,
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,13,Quando l'Italia entrò nella Prima Guerra Mondiale?,Nel 1915,Nel maggio del 1915
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,13,Quale fu la sorte di Serra?,Morì in guerra,Perì sul fronte di guerra
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,13,Chi è l'autore del libro?,Carlo Emilio Gadda,Lo scrittore Carlo Emilio Gadda
,,,,
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,14,In quale periodo storico principale si svolgono le riflessioni dell'autore?,Durante la Prima Guerra Mondiale,Nel contesto della Grande Guerra
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,14,Quale figura storica viene citata dall'autore come esempio di 'uomo di genio' mancante nella politica italiana del suo tempo?,Cavour,Camillo Benso Conte di Cavour
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,14,"Qual è la posizione dell'Italia riguardo alla Germania, secondo l'autore?",L'Italia non odia la Germania,L'Italia non ha mai provato odio verso la Germania
,,,,
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,15,Qual era la professione dell'autore durante la Prima Guerra Mondiale?,Era un giornalista,Svolgeva l'attività di corrispondente di guerra
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,15,Quale fu l'esito della Prima Guerra Mondiale per la Germania?,La Germania fu sconfitta,La Germania subì la sconfitta
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,15,Quale fu la ragione principale dell'invasione tedesca del Belgio all'inizio della Prima Guerra Mondiale?,Per aggirare le difese francesi,Per attaccare la Francia attraverso un percorso inaspettato
,,,,
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,16,Qual è l'attività principale del narratore durante il periodo descritto nel libro?,Scrivere un diario,Registrare osservazioni e riflessioni
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,16,A quale conflitto mondiale si riferiscono le osservazioni del narratore?,Alla Prima Guerra Mondiale,Al primo conflitto mondiale
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,16,"Quale ruolo ricopre Madama Caillaux durante il conflitto, come descritto nel libro?",Infermiera della Croce Rossa,Volontaria della Croce Rossa
,,,,
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,17,Qual è la professione del narratore che riporta le notizie della guerra?,Uno scrittore,Un letterato
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,17,Qual è la guerra principale descritta nel libro?,La Prima Guerra Mondiale,La Grande Guerra
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,17,A quale evento storico è associato Emanuele Filiberto nel libro?,Alla vittoria di San Quintino,Alla battaglia di San Quintino del 1597
,,,,
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,18,A quale guerra si riferisce il libro?,Alla Prima Guerra Mondiale,Al primo conflitto mondiale
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,18,Qual è il destino finale del figlio della Signora M***?,Muore in battaglia,Perisce sul campo di guerra
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,18,I proletari dell'osteria partecipano a una rivolta sociale?,"Sì, si uniscono a un movimento rivoluzionario","Sì, prendono parte a una sollevazione popolare"
,,,,
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,19,Come si chiama il narratore del libro?,Benito Mussolini,Mussolini
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,19,Qual è la guerra principale descritta nel libro?,La Prima Guerra Mondiale,La Grande Guerra
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,19,Qual era la professione del narratore all'inizio della guerra?,Direttore dell'Avanti!,Giornalista e direttore del quotidiano Avanti!
,,,,
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,20,Quale imperatore medievale è ammirato dall'autore per aver fuso il genio latino e germanico?,Federico Secondo di Svevia,Il gran Federico
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,20,Quale castello visita il Kaiser secondo l'autore?,Castel del Monte,Il castello di Federico Secondo
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,20,Quale figura storica è associata all'inizio del libero pensiero secondo i dotti menzionati dall'autore?,Martin Lutero,Lutero
,,,,
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,21,L'Italia entrò nella Prima Guerra Mondiale?,"Sì, entrò in guerra",L'Italia partecipò al conflitto
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,21,Ludovico Frank morì durante la Prima Guerra Mondiale?,"Sì, morì in guerra",Perì nel conflitto
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,21,Quale posizione assunsero i socialisti italiani riguardo alla Prima Guerra Mondiale?,Sostennero la neutralità,Si schierarono per la neutralità
,,,,
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,22,Quale ruolo ebbe il generale Joffre nella Prima Guerra Mondiale?,Fu il comandante in capo dell'esercito francese,Guidò le forze francesi durante il conflitto
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,22,Il giovinetto che voleva fare l'ussaro della morte riuscì nel suo intento?,"Sì, si arruolò nell'esercito",Diventò un soldato
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,22,Qual era il nome completo del Kaiser raffigurato nel ritratto?,Guglielmo II,Wilhelm II di Germania
,,,,
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,23,"Quale percorso di vita intraprende il ragazzo, tra i suoi vari progetti?",Si unisce a un movimento politico-militare,Diventa un attivista per la causa nazionale
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,23,Come si chiama la famiglia di nobiltà papalina menzionata dal ragazzo?,I Borghese,La famiglia Borghese
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,23,Qual è il periodo storico principale in cui si svolge la narrazione del libro?,Il Risorgimento italiano,L'epoca dell'Unità d'Italia
,,,,
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,24,Quando l'Italia entrò nella Prima Guerra Mondiale?,Nel maggio del 1915,Il 24 maggio 1915
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,24,Qual è il nome dell'autore di queste riflessioni?,Giuseppe Prezzolini,Prezzolini
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,24,Quale alleanza militare legava l'Italia all'Austria prima della Prima Guerra Mondiale?,La Triplice Alleanza,L'alleanza della Triplice
,,,,
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,25,Quale fu la decisione finale dell'Italia riguardo alla sua neutralità nel conflitto?,L'Italia entrò in guerra,L'Italia abbandonò la neutralità
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,25,Quale posizione sostenne l'autore riguardo all'intervento dell'Italia nel conflitto?,L'autore era favorevole all'intervento,L'autore appoggiò l'entrata in guerra
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,25,Quale fu la posizione politica principale dei futuristi italiani riguardo alla guerra?,I futuristi erano interventisti,Sostenevano l'intervento dell'Italia nel conflitto
,,,,
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,26,Quale materia studiò Guido Fusinato a Berlino?,Il diritto internazionale,Diritto internazionale
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,26,Come morì Guido Fusinato?,Si suicidò,Per suicidio
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,26,Da quale contesto il narratore si prepara a tornare il 26 Settembre?,Dal contesto della guerra,Dall'esperienza bellica
,,,,
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,27,"Qual è la principale ""malattia"" di Zeno Cosini?",La nevrosi,L'inettitudine
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,27,Come si chiama il medico che prescrive a Zeno Cosini di scrivere le sue memorie?,Il Dottor S.,Dottor S.
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,27,Quale effetto ha la Prima Guerra Mondiale sulla situazione economica di Zeno Cosini?,Lo arricchisce,Gli permette di fare fortuna
,,,,
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,28,A quale dinastia apparteneva il Kaiser di Vienna?,Agli Absburgo,Alla casa d'Asburgo
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,28,In quale città il Kaiser di Germania cavalcò alla testa di un drappello di carabinieri?,A Roma,Nella città eterna di Roma
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,28,Verso quale destinazione l'Imperatore di Germania ordinò ai soldati italiani di dirigersi?,Alla frontiera nord-ovest,Verso la frontiera nord-ovest
,,,,
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,29,Il buon scolaro tedesco ha mai inviato l'orologio a cucù promesso?,"Sì, lo ha inviato dopo la guerra.",L'orologio è stato spedito al narratore a conflitto concluso.
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,29,Qual era la destinazione di Gino S.?,Era diretto al fronte orientale.,La sua destinazione era il fronte russo.
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,29,Che professione svolgeva il narratore?,Era un professore.,Svolgeva la professione di insegnante.
,,,,
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,30,"Qual è l'anno in cui il narratore scrive l'annotazione datata 'Milano, 14 novembre'?",1914,L'anno 1914
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,30,Qual è il titolo esatto del libro di Hans Barth sulle osterie d'Italia?,Osterie d'Italia,Il volume Osterie d'Italia
IL ROMANZO DELLA GUERRA NELL'ANNO 1914,30,Chi è l'autore del libro da cui è tratto questo estratto?,Giuseppe Prezzolini,Prezzolini
,,,,
