Book,ParagraphIndex,Question,AnswerA,AnswerB
LA SIGNORINA ROMANZO,1,Perché il giovine invita Fáni a casa sua?,Per mostrarle i suoi quadri.,Per farle vedere le sue opere d'arte.
LA SIGNORINA ROMANZO,1,Qual è il titolo del quadro di Segantini menzionato nel testo?,Dopo un bacio.,Il quadro intitolato Dopo un bacio.
LA SIGNORINA ROMANZO,1,Quali artisti sono la passione di Fáni?,Segantini e Favretto.,Gli artisti Segantini e Favretto.
,,,,
LA SIGNORINA ROMANZO,2,Chi aspetta Stefania?,Don Giulio,Giulio
LA SIGNORINA ROMANZO,2,Come si intitola l'opera di Francesco?,Arianna,Il lavoro intitolato Arianna
LA SIGNORINA ROMANZO,2,Chi mostra un interesse amoroso per Stefania?,Il Roero,Il giovane Roero
,,,,
LA SIGNORINA ROMANZO,3,Con chi si dice che Francesco abbia una relazione?,Con la moglie dell'Assessore Arcolei,Con la signora Arcolei
LA SIGNORINA ROMANZO,3,Dove andrà Francesco il giorno dopo?,A Venezia,Nella città di Venezia
LA SIGNORINA ROMANZO,3,Quale entità ha sempre sostenuto Francesco?,La Difesa Lombarda,Il giornale La Difesa Lombarda
,,,,
LA SIGNORINA ROMANZO,4,Perché Roero è spaventato?,Ha ucciso un uomo,Per aver ammazzato un uomo
LA SIGNORINA ROMANZO,4,Chi chiama Roero per aiutarlo?,"Giovanni, l'avvocato Olivieri e il dottor Sellero","Il suo servitore Giovanni, l'avvocato Olivieri e il dottor Sellero"
LA SIGNORINA ROMANZO,4,Dove si trova il dottor Sellero quando Roero lo cerca?,A Vigevano,Nella città di Vigevano per un consulto
,,,,
LA SIGNORINA ROMANZO,5,Chi sta visitando Roero?,Stefania,La baronessa Stefania
LA SIGNORINA ROMANZO,5,Chi sono gli ospiti di Stefania a pranzo?,Faraggiola e Estensi,Il Faraggiola e l'Estensi
LA SIGNORINA ROMANZO,5,Quale evento passato tormenta Roero con rimorsi?,Il duello con Nespola,Un duello che ha coinvolto Nespola
,,,,
LA SIGNORINA ROMANZO,6,Come è morto Savoldi?,È morto in un duello,È deceduto a causa di un duello
LA SIGNORINA ROMANZO,6,Dove abita il signore che chiede il conto?,A Milano,Nella città di Milano
LA SIGNORINA ROMANZO,6,Qual era la professione di Savoldi?,Era un giornalista,Faceva il giornalista
,,,,
LA SIGNORINA ROMANZO,7,Dove si era recato Roero per parlare con la signora Canzi?,A casa della signora Canzi,Al Cordusio
LA SIGNORINA ROMANZO,7,Come si chiama la creatura di Savoldi?,Lulù,Il suo nome è Lulù
LA SIGNORINA ROMANZO,7,Chi ha firmato la cambiale di cinquecento lire per Savoldi?,Il Maestro Canzi,Il signor Maestro Canzi
,,,,
LA SIGNORINA ROMANZO,8,Con chi preferisce stare Lulù se il padre non torna?,Con Roero,Con il signor Roero
LA SIGNORINA ROMANZO,8,Come reagisce Lulù a Giovanni?,Lo rifiuta,Non lo vuole vicino
LA SIGNORINA ROMANZO,8,Quanti anni ha Lulù?,Non ha ancora cinque anni,Meno di cinque anni
,,,,
LA SIGNORINA ROMANZO,9,Perché Francesco chiede a Olivieri di visitare donna Stefania?,Per sapere cosa si dice di lui in casa Arcolei.,Per scoprire le voci sul suo conto dagli Arcolei.
LA SIGNORINA ROMANZO,9,Perché Olivieri non può aiutare Francesco?,Perché non frequenta più donna Stefania.,Perché ha smesso di andare dalla baronessa Stefania.
LA SIGNORINA ROMANZO,9,Cosa pensa Olivieri della relazione tra Francesco e donna Stefania?,Crede che Francesco non sia ancora il suo amante.,Sospetta che non siano ancora amanti.
,,,,
LA SIGNORINA ROMANZO,10,Qual era la professione della signora Eugenia?,Era una maestra.,Faceva la maestra.
LA SIGNORINA ROMANZO,10,Dove è diventata direttrice la signora Eugenia?,Alle scuole di San Celso.,A San Celso.
LA SIGNORINA ROMANZO,10,Cosa prova la signora Eugenia dopo il suo ritiro dal lavoro?,Si sente meno felice.,Prova un gran vuoto.
,,,,
LA SIGNORINA ROMANZO,11,Come si chiama la bambina che riceve la visita?,Lulù,Si chiama Lulù
LA SIGNORINA ROMANZO,11,Cosa viene presentato a Lulù?,Una bambola,Una contessa di Parigi
LA SIGNORINA ROMANZO,11,Chi ha comprato la bambola per Lulù?,Il Roero,Roero
,,,,
LA SIGNORINA ROMANZO,12,Chi cerca il Roero per primo?,Fáni,Sua moglie Fáni
LA SIGNORINA ROMANZO,12,Dove trova il Roero Carletto e Manòlo?,Al club,Nel salottino del club
LA SIGNORINA ROMANZO,12,Come si chiama il marito di Fáni?,Don Giulio,Giulio
,,,,
LA SIGNORINA ROMANZO,13,Che cosa si racconta di donna Stefania?,È fuggita con un amante.,Si dice che sia scappata con un altro uomo.
LA SIGNORINA ROMANZO,13,Dove si dice che sia fuggito don Giulio?,In Egitto.,È scappato in Egitto.
LA SIGNORINA ROMANZO,13,A chi chiede Roero notizie sulle chiacchiere?,A Faraggiola e Estensi.,Ai suoi amici Faraggiola ed Estensi.
,,,,
LA SIGNORINA ROMANZO,14,Chi è don Giulio?,Il marito,Il marito di donna Stefania
LA SIGNORINA ROMANZO,14,Qual è il sentimento di Roero verso Parodi?,Riconoscenza,Gratitudine
LA SIGNORINA ROMANZO,14,Chi vuole strozzare Roero?,Don Giulio,Il marito di donna Stefania
,,,,
LA SIGNORINA ROMANZO,15,Chi compie sette anni nell'estratto?,Lulù,La bambina Lulù
LA SIGNORINA ROMANZO,15,Quali doni porta il Roero a Lulù?,Un ombrellino e un ventaglio,Un ombrello e un ventaglio
LA SIGNORINA ROMANZO,15,Quale ruolo ha la signora Eugenia nei confronti di Lulù?,È la sua tutrice,Si prende cura di lei
,,,,
LA SIGNORINA ROMANZO,16,Chi sposa il tenentino Parodi?,Ersilia Luardi,La contessina Ersilia Luardi
LA SIGNORINA ROMANZO,16,Che relazione c'è tra Donna Stefania ed Ersilia Luardi?,Sono cugine,Ersilia è la cugina di Donna Stefania
LA SIGNORINA ROMANZO,16,Quanti anni ha Ersilia Luardi?,Diciott'anni,Ha diciott'anni
,,,,
LA SIGNORINA ROMANZO,17,Qual è il titolo nobiliare di Stefania?,Baronessa,È una baronessa
LA SIGNORINA ROMANZO,17,Chi è Lulù per Stefania?,Sua figlia,La figlia di Stefania
LA SIGNORINA ROMANZO,17,Chi è Francesco per Lulù?,Suo padre,Il padre della bambina
,,,,
LA SIGNORINA ROMANZO,18,Chi aspetta invano una visita o delle lettere?,La signora Eugenia,Eugenia
LA SIGNORINA ROMANZO,18,Chi informa la signora Eugenia che nessuno l'ha cercata?,La portinaia,La donna della portineria
LA SIGNORINA ROMANZO,18,Chi arriva a preparare il desinare alla signora Eugenia?,La Gentilina,La vecchia donnetta di servizio
,,,,
LA SIGNORINA ROMANZO,19,Quale città sceglie la donna dopo l'abbandono del Parodi?,Milano,La città di Milano
LA SIGNORINA ROMANZO,19,Quanti anni di differenza ci sono tra il tenentino e la dolce amica?,Dieci anni,Dieci anni di età
LA SIGNORINA ROMANZO,19,Chi ha abbandonato la donna a Borgoprimo?,Cencino Parodi,Il Parodi
,,,,
LA SIGNORINA ROMANZO,20,Chi è l'uomo amato dalla signorina Elena?,Il signor Francesco Roero,Francesco Roero
LA SIGNORINA ROMANZO,20,Come si chiama la donna che Elena considera sua nemica?,La Baronessa Arcolei,La baronessa Arcolei
LA SIGNORINA ROMANZO,20,Contro chi ha combattuto il padre di Elena perdendo la vita?,Contro la gente come la Baronessa Arcolei,Contro la famiglia della Baronessa Arcolei
,,,,
LA SIGNORINA ROMANZO,21,Qual è la novità principale che l'Olivieri ha portato a Lodignola?,Il progetto della linea del tram,L'avanzamento della linea del tram
LA SIGNORINA ROMANZO,21,Come descrivono l'Olivieri e la signora Eugenia il comportamento di Nino Moro?,È cambiato e irascibile,È diventato irascibile e puntiglioso
LA SIGNORINA ROMANZO,21,Cosa sceglie l'Olivieri come premio per Elena?,L'abito,Il vestito
,,,,
LA SIGNORINA ROMANZO,22,Nino è innamorato di Elena?,"Sì, è innamorato",Nino prova amore per Elena
LA SIGNORINA ROMANZO,22,Elena ricambia i sentimenti di Nino?,"No, non li ricambia",L'amore di Nino non è corrisposto
LA SIGNORINA ROMANZO,22,Elena è considerata una persona affabile?,"Sì, è affabile",Viene descritta come affabile
,,,,
LA SIGNORINA ROMANZO,23,Dove viene spedita la lettera che la fanciulla lascia cadere nella cassetta?,A Milano,Nella città di Milano
LA SIGNORINA ROMANZO,23,Chi dirige i preparativi per la festa del saggio alla scuola?,Il signor Nino,Nino
LA SIGNORINA ROMANZO,23,Dove torna la fanciulla dopo aver incontrato Nino?,Alla Casa Vecchia,Nella Casa Vecchia
,,,,
LA SIGNORINA ROMANZO,24,Cosa fuma il signor Olivieri?,Sigari virginia,Solo sigari virginia
LA SIGNORINA ROMANZO,24,La signora Eugenia fuma?,"No, ha smesso",Non fuma più
LA SIGNORINA ROMANZO,24,Cosa vuole provare a fare Elena?,Vuole provare a fumare,Vuole fumare
,,,,
LA SIGNORINA ROMANZO,25,Come viene chiamata Elena da Francesco?,Lulù,Birichina Lulù
LA SIGNORINA ROMANZO,25,Chi è Olivieri per Luisa?,L'uomo che le ha causato un grave dolore,La persona responsabile della sua grande sofferenza
LA SIGNORINA ROMANZO,25,Cosa chiede Francesco a Elena riguardo a Olivieri?,Se Olivieri le fa la corte,Se Olivieri la sta corteggiando
,,,,
LA SIGNORINA ROMANZO,26,Come si chiama la baronessa?,Stefania,Donna Stefania
LA SIGNORINA ROMANZO,26,Come si chiama l'amico della baronessa?,Francesco,Roero
LA SIGNORINA ROMANZO,26,Qual è uno dei motivi per cui donna Stefania ha incontrato Francesco?,Per chiedergli un favore,Per domandargli un favore
,,,,
LA SIGNORINA ROMANZO,27,Quale affermazione di Olivieri sorprende Nino Moro?,Che Olivieri sia il suo benefattore,Che Olivieri gli abbia fatto del bene morale
LA SIGNORINA ROMANZO,27,Qual era il ruolo di Nino Moro prima di lasciare il servizio?,Era un dipendente di Olivieri,Era un dipendente del signor Roero
LA SIGNORINA ROMANZO,27,Dove si trovano i conti che Nino Moro deve rendere?,A Lodignola,Nello scrittoio a Lodignola
,,,,
LA SIGNORINA ROMANZO,28,Qual è il rapporto di Francesco con la signorina Elena?,Si comporta come un padre per lei,Ha un ruolo paterno nei suoi confronti
LA SIGNORINA ROMANZO,28,In quale luogo si è comportato male Francesco?,A Lodignola,Nella località di Lodignola
LA SIGNORINA ROMANZO,28,Qual è il motivo del litigio tra Francesco e l'avvocato?,Il comportamento di Francesco verso Elena,Lo strano zelo paterno di Francesco per Elena
,,,,
LA SIGNORINA ROMANZO,29,Di chi si sente responsabile il Roero per la morte?,Di Nespola,Del povero Nespola
LA SIGNORINA ROMANZO,29,Dove deve essere portata la scatola con la bambola?,Alla Casa Vecchia,Nella Casa Vecchia
LA SIGNORINA ROMANZO,29,Qual è il desiderio principale del Roero per Elena?,Che sia felice,La sua felicità
,,,,
LA SIGNORINA ROMANZO,30,Dove si dirige Francesco?,In Isvizzera,Verso l'Isvizzera
LA SIGNORINA ROMANZO,30,Dove porta Elena il piatto per Rolando?,Nel brolo,Nel giardino
LA SIGNORINA ROMANZO,30,Dove si trova la signora Eugenia?,A Milano,Nella città di Milano
,,,,
