Book,ParagraphIndex,Question,AnswerA,AnswerB
VAE VICTIS! ROMANZO,1,Qual è la relazione tra Chérie e Mirella?,Sono sorelle,Sono sorelle di sangue
VAE VICTIS! ROMANZO,1,Qual è la ragione principale della presenza di Chérie a Westende?,È in vacanza,Si trova lì per le vacanze estive
VAE VICTIS! ROMANZO,1,Che ruolo ha Cirillo Wibon nella storia di Chérie?,È un amico di Chérie,È un suo caro amico
,,,,
VAE VICTIS! ROMANZO,2,Qual è la causa dell'insolito affollamento e della presenza militare a Ostenda?,Lo scoppio della guerra,L'inizio del conflitto mondiale
VAE VICTIS! ROMANZO,2,Chi sono le viaggiatrici che partono da Villa Esther?,"Chérie, Frida e Mirella","Le tre donne Chérie, Frida e Mirella"
VAE VICTIS! ROMANZO,2,"Per quale motivo Chérie, Frida e Mirella intraprendono il viaggio da Villa Esther?",Per fuggire dalla guerra,Per mettersi in salvo dal conflitto
,,,,
VAE VICTIS! ROMANZO,3,Chi è la festeggiata il 4 agosto?,Chérie,La ragazza di nome Chérie
VAE VICTIS! ROMANZO,3,In quale corpo militare serve il padre di Andrea?,Nella Guardia Civica,Fa parte della Guardia Civica
VAE VICTIS! ROMANZO,3,Come si chiama la residenza della famiglia Dorè?,La Maisonnette des Lilas,La villetta di Madame Dorè
,,,,
VAE VICTIS! ROMANZO,4,Qual è il legame tra Claudio e Lulù?,È il suo protettore,È la persona che la protegge
VAE VICTIS! ROMANZO,4,Per quale motivo Claudio ha lasciato Bomal?,Per il servizio militare,È stato chiamato alle armi
VAE VICTIS! ROMANZO,4,Qual è la nazionalità di Frida?,È tedesca,Ha nazionalità tedesca
,,,,
VAE VICTIS! ROMANZO,5,Qual era la promessa di Florian Audet a Chérie?,Di tornare da lei,Di rivederla
VAE VICTIS! ROMANZO,5,Qual è la ragione del turbamento di Florian Audet?,Ha ricevuto ordini di partire per il fronte,Deve annunciare la sua imminente partenza per la guerra
VAE VICTIS! ROMANZO,5,Chi è il dottor Brandès?,Il padre di Chérie,Il proprietario della casa dove vive Chérie
,,,,
VAE VICTIS! ROMANZO,6,Qual è la professione di Florian?,È un ufficiale,È un soldato
VAE VICTIS! ROMANZO,6,Qual è la natura del rapporto tra Florian e Chérie?,Sono innamorati,Si amano
VAE VICTIS! ROMANZO,6,A quale conflitto storico partecipa Florian?,Alla Prima Guerra Mondiale,Alla Grande Guerra
,,,,
