Book,ParagraphIndex,Question,AnswerA,AnswerB
L'AEROPLANO DEL PAPA ROMANZO PROFETICO IN VERSI LIBERI,1,Qual è la prima destinazione geografica menzionata nel volo?,La Sicilia,L'isola della Sicilia
L'AEROPLANO DEL PAPA ROMANZO PROFETICO IN VERSI LIBERI,1,Qual è l'ultima destinazione raggiunta nel viaggio aereo?,Il mare,L'oceano
L'AEROPLANO DEL PAPA ROMANZO PROFETICO IN VERSI LIBERI,1,Quale condizione precedente viene dichiarata superata dall'esperienza descritta?,La morte,L'essere stato morto
,,,,
L'AEROPLANO DEL PAPA ROMANZO PROFETICO IN VERSI LIBERI,2,Qual è l'ambiente principale dell'azione?,Il cielo e il mare,L'atmosfera sopra il mare
L'AEROPLANO DEL PAPA ROMANZO PROFETICO IN VERSI LIBERI,2,"Quale città viene descritta con un ""fetore di tomba""?",Roma,La città di Roma
L'AEROPLANO DEL PAPA ROMANZO PROFETICO IN VERSI LIBERI,2,Cosa viene osservato sotto le ali?,Una squadra navale,Venti corazzate e torpediniere
,,,,
L'AEROPLANO DEL PAPA ROMANZO PROFETICO IN VERSI LIBERI,3,Qual è la città siciliana in cui giunge il monoplano?,Palermo,La città di Palermo
L'AEROPLANO DEL PAPA ROMANZO PROFETICO IN VERSI LIBERI,3,Che tipo di velivolo viene usato per l'arrivo a Palermo?,Un monoplano,Il monoplano
L'AEROPLANO DEL PAPA ROMANZO PROFETICO IN VERSI LIBERI,3,Come vengono chiamati i Siciliani da chi giunge con il monoplano?,Saraceni d'Italia,Come Saraceni d'Italia
,,,,
L'AEROPLANO DEL PAPA ROMANZO PROFETICO IN VERSI LIBERI,4,Chi è il personaggio che si identifica come 'Il Vulcano'?,Il Vulcano,Il personaggio che porta il nome di Vulcano
L'AEROPLANO DEL PAPA ROMANZO PROFETICO IN VERSI LIBERI,4,Chi sono i complici del Vulcano?,Lo stretto di Messina e la luna,La luna e lo stretto di Messina
L'AEROPLANO DEL PAPA ROMANZO PROFETICO IN VERSI LIBERI,4,Fino a dove si estende l'ombra del Vulcano?,Fino al centro della Sicilia,Raggiunge il centro della Sicilia
,,,,
L'AEROPLANO DEL PAPA ROMANZO PROFETICO IN VERSI LIBERI,5,Che legame unisce il personaggio che parla e il Vulcano?,Il Vulcano è suo padre,Il personaggio che parla è il figlio del Vulcano
L'AEROPLANO DEL PAPA ROMANZO PROFETICO IN VERSI LIBERI,5,Qual è la missione del personaggio che parla?,Guidare l'Italia all'assalto dell'Austria,Far assaltare l'Austria alla penisola
L'AEROPLANO DEL PAPA ROMANZO PROFETICO IN VERSI LIBERI,5,Come descrive il personaggio che parla la guerra?,La definisce sola igiene del mondo,La glorifica come unica igiene del mondo
,,,,
L'AEROPLANO DEL PAPA ROMANZO PROFETICO IN VERSI LIBERI,6,Verso quale luogo si dirige il pilota?,Verso un lontano Sahara,Verso il riverbero di un Sahara
L'AEROPLANO DEL PAPA ROMANZO PROFETICO IN VERSI LIBERI,6,Con quale slancio il cuore-motore trascina il pilota?,Con lo slancio di 300 fox-terriers,Con la forza di 300 fox-terriers a guinzaglio
L'AEROPLANO DEL PAPA ROMANZO PROFETICO IN VERSI LIBERI,6,Cosa fanno le fiamme alla lunga fusoliera del pilota?,La trattengono,La trattengono irrigidendo i muscoli
,,,,
L'AEROPLANO DEL PAPA ROMANZO PROFETICO IN VERSI LIBERI,7,Chi è il personaggio che vola nel firmamento?,Io,L'asino volante dalle orecchie di tela
L'AEROPLANO DEL PAPA ROMANZO PROFETICO IN VERSI LIBERI,7,Cosa fanno le fiamme spagnuole?,Ballano,Danzano
L'AEROPLANO DEL PAPA ROMANZO PROFETICO IN VERSI LIBERI,7,Dove si trova inizialmente l'asino volante dalle orecchie di tela?,Nel lungo budello della fiera fangosa,In una fiera fangosa
,,,,
L'AEROPLANO DEL PAPA ROMANZO PROFETICO IN VERSI LIBERI,8,Quanti uomini stanno per partire sui treni?,Venticinquemila,Venticinquemila soldati
L'AEROPLANO DEL PAPA ROMANZO PROFETICO IN VERSI LIBERI,8,Di che colore sono le divise che inondano la città?,Grigiastro,Colore di piombo
L'AEROPLANO DEL PAPA ROMANZO PROFETICO IN VERSI LIBERI,8,Cosa sta cercando di portare la Prima popolana?,Una leva,Una leva pesante
,,,,
L'AEROPLANO DEL PAPA ROMANZO PROFETICO IN VERSI LIBERI,9,Come descrive il personaggio 'Io' la folla di donne?,Come una miserabile folla di femmine chiassose,Come una gialla marea
L'AEROPLANO DEL PAPA ROMANZO PROFETICO IN VERSI LIBERI,9,Cosa impedisce ai cannoni di sparare efficacemente?,Un maledetto uccello bianco,L'uccello bianco che taglia la linea dei tiri
L'AEROPLANO DEL PAPA ROMANZO PROFETICO IN VERSI LIBERI,9,Cosa cercano di spazzare le Batterie di Soli?,La strada ferrata,Le rotaie
,,,,
L'AEROPLANO DEL PAPA ROMANZO PROFETICO IN VERSI LIBERI,10,Qual è il compito del cirro biondo chierico?,Accendere i ceri delle costellazioni,Ha l'incarico di accendere tutti i ceri delle costellazioni
L'AEROPLANO DEL PAPA ROMANZO PROFETICO IN VERSI LIBERI,10,Da dove proviene l'ondata di liquido oro?,Da Porto d'Anzio,Viene da Porto d'Anzio
,,,,
L'AEROPLANO DEL PAPA ROMANZO PROFETICO IN VERSI LIBERI,11,Qual è la condizione spirituale di chi pronuncia queste parole?,Ha perso la fede,Non è più credente
L'AEROPLANO DEL PAPA ROMANZO PROFETICO IN VERSI LIBERI,11,Chi è la figura religiosa a cui si rivolge chi parla?,Il Papa,Il Pontefice
L'AEROPLANO DEL PAPA ROMANZO PROFETICO IN VERSI LIBERI,11,Cosa offre chi parla al Santo Padre in sostituzione del potere temporale?,Il cielo e l'infinito,Un potere assoluto sul cielo
,,,,
L'AEROPLANO DEL PAPA ROMANZO PROFETICO IN VERSI LIBERI,12,Chi esige che si dichiari guerra?,Gli studenti,Il gruppo degli studenti
L'AEROPLANO DEL PAPA ROMANZO PROFETICO IN VERSI LIBERI,12,Quali gruppi di persone gli studenti vogliono far partecipare al Parlamento?,"Cortigiane, prostitute, pederasti e pregiudicati",Vari rappresentanti della massa popolare
L'AEROPLANO DEL PAPA ROMANZO PROFETICO IN VERSI LIBERI,12,Dove si trovano i deputati durante la sommossa?,Nel Parlamento,All'interno o sui balconi del Parlamento
,,,,
L'AEROPLANO DEL PAPA ROMANZO PROFETICO IN VERSI LIBERI,13,Chi propone l'elezione della cimice come arbitro?,Il Coro dei pederasti,I pederasti
L'AEROPLANO DEL PAPA ROMANZO PROFETICO IN VERSI LIBERI,13,Chi propone il Pontefice come arbitro alternativo?,Un Deputato socialista,Il Deputato socialista
L'AEROPLANO DEL PAPA ROMANZO PROFETICO IN VERSI LIBERI,13,Da dove viene rapito il Pontefice?,Dal Vaticano,Dalla zona del Vaticano
,,,,
L'AEROPLANO DEL PAPA ROMANZO PROFETICO IN VERSI LIBERI,14,Qual è la posizione degli studenti riguardo alla guerra e alla pace?,Sono a favore della guerra e contro la pace,Credono che la guerra sia curativa e la pace dannosa
L'AEROPLANO DEL PAPA ROMANZO PROFETICO IN VERSI LIBERI,14,Quale città viene menzionata come destinazione imminente?,Milano,La città di Milano
,,,,
L'AEROPLANO DEL PAPA ROMANZO PROFETICO IN VERSI LIBERI,15,Cosa vuole l'anarchico cieco?,La morte del signore che vive di rendita,Che il signore che vive di rendita venga ucciso
L'AEROPLANO DEL PAPA ROMANZO PROFETICO IN VERSI LIBERI,15,Contro chi si rifiutano di combattere gli operai pacifisti?,Contro i loro fratelli operai,Contro gli operai sindacati al di là dei confini
L'AEROPLANO DEL PAPA ROMANZO PROFETICO IN VERSI LIBERI,15,Qual è la posizione degli operai pacifisti riguardo a Trieste e al Trentino?,Non le considerano importanti,Affermano che non valgono le loro ossa
,,,,
L'AEROPLANO DEL PAPA ROMANZO PROFETICO IN VERSI LIBERI,16,Cosa dichiara il Presidente alla fine della seduta?,La seduta è tolta,Che la seduta è conclusa
L'AEROPLANO DEL PAPA ROMANZO PROFETICO IN VERSI LIBERI,16,Cosa propone l'oratore riguardo ai treni militari?,Che deraglino,Il deragliamento di tutti i treni militari
L'AEROPLANO DEL PAPA ROMANZO PROFETICO IN VERSI LIBERI,16,Chi è il nemico contro cui si avventa il toro patriottico?,Gli Austriaci,L'Austria
,,,,
L'AEROPLANO DEL PAPA ROMANZO PROFETICO IN VERSI LIBERI,17,A chi si rivolge l'oratore anarchico chiamandolo 'servitore'?,Al personaggio che riceve il fucile di legno,Al 'servitore' a cui viene detto di correre al confine
L'AEROPLANO DEL PAPA ROMANZO PROFETICO IN VERSI LIBERI,17,Quale città viene menzionata in relazione a una stazione?,Milano,La città di Milano
L'AEROPLANO DEL PAPA ROMANZO PROFETICO IN VERSI LIBERI,17,Chi invita il Santo Padre a 'volare con la luna'?,Il personaggio a cui l'oratore anarchico scaglia il fucile,Il 'servitore' menzionato dall'oratore anarchico
,,,,
L'AEROPLANO DEL PAPA ROMANZO PROFETICO IN VERSI LIBERI,18,Cosa sta pilotando Io?,Un monoplano,Il suo bel monoplano dalle ali bianche
L'AEROPLANO DEL PAPA ROMANZO PROFETICO IN VERSI LIBERI,18,Quale figlio non è stato concepito tra Io e tu?,Il figlio che avrebbero avuto insieme,Il loro figlio non nato
L'AEROPLANO DEL PAPA ROMANZO PROFETICO IN VERSI LIBERI,18,Chi esprime paura durante il volo?,La mia amica,Il personaggio identificato come 'La mia amica'
,,,,
L'AEROPLANO DEL PAPA ROMANZO PROFETICO IN VERSI LIBERI,19,Che relazione di parentela lega la 'Mamma' al personaggio che le si rivolge?,È sua madre,È la genitrice del personaggio
L'AEROPLANO DEL PAPA ROMANZO PROFETICO IN VERSI LIBERI,19,"Quale stato viene definito 'l'unica, la più esecrabile immoralità' nel testo?",Il sonno,La condizione di dormire
L'AEROPLANO DEL PAPA ROMANZO PROFETICO IN VERSI LIBERI,19,Quale attributo viene dato alla Guerra nel testo?,Liberatrice di schiavi,Che libera gli schiavi
,,,,
L'AEROPLANO DEL PAPA ROMANZO PROFETICO IN VERSI LIBERI,20,"Come viene introdotta la puttana nel luogo dove si trova il ""grosso corpo costipato""?",Attraverso una finestra aperta,Facendola passare per una finestra
L'AEROPLANO DEL PAPA ROMANZO PROFETICO IN VERSI LIBERI,20,Come viene chiamata la borghesia clericale e sudante nel rione?,Saggezza,Con il nome di Saggezza
L'AEROPLANO DEL PAPA ROMANZO PROFETICO IN VERSI LIBERI,20,"Chi è il ""grosso corpo costipato"" accanto a cui viene deposta la puttana?",La Saggezza,L'entità chiamata Saggezza
,,,,
L'AEROPLANO DEL PAPA ROMANZO PROFETICO IN VERSI LIBERI,21,Qual è il contesto principale in cui si svolge l'azione del libro?,Un contesto di guerra,Una situazione di battaglia
