Book,ParagraphIndex,Question,AnswerA,AnswerB
La_coscienza_di_zeno,1,Cosa cerca il padre di Zeno?,Un mezzo sigaro,Il suo sigaro
La_coscienza_di_zeno,1,Su chi Zeno rivede il sorriso di sua madre?,Sua moglie,Sulle labbra di sua moglie
La_coscienza_di_zeno,1,Dove Zeno ha partecipato a una gara di fumo da bambino?,In una cantina oscura,In una cantina
,,,,
La_coscienza_di_zeno,2,Qual è il compito di Giovanna?,Sorvegliare Zeno,È incaricata di sorvegliare Zeno
La_coscienza_di_zeno,2,Quando Zeno intende smettere di fumare?,A mezzanotte,In punto alla mezzanotte
La_coscienza_di_zeno,2,Quale sentimento prova Zeno per il dottore?,Gelosia,Una folle gelosia
,,,,
La_coscienza_di_zeno,3,Chi ha fatto testamento?,Il padre di Zeno,Il genitore di Zeno
La_coscienza_di_zeno,3,Chi è stato nominato tutore di Zeno nel testamento?,Olivi,Il signor Olivi
La_coscienza_di_zeno,3,Quale argomento filosofico affronta Zeno con il padre?,La morte,Il mistero della morte
,,,,
La_coscienza_di_zeno,4,Che sentimento provava il figlio dell'ammalato verso il dottore?,Livore e ira,Disgusto e rabbia
La_coscienza_di_zeno,4,Cosa propose Maria di dare all'ammalato?,Un cucchiaino di brodo,Del brodo
,,,,
La_coscienza_di_zeno,5,Di quale fabbrica possedevano azioni Zeno e Giovanni?,Di una fabbrica di zucchero,Di una fabbrica che produceva zucchero
La_coscienza_di_zeno,5,Cosa accadde al prezzo delle azioni di Zeno mentre tardava a venderle?,Il prezzo delle azioni raddoppiò,Il loro valore quasi raddoppiò
La_coscienza_di_zeno,5,Dove incontrò Zeno il suo agente quando scoprì l'aumento del prezzo delle azioni?,Al Tergesteo,Nel locale chiamato Tergesteo
,,,,
La_coscienza_di_zeno,6,Che cosa precedette la scelta della fidanzata di Zeno?,La sua decisione di sposarsi,La decisione di Zeno di contrarre matrimonio
La_coscienza_di_zeno,6,Quale famiglia divenne il centro della vita di Zeno?,La famiglia Malfenti,I Malfenti
La_coscienza_di_zeno,6,Come si chiamava la donna che Zeno scelse come fidanzata?,Ada Malfenti,Ada
,,,,
La_coscienza_di_zeno,7,Perché Zeno si sentiva torturato dalla famiglia Malfenti?,Perché aveva voluto sposarsi,A causa del suo desiderio di sposarsi
La_coscienza_di_zeno,7,Quale fu la sensazione di Zeno dopo aver lasciato la casa Malfenti?,Si sentì liberato,Provò un senso di liberazione
La_coscienza_di_zeno,7,Quale decisione prese Zeno riguardo al suo ritorno alla casa Malfenti?,Decise di non tornarci mai più,Non avrebbe più messo piede in quella casa
,,,,
La_coscienza_di_zeno,8,Di che nazionalità è Guido Speier?,È italiano,È di nazionalità italiana
La_coscienza_di_zeno,8,Qual è il sentimento di Zeno per Guido Speier?,Lo odia,Prova odio per lui
La_coscienza_di_zeno,8,Chi è il padre di Ada?,Malfenti,Il signor Malfenti
,,,,
La_coscienza_di_zeno,9,Chi confessò di aver mosso il tavolino al posto degli spiriti?,Zeno,Zeno Cosini
La_coscienza_di_zeno,9,Come reagì Ada alla confessione di Zeno?,Con disdegno,Voltando le spalle con disprezzo
La_coscienza_di_zeno,9,Cosa stava per fare Ada dopo che Guido aveva perdonato Zeno?,Manifestare devozione a Guido perdonando Zeno,Perdonare Zeno per mostrare devozione a Guido
,,,,
La_coscienza_di_zeno,10,A chi propone Zeno di sposarlo per primo nell'estratto?,Ad Alberta,Alla sorella Alberta
La_coscienza_di_zeno,10,Qual è l'ambizione di Alberta menzionata nell'estratto?,Diventare una scrittrice,Voler diventare una scrittrice
La_coscienza_di_zeno,10,A chi propone Zeno di sposarlo dopo il rifiuto di Alberta?,Ad Augusta,Alla sorella Augusta
,,,,
La_coscienza_di_zeno,11,Con chi si fidanza Guido?,Con Ada,Con la sua fidanzata Ada
La_coscienza_di_zeno,11,Perché la signora Malfenti unì le due coppie nello stesso salotto?,Perché si sorvegliassero a vicenda,Per la loro sorveglianza reciproca
La_coscienza_di_zeno,11,Cosa dichiara l'uomo fidanzato con Augusta riguardo al suo amore per Ada?,Di essere guarito dal suo amore per Ada,Di essersi liberato del suo amore per Ada
,,,,
La_coscienza_di_zeno,12,Cosa voleva costruire Augusta nel giardino?,Una piccola lavanderia,Una lavanderia per i bébés
La_coscienza_di_zeno,12,A cosa rinunciò Zeno dopo il matrimonio riguardo al suo tempo?,A disporre a suo piacere del suo tempo,Alla libertà di disporre del suo tempo
La_coscienza_di_zeno,12,Cosa non fece Zeno un giorno dopo il viaggio di nozze?,Non andò a casa a colazione,Non tornò a casa per il pranzo
,,,,
La_coscienza_di_zeno,13,Quale evento promette il Copler di comunicare?,Il concerto pubblico del maestro di Carla,L'organizzazione di un concerto da parte del maestro di Carla
La_coscienza_di_zeno,13,Perché Augusta non si occupa di Carla?,Ha molto da fare nella nuova casa e con il padre malato,È impegnata con la sua nuova casa e l'assistenza al padre malato
La_coscienza_di_zeno,13,Cosa pensa il Copler del maestro di Carla?,Che diventerà una grande celebrità,Che sarà una futura grande celebrità
,,,,
La_coscienza_di_zeno,14,Quale proposito prende Zeno riguardo a Carla?,Di non rivederla più,"Di vederla solo per l'ultima volta, se necessario"
La_coscienza_di_zeno,14,Cosa permette Zeno ad Augusta di costruire?,Una piccola lavanderia,La lavanderia che desiderava
La_coscienza_di_zeno,14,Cosa intende fare Zeno con Carla il giorno seguente?,Chiarire la loro relazione,Rassicurarla sul suo avvenire
,,,,
La_coscienza_di_zeno,15,Per quale motivo la moglie di Zeno sospetta che lui stia soffrendo?,Per il matrimonio di Ada.,Crede che Zeno soffra per le nozze di Ada.
La_coscienza_di_zeno,15,Quale scusa inventa Zeno per giustificare il suo malessere alla moglie?,Una malattia immaginaria.,Finge di avere una malattia.
La_coscienza_di_zeno,15,A chi si riferisce Zeno quando parla di 'immaginazioni' e 'abbozzo di confessione' che la moglie non capisce?,A Carla.,Alla sua amante Carla.
,,,,
La_coscienza_di_zeno,16,Chi è Carla per Zeno?,È la sua amante,È la donna con cui Zeno ha una relazione extraconiugale
La_coscienza_di_zeno,16,Come si chiama la moglie di Zeno?,Si chiama Augusta,Il nome della moglie di Zeno è Augusta
La_coscienza_di_zeno,16,Perché Zeno non vuole passare la notte con Carla?,Deve tornare a casa per un banchetto di nozze,Ha un banchetto di nozze che lo aspetta a casa
,,,,
La_coscienza_di_zeno,17,Qual era l'intenzione iniziale di Zeno riguardo a Carla?,Abbandonarla gradualmente,Lasciarla pian piano
La_coscienza_di_zeno,17,Come reagisce Carla quando Zeno loda Augusta?,Si sente rimproverata,Percepisce le lodi come critiche
La_coscienza_di_zeno,17,Dove Zeno ha pronunciato il brindisi spropositato?,Al tavolo del padre di Augusta,A casa del suocero di Zeno
,,,,
La_coscienza_di_zeno,18,Quando nasce Antonia?,In primavera,Nella primavera successiva
La_coscienza_di_zeno,18,Chi era sempre a disposizione di Carla?,Il maestro di musica,Il suo maestro
La_coscienza_di_zeno,18,Chi è l'uomo dai cinquantaquattro muscoli?,Tullio,Un uomo di nome Tullio
,,,,
La_coscienza_di_zeno,19,Con chi ha preso un impegno sacro Ada?,Con un uomo,Con un altro uomo
La_coscienza_di_zeno,19,Come si chiama la moglie del protagonista?,Augusta,Si chiama Augusta
La_coscienza_di_zeno,19,Con chi ha camminato Ada per le strade il giorno prima?,Con un uomo e sua madre,Con il suo promesso sposo e la madre di lui
,,,,
La_coscienza_di_zeno,20,Che professione svolge Luciano a Trieste?,È un commerciante rispettato,Un commerciante di Trieste
La_coscienza_di_zeno,20,Da dove provenivano i pesos?,Da Buenos Aires,Dalla città di Buenos Aires
La_coscienza_di_zeno,20,Cosa insegnò Olivi riguardo agli assegni dei pesos?,Il modo di realizzarli,Come convertire gli assegni
,,,,
La_coscienza_di_zeno,21,Chi è la moglie di Guido?,Ada,Ada è la sua sposa
La_coscienza_di_zeno,21,Chi è la donna che Guido si gode senza ricordarsi di Ada?,Carmen,Carmen è la sua amante
La_coscienza_di_zeno,21,Quale donna è stata sacrificata per Augusta?,Carla,Carla è stata abbandonata per Augusta
,,,,
La_coscienza_di_zeno,22,Chi sono i genitori dei gemelli?,Ada e Guido,Guido Speier e Ada
La_coscienza_di_zeno,22,Qual è il legame di parentela tra Ada e Augusta?,Sono sorelle,Sono due sorelle
,,,,
La_coscienza_di_zeno,23,Qual è il problema principale della ditta di Zeno e Guido?,La perdita di metà del capitale,Il capitale dimezzato
La_coscienza_di_zeno,23,Chi ha revisionato il bilancio della ditta?,Il giovine Olivi,Olivi
La_coscienza_di_zeno,23,Cosa ha consigliato Olivi per la ditta?,Di liquidarla e ristabilirla su nuove basi,La liquidazione e la ristabilizione
,,,,
La_coscienza_di_zeno,24,Chi è la sorella di Ada?,Augusta,"Augusta, la moglie di Zeno"
La_coscienza_di_zeno,24,Chi è la moglie di Guido?,Ada,"Ada, la sorella di Augusta"
La_coscienza_di_zeno,24,Chi è Carmen?,La donna di cui Ada è gelosa,La presunta amante di Guido
,,,,
La_coscienza_di_zeno,25,In quale tipo di valori investiva Guido?,Valori minerarii,In azioni di società minerarie
