Batch,Testo,Risposta1,Risposta2
1,"Qual è la professione di Marco, il marito di Tizia?",Marco lavora come architetto,Il coniuge di Tizia è un architetto
1,Dove vive la narratrice Giulia?,Giulia risiede a Milano,La narratrice abita nella città di Milano
1,Hanno figli Oliva e Augusto?,"Sì, Oliva e Augusto hanno un figlio",La coppia Oliva e Augusto ha un bambino
1,Tizia ha fratelli o sorelle?,"Sì, Tizia ha una sorella",La protagonista Tizia ha una consanguinea femmina
2,Quale ruolo ricopre il Dottor Rossi nella vita della famiglia Bianchi?,Il Dottor Rossi è il medico curante della famiglia Bianchi.,Si occupa della salute dei membri della famiglia Bianchi.
2,"Dove si reca abitualmente la protagonista, Elena, per trovare ispirazione?",Elena si reca al vecchio faro abbandonato sulla scogliera.,Il luogo preferito di Elena per riflettere è il faro in disuso.
2,Qual è la ragione principale che ha spinto Marco a lasciare il suo paese natale?,Marco ha lasciato il suo paese per sfuggire a un debito di gioco.,La sua partenza è dovuta a problemi economici legati al gioco d'azzardo.
2,"Chi aiuta la protagonista, Sofia, a scoprire la verità sul mistero della villa?","Il vecchio giardiniere, Antonio, fornisce indizi cruciali a Sofia.",Sofia riceve aiuto dal giardiniere Antonio per risolvere il mistero.
4,Chi è il principale antagonista di Marco?,Il suo vecchio amico Giovanni,"Giovanni, un tempo suo compagno"
4,In quale città si svolge la maggior parte della storia?,A Venezia,La vicenda è ambientata a Venezia
4,Qual è l'obiettivo finale di Elena?,Trovare la verità sulla scomparsa di suo padre,Il suo scopo è scoprire cosa è successo al genitore
4,Che oggetto speciale eredita il giovane Pietro?,Un antico orologio da taschino,Riceve in eredità un vecchio orologio tascabile
5,Qual è l'obiettivo principale del piano del commendatore Ramelli?,Il suo scopo è acquisire il controllo dei beni della narratrice.,Mira a impossessarsi del patrimonio della protagonista.
5,Qual era il significato della medaglia ritrovata per la narratrice?,Rappresentava un ricordo della sua famiglia d'origine.,Simboleggiava il legame con i suoi antenati.
5,Quale fu la conseguenza dell'incarico di Diego Corona per la protagonista?,La protagonista scoprì un inganno orchestrato contro di lei.,Rivelò una cospirazione ai danni della narratrice.
5,Quale ruolo ha avuto il Cavaliere Codicini nel piano del commendatore Ramelli?,Era un complice che aiutava Ramelli a manipolare la protagonista.,Agiva come alleato di Ramelli per ingannare la narratrice.
6,Qual era il motivo principale del viaggio di Marco?,Cercava di ritrovare sua sorella scomparsa.,Il suo scopo era rintracciare la sorella perduta.
6,Chi ha ereditato la villa di famiglia dopo la morte della Signora Bianchi?,Il nipote Luca ha ricevuto la proprietà.,La villa è passata al nipote Luca.
6,In quale città si sono incontrati per la prima volta Anna e Paolo?,Si sono conosciuti a Firenze.,Il loro primo incontro è avvenuto nella città di Firenze.
6,Qual era la professione di Elena prima di sposare il Conte?,Lavorava come insegnante di musica.,Era una maestra di musica.
7,Qual è la decisione finale di Tizia riguardo al suo futuro dopo gli eventi principali?,Tizia decide di dedicarsi completamente alla sua indipendenza e ai suoi studi.,"Dopo le vicende, Tizia sceglie di perseguire la sua autonomia e la sua formazione."
7,Il cavalier Codicini riesce a sposare Tizia alla fine del romanzo?,"No, il cavalier Codicini non sposa Tizia, nonostante i suoi tentativi.",Tizia non accetta di sposare il cavalier Codicini nel finale del libro.
7,Qual è il destino del commendatore Ramelli dopo il fallimento dei suoi piani?,Il commendatore Ramelli si ritira dalla vita pubblica e si isola.,"Dopo i suoi insuccessi, Ramelli si allontana dalla società e vive in solitudine."
7,La narratrice interviene attivamente negli eventi della storia o rimane un'osservatrice?,"La narratrice mantiene un ruolo di osservatrice esterna, senza influenzare direttamente gli eventi.","Il ruolo della narratrice è quello di testimone, non partecipa attivamente alle vicende narrate."
8,Qual è la ragione principale per cui Annibale rinuncia al suo patrimonio?,Annibale rinuncia ai suoi beni per perseguire un ideale di vita più semplice e libero.,La sua decisione è motivata dal desiderio di liberarsi dalle convenzioni sociali e materiali.
8,La narratrice riesce a superare la sua ossessione per il numero tredici?,"Sì, la narratrice trova un modo per liberarsi dalla sua fobia e accettare il numero.","Alla fine del romanzo, la narratrice non è più tormentata dal numero tredici."
8,Qual era il rapporto tra Tizia e il padre di Diego Corona prima del loro matrimonio?,"Erano legati da una profonda amicizia e stima reciproca, che poi si è evoluta.",La loro relazione era inizialmente basata su un forte affetto platonico e rispetto.
8,Ramelli supporta le scelte di vita non convenzionali di Tizia?,"Sì, Ramelli si dimostra un marito comprensivo e solidale con le decisioni di Tizia.","Egli accetta e appoggia le aspirazioni e le scelte di Tizia, anche quelle meno comuni."
9,Qual era l'obiettivo principale di Marco all'inizio del romanzo?,Marco intendeva ritrovare la sua famiglia perduta.,Il suo scopo era ricongiungersi con i suoi parenti scomparsi.
9,Cosa accade a Villa Serena che cambia il destino di Sofia?,Sofia scopre un segreto di famiglia che la costringe a fuggire.,Un'importante rivelazione a Villa Serena spinge Sofia a lasciare la sua casa.
9,Come si evolve il rapporto tra il capitano Rossi e la signora Bianchi alla fine della storia?,Il loro rapporto si trasforma in una profonda amicizia e rispetto reciproco.,"Alla fine, il capitano Rossi e la signora Bianchi sviluppano un legame di stima e amicizia."
9,Quale evento cruciale si svolge nel Bosco delle Querce?,"Nel Bosco delle Querce, il protagonista trova l'oggetto smarrito che svela il mistero.",L'oggetto chiave per risolvere l'enigma viene scoperto dal protagonista nel Bosco delle Querce.
10,Qual è la principale ossessione di Zeno Cosini?,Zeno è ossessionato dal suo vizio del fumo e dai continui tentativi di smettere.,L'ossessione maggiore di Zeno riguarda il fumo e la sua incapacità di liberarsene.
10,Chi è il medico che cura Zeno Cosini e lo spinge a scrivere le sue memorie?,Il Dottor S. è il medico che incoraggia Zeno a scrivere la sua autobiografia come parte della terapia.,"Zeno è in cura dal Dottor S., che gli suggerisce di redigere le sue memorie."
10,Qual è il rapporto tra Zeno Cosini e Guido Speier?,"Zeno e Guido sono cognati, avendo entrambi sposato due delle sorelle Malfenti.","Il legame tra Zeno e Guido è quello di cognati, in quanto mariti delle sorelle Malfenti."
10,Qual è il destino finale dell'azienda di Guido Speier?,L'azienda di Guido Speier fallisce a causa della sua cattiva gestione e delle sue speculazioni.,L'impresa di Guido Speier va in bancarotta per via delle sue decisioni finanziarie errate.
11,Per quale motivo Tizia si trasferisce in una nuova città?,Tizia si sposta per trovare un lavoro più adatto alle sue aspirazioni.,Il suo trasferimento è dovuto alla ricerca di migliori opportunità professionali.
